date,cases,deaths
2020-01-21,1,0
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,1,0
2020-01-29,1,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,1,0
2020-02-04,1,0
2020-02-05,1,0
2020-02-06,1,0
2020-02-07,1,0
2020-02-08,1,0
2020-02-09,1,0
2020-02-10,1,0
2020-02-11,1,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,1,0
2020-02-15,1,0
2020-02-16,1,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-21,1,0
2020-02-22,1,0
2020-02-23,1,0
2020-02-24,5,0
2020-02-25,5,0
2020-02-26,5,0
2020-02-27,5,0
2020-02-28,7,0
2020-02-29,10,1
2020-03-01,17,3
2020-03-02,23,6
2020-03-03,32,10
2020-03-04,47,11
2020-03-05,75,11
2020-03-06,86,12
2020-03-07,110,16
2020-03-08,141,19
2020-03-09,179,22
2020-03-10,279,24
2020-03-11,338,29
2020-03-12,419,32
2020-03-13,511,37
2020-03-14,609,40
2020-03-15,675,42
2020-03-16,794,48
2020-03-17,908,54
2020-03-18,1026,68
2020-03-19,1228,75
2020-03-20,1404,83
2020-03-21,1655,95
2020-03-22,1844,97
2020-03-23,2101,110
2020-03-24,2469,123
2020-03-25,2585,130
2020-03-26,3208,151
2020-03-27,3770,177
2020-03-28,4311,191
2020-03-29,4896,207
2020-03-30,5179,221
2020-03-31,5292,226
2020-04-01,5588,249
2020-04-02,6585,272
2020-04-03,6966,293
2020-04-04,7498,318
2020-04-05,7984,344
2020-04-06,8384,383
2020-04-07,8682,409
2020-04-08,9097,430
2020-04-09,9608,456
2020-04-10,9887,483
2020-04-11,10224,498
2020-04-12,10411,511
2020-04-13,10538,525
2020-04-14,10694,552
2020-04-15,10783,572
2020-04-16,11152,588
2020-04-17,11445,610
2020-04-18,11802,629
2020-04-19,11805,637
2020-04-20,12191,661
2020-04-21,12345,683
2020-04-22,12539,696
2020-04-23,12906,717
2020-04-24,13120,731
2020-04-25,13484,743
2020-04-26,13663,757
2020-04-27,13864,771
2020-04-28,14059,792
2020-04-29,14378,805
2020-04-30,14696,822
2020-05-01,15010,829
2020-05-02,15253,833
2020-05-03,15809,840
2020-05-04,15905,846
2020-05-05,16081,863
2020-05-06,16713,881
2020-05-07,17017,903
2020-05-08,17297,915
2020-05-09,17446,925
2020-05-10,17592,939
2020-05-11,17983,957
2020-05-12,18186,972
2020-05-13,18287,977
2020-05-14,18649,991
2020-05-15,18913,1008
2020-05-16,19109,1015
2020-05-17,19281,1016
2020-05-18,19521,1020
2020-05-19,19746,1042
2020-05-20,19864,1045
2020-05-21,20033,1054
2020-05-22,20274,1061
2020-05-23,20487,1062
2020-05-24,20732,1069
2020-05-25,21005,1076
2020-05-26,21278,1091
2020-05-27,21565,1106
2020-05-28,21825,1116
2020-05-29,22109,1120
2020-05-30,22347,1126
2020-05-31,22543,1126
2020-06-01,23001,1133
2020-06-02,23336,1139
2020-06-03,23500,1145
2020-06-04,23722,1150
2020-06-05,24267,1160
2020-06-06,24486,1163
