date,cases,deaths
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,4,0
2020-03-31,4,0
2020-04-01,6,0
2020-04-02,5,0
2020-04-03,6,0
2020-04-04,6,0
2020-04-05,8,0
2020-04-06,8,0
2020-04-07,9,1
2020-04-08,11,1
2020-04-09,13,1
2020-04-10,14,2
2020-04-11,14,2
2020-04-12,14,2
2020-04-13,15,2
2020-04-14,17,2
2020-04-15,18,2
2020-04-16,20,2
2020-04-17,20,2
2020-04-18,22,2
2020-04-19,24,2
2020-04-20,25,2
2020-04-21,28,2
2020-04-22,29,2
2020-04-23,34,2
2020-04-24,39,2
2020-04-25,43,2
2020-04-26,45,2
2020-04-27,49,2
2020-04-28,55,2
2020-04-29,62,2
2020-04-30,78,2
2020-05-01,82,2
2020-05-02,90,2
2020-05-03,93,2
2020-05-04,93,2
2020-05-05,96,2
2020-05-06,101,2
2020-05-07,102,2
2020-05-08,106,2
2020-05-09,110,2
2020-05-10,111,2
2020-05-11,113,3
2020-05-12,113,3
2020-05-13,114,3
2020-05-14,117,3
2020-05-15,119,3
2020-05-16,121,3
2020-05-17,122,3
2020-05-18,122,3
2020-05-19,126,3
2020-05-20,127,3
2020-05-21,132,3
2020-05-22,138,3
2020-05-23,144,3
2020-05-24,146,3
2020-05-25,146,3
2020-05-26,147,3
2020-05-27,148,3
2020-05-28,150,4
2020-05-29,150,4
2020-05-30,150,4
2020-05-31,152,4
2020-06-01,155,4
2020-06-02,156,4
2020-06-03,158,4
2020-06-04,158,4
2020-06-05,178,4
2020-06-06,179,4
2020-06-07,179,4
2020-06-08,178,4
2020-06-09,180,4
2020-06-10,180,4
2020-06-11,181,4
2020-06-12,183,4
2020-06-13,183,4
2020-06-14,183,4
2020-06-15,184,4
2020-06-16,184,4
