date,cases,deaths
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,2,0.0
2020-04-08,2,0.0
2020-04-09,2,0.0
2020-04-10,2,0.0
2020-04-11,2,0.0
2020-04-12,2,0.0
2020-04-13,2,0.0
2020-04-14,2,0.0
2020-04-15,2,0.0
2020-04-16,2,0.0
2020-04-17,2,0.0
2020-04-18,3,0.0
2020-04-19,3,0.0
2020-04-20,3,0.0
2020-04-21,3,0.0
2020-04-22,3,0.0
2020-04-23,3,0.0
2020-04-24,3,0.0
2020-04-25,3,0.0
2020-04-26,3,0.0
2020-04-27,3,0.0
2020-04-28,3,0.0
2020-04-29,3,0.0
2020-04-30,4,0.0
2020-05-01,4,0.0
2020-05-02,4,0.0
2020-05-03,5,0.0
2020-05-04,6,0.0
2020-05-05,7,0.0
2020-05-06,7,0.0
2020-05-07,8,0.0
2020-05-08,9,0.0
2020-05-09,9,0.0
2020-05-10,9,0.0
2020-05-11,9,0.0
2020-05-12,9,0.0
2020-05-13,9,0.0
2020-05-14,9,0.0
2020-05-15,10,0.0
2020-05-16,10,0.0
2020-05-17,9,0.0
2020-05-18,9,0.0
2020-05-19,9,0.0
2020-05-20,9,0.0
2020-05-21,9,0.0
2020-05-22,9,0.0
2020-05-23,9,0.0
2020-05-24,10,0.0
2020-05-25,10,0.0
2020-05-26,12,0.0
2020-05-27,13,0.0
2020-05-28,13,0.0
2020-05-29,13,0.0
2020-05-30,15,0.0
2020-05-31,16,0.0
2020-06-01,18,0.0
2020-06-02,18,0.0
2020-06-03,21,0.0
2020-06-04,27,0.0
2020-06-05,29,0.0
2020-06-06,30,0.0
2020-06-07,34,0.0
2020-06-08,35,0.0
2020-06-09,36,0.0
2020-06-10,39,0.0
2020-06-11,55,0.0
2020-06-12,62,0.0
2020-06-13,66,0.0
2020-06-14,73,0.0
2020-06-15,77,0.0
2020-06-16,83,0.0
2020-06-17,86,0.0
2020-06-18,93,0.0
2020-06-19,102,0.0
2020-06-20,104,0.0
2020-06-21,106,0.0
2020-06-22,106,0.0
2020-06-23,109,0.0
2020-06-24,111,0.0
2020-06-25,113,0.0
2020-06-26,115,0.0
2020-06-27,117,0.0
2020-06-28,119,0.0
2020-06-29,120,0.0
2020-06-30,123,0.0
2020-07-01,126,0.0
2020-07-02,127,0.0
2020-07-03,129,0.0
2020-07-04,133,0.0
2020-07-05,134,0.0
2020-07-06,134,0.0
2020-07-07,137,0.0
2020-07-08,142,1.0
2020-07-09,145,1.0
2020-07-10,148,1.0
2020-07-11,149,1.0
2020-07-12,150,1.0
2020-07-13,151,1.0
2020-07-14,152,1.0
2020-07-15,152,1.0
2020-07-16,155,1.0
2020-07-17,155,1.0
2020-07-18,158,1.0
2020-07-19,159,1.0
2020-07-20,161,1.0
2020-07-21,161,1.0
2020-07-22,161,1.0
2020-07-23,162,1.0
2020-07-24,164,1.0
2020-07-25,165,1.0
2020-07-26,166,1.0
2020-07-27,166,1.0
2020-07-28,167,1.0
2020-07-29,168,1.0
2020-07-30,168,1.0
2020-07-31,168,1.0
2020-08-01,170,1.0
2020-08-02,171,1.0
2020-08-03,171,1.0
2020-08-04,171,1.0
2020-08-05,174,1.0
2020-08-06,176,1.0
2020-08-07,179,1.0
2020-08-08,186,1.0
2020-08-09,190,1.0
2020-08-10,196,1.0
2020-08-11,201,1.0
2020-08-12,203,1.0
2020-08-13,205,1.0
2020-08-14,210,1.0
2020-08-15,212,1.0
2020-08-16,215,1.0
2020-08-17,219,1.0
2020-08-18,218,1.0
2020-08-19,223,1.0
2020-08-20,226,1.0
2020-08-21,229,2.0
2020-08-22,229,2.0
2020-08-23,229,2.0
2020-08-24,231,2.0
2020-08-25,233,2.0
2020-08-26,235,2.0
2020-08-27,236,2.0
2020-08-28,236,3.0
2020-08-29,236,3.0
2020-08-30,236,3.0
2020-08-31,236,3.0
2020-09-01,236,3.0
2020-09-02,238,3.0
2020-09-03,241,3.0
2020-09-04,241,3.0
2020-09-05,244,3.0
2020-09-06,244,3.0
2020-09-07,244,3.0
2020-09-08,244,3.0
2020-09-09,246,3.0
2020-09-10,247,3.0
2020-09-11,251,3.0
2020-09-12,252,3.0
2020-09-13,254,3.0
2020-09-14,255,3.0
2020-09-15,261,3.0
2020-09-16,265,3.0
2020-09-17,271,3.0
2020-09-18,277,3.0
2020-09-19,288,3.0
2020-09-20,292,3.0
2020-09-21,296,3.0
2020-09-22,301,4.0
2020-09-23,309,4.0
2020-09-24,316,4.0
2020-09-25,319,4.0
2020-09-26,326,4.0
2020-09-27,328,4.0
2020-09-28,334,4.0
2020-09-29,343,4.0
2020-09-30,350,4.0
2020-10-01,360,4.0
2020-10-02,368,4.0
2020-10-03,370,4.0
2020-10-04,377,4.0
2020-10-05,381,4.0
2020-10-06,385,4.0
2020-10-07,395,4.0
2020-10-08,407,4.0
2020-10-09,415,4.0
2020-10-10,424,4.0
2020-10-11,433,4.0
2020-10-12,438,4.0
2020-10-13,442,4.0
2020-10-14,449,4.0
2020-10-15,461,4.0
2020-10-16,471,4.0
2020-10-17,477,4.0
2020-10-18,481,4.0
2020-10-19,485,4.0
2020-10-20,488,4.0
2020-10-21,502,4.0
2020-10-22,508,4.0
2020-10-23,518,4.0
2020-10-24,524,4.0
2020-10-25,528,4.0
2020-10-26,535,4.0
2020-10-27,542,4.0
2020-10-28,549,4.0
2020-10-29,559,4.0
2020-10-30,568,4.0
2020-10-31,591,4.0
2020-11-01,595,4.0
2020-11-02,600,4.0
2020-11-03,608,4.0
2020-11-04,625,4.0
2020-11-05,660,4.0
2020-11-06,680,4.0
2020-11-07,700,4.0
2020-11-08,727,4.0
2020-11-09,750,4.0
2020-11-10,766,4.0
2020-11-11,801,4.0
2020-11-12,829,4.0
2020-11-13,852,4.0
2020-11-14,880,4.0
2020-11-15,897,4.0
2020-11-16,912,4.0
2020-11-17,933,4.0
2020-11-18,949,4.0
2020-11-19,979,4.0
2020-11-20,1006,4.0
2020-11-21,1026,4.0
2020-11-22,1043,4.0
2020-11-23,1062,4.0
2020-11-24,1096,4.0
2020-11-25,1118,4.0
2020-11-26,1131,4.0
2020-11-27,1150,4.0
2020-11-28,1171,4.0
2020-11-29,1178,4.0
2020-11-30,1192,4.0
2020-12-01,1200,4.0
2020-12-02,1225,4.0
2020-12-03,1250,5.0
2020-12-04,1280,6.0
2020-12-05,1292,6.0
2020-12-06,1295,7.0
2020-12-07,1316,7.0
2020-12-08,1318,9.0
2020-12-09,1335,9.0
2020-12-10,1354,10.0
2020-12-11,1380,10.0
2020-12-12,1396,10.0
2020-12-13,1401,10.0
2020-12-14,1409,10.0
2020-12-15,1427,10.0
2020-12-16,1442,10.0
2020-12-17,1455,10.0
2020-12-18,1467,10.0
2020-12-19,1484,10.0
2020-12-20,1485,11.0
2020-12-21,1494,11.0
2020-12-22,1497,11.0
2020-12-23,1507,11.0
2020-12-24,1508,11.0
2020-12-25,1510,11.0
2020-12-26,1514,11.0
2020-12-27,1516,11.0
2020-12-28,1519,11.0
2020-12-29,1529,12.0
2020-12-30,1536,12.0
2020-12-31,1546,12.0
