date,cases,deaths
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,2,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,2,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,2,0.0
2020-04-08,2,0.0
2020-04-09,2,0.0
2020-04-10,2,0.0
2020-04-11,2,0.0
2020-04-12,2,0.0
2020-04-13,2,0.0
2020-04-14,2,0.0
2020-04-15,2,0.0
2020-04-16,2,0.0
2020-04-17,2,0.0
2020-04-18,2,0.0
2020-04-19,2,0.0
2020-04-20,2,0.0
2020-04-21,2,0.0
2020-04-22,5,0.0
2020-04-23,8,0.0
2020-04-24,10,0.0
2020-04-25,10,0.0
2020-04-26,10,0.0
2020-04-27,10,0.0
2020-04-28,10,0.0
2020-04-29,10,0.0
2020-04-30,10,0.0
2020-05-01,10,0.0
2020-05-02,12,0.0
2020-05-03,12,0.0
2020-05-04,12,0.0
2020-05-05,12,0.0
2020-05-06,14,0.0
2020-05-07,14,0.0
2020-05-08,14,0.0
2020-05-09,14,0.0
2020-05-10,15,0.0
2020-05-11,15,0.0
2020-05-12,15,0.0
2020-05-13,15,0.0
2020-05-14,15,0.0
2020-05-15,15,0.0
2020-05-16,15,0.0
2020-05-17,16,0.0
2020-05-18,18,0.0
2020-05-19,18,0.0
2020-05-20,18,0.0
2020-05-21,21,0.0
2020-05-22,21,0.0
2020-05-23,23,0.0
2020-05-24,23,0.0
2020-05-25,24,0.0
2020-05-26,24,0.0
2020-05-27,24,0.0
2020-05-28,24,0.0
2020-05-29,26,0.0
2020-05-30,26,0.0
2020-05-31,26,0.0
2020-06-01,26,0.0
2020-06-02,26,0.0
2020-06-03,26,0.0
2020-06-04,26,0.0
2020-06-05,29,0.0
2020-06-06,29,0.0
2020-06-07,29,0.0
2020-06-08,32,0.0
2020-06-09,33,0.0
2020-06-10,34,0.0
2020-06-11,35,0.0
2020-06-12,38,0.0
2020-06-13,41,0.0
2020-06-14,42,0.0
2020-06-15,44,0.0
2020-06-16,49,0.0
2020-06-17,55,0.0
2020-06-18,55,0.0
2020-06-19,58,0.0
2020-06-20,66,0.0
2020-06-21,67,0.0
2020-06-22,75,0.0
2020-06-23,79,0.0
2020-06-24,86,0.0
2020-06-25,89,0.0
2020-06-26,94,0.0
2020-06-27,100,0.0
2020-06-28,106,0.0
2020-06-29,113,0.0
2020-06-30,132,0.0
2020-07-01,134,0.0
2020-07-02,142,0.0
2020-07-03,147,0.0
2020-07-04,172,0.0
2020-07-05,187,0.0
2020-07-06,204,0.0
2020-07-07,211,0.0
2020-07-08,223,0.0
2020-07-09,230,0.0
2020-07-10,262,0.0
2020-07-11,269,0.0
2020-07-12,280,0.0
2020-07-13,285,0.0
2020-07-14,291,0.0
2020-07-15,299,0.0
2020-07-16,322,0.0
2020-07-17,333,0.0
2020-07-18,343,0.0
2020-07-19,378,0.0
2020-07-20,379,0.0
2020-07-21,411,1.0
2020-07-22,431,1.0
2020-07-23,467,2.0
2020-07-24,481,2.0
2020-07-25,508,2.0
2020-07-26,525,2.0
2020-07-27,548,3.0
2020-07-28,573,3.0
2020-07-29,583,3.0
2020-07-30,600,3.0
2020-07-31,609,3.0
2020-08-01,630,4.0
2020-08-02,645,4.0
2020-08-03,660,4.0
2020-08-04,683,4.0
2020-08-05,711,4.0
2020-08-06,733,4.0
2020-08-07,744,4.0
2020-08-08,755,4.0
2020-08-09,780,4.0
2020-08-10,802,5.0
2020-08-11,834,5.0
2020-08-12,867,5.0
2020-08-13,880,5.0
2020-08-14,894,5.0
2020-08-15,907,5.0
2020-08-16,926,6.0
2020-08-17,934,6.0
2020-08-18,946,7.0
2020-08-19,969,7.0
2020-08-20,995,7.0
2020-08-21,1014,7.0
2020-08-22,1021,8.0
2020-08-23,1040,8.0
2020-08-24,1049,9.0
2020-08-25,1052,9.0
2020-08-26,1080,9.0
2020-08-27,1088,10.0
2020-08-28,1101,10.0
2020-08-29,1112,10.0
2020-08-30,1130,11.0
2020-08-31,1135,12.0
2020-09-01,1136,15.0
2020-09-02,1155,15.0
2020-09-03,1174,15.0
2020-09-04,1182,15.0
2020-09-05,1196,16.0
2020-09-06,1202,16.0
2020-09-07,1208,16.0
2020-09-08,1209,16.0
2020-09-09,1216,17.0
2020-09-10,1229,17.0
2020-09-11,1243,18.0
2020-09-12,1251,19.0
2020-09-13,1265,19.0
2020-09-14,1279,19.0
2020-09-15,1283,19.0
2020-09-16,1303,20.0
2020-09-17,1318,21.0
2020-09-18,1335,21.0
2020-09-19,1339,21.0
2020-09-20,1346,21.0
2020-09-21,1371,21.0
2020-09-22,1379,21.0
2020-09-23,1397,22.0
2020-09-24,1413,22.0
2020-09-25,1430,22.0
2020-09-26,1442,22.0
2020-09-27,1460,22.0
2020-09-28,1462,22.0
2020-09-29,1468,22.0
2020-09-30,1497,24.0
2020-10-01,1515,24.0
2020-10-02,1541,26.0
2020-10-03,1563,26.0
2020-10-04,1574,26.0
2020-10-05,1575,27.0
2020-10-06,1594,27.0
2020-10-07,1626,27.0
2020-10-08,1636,27.0
2020-10-09,1672,27.0
2020-10-10,1683,28.0
2020-10-11,1710,28.0
2020-10-12,1724,28.0
2020-10-13,1743,28.0
2020-10-14,1759,28.0
2020-10-15,1788,28.0
2020-10-16,1843,28.0
2020-10-17,1860,28.0
2020-10-18,1886,28.0
2020-10-19,1939,28.0
2020-10-20,1957,28.0
2020-10-21,1996,28.0
2020-10-22,2034,28.0
2020-10-23,2075,28.0
2020-10-24,2126,28.0
2020-10-25,2171,28.0
2020-10-26,2190,28.0
2020-10-27,2198,29.0
2020-10-28,2220,29.0
2020-10-29,2287,29.0
2020-10-30,2312,29.0
2020-10-31,2318,29.0
2020-11-01,2329,30.0
2020-11-02,2345,31.0
2020-11-03,2430,32.0
2020-11-04,2483,32.0
2020-11-05,2513,32.0
2020-11-06,2551,32.0
2020-11-07,2607,33.0
2020-11-08,2675,33.0
2020-11-09,2750,33.0
2020-11-10,2825,34.0
2020-11-11,2880,34.0
2020-11-12,2949,34.0
2020-11-13,2992,34.0
2020-11-14,3049,34.0
2020-11-15,3076,34.0
2020-11-16,3116,34.0
2020-11-17,3220,34.0
2020-11-18,3343,34.0
2020-11-19,3499,35.0
2020-11-20,3572,35.0
2020-11-21,3685,36.0
2020-11-22,3827,39.0
2020-11-23,3857,40.0
2020-11-24,3975,40.0
2020-11-25,4073,40.0
2020-11-26,4127,40.0
2020-11-27,4218,41.0
2020-11-28,4308,43.0
2020-11-29,4375,45.0
2020-11-30,4440,46.0
2020-12-01,4545,48.0
2020-12-02,4643,51.0
2020-12-03,4711,51.0
2020-12-04,4813,53.0
2020-12-05,4948,53.0
2020-12-06,4981,53.0
2020-12-07,5074,53.0
2020-12-08,5127,55.0
2020-12-09,5185,55.0
2020-12-10,5252,55.0
2020-12-11,5372,63.0
2020-12-12,5576,64.0
2020-12-13,5689,68.0
2020-12-14,5757,69.0
2020-12-15,5880,69.0
2020-12-16,5997,70.0
2020-12-17,6074,74.0
2020-12-18,6127,73.0
2020-12-19,6173,75.0
2020-12-20,6222,75.0
2020-12-21,6260,75.0
2020-12-22,6361,75.0
2020-12-23,6426,78.0
2020-12-24,6493,80.0
2020-12-25,6527,82.0
2020-12-26,6571,82.0
2020-12-27,6618,83.0
2020-12-28,6663,84.0
2020-12-29,6780,85.0
2020-12-30,6853,88.0
