date,cases,deaths
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,1,0
2020-05-01,1,0
2020-05-02,1,0
2020-05-03,1,0
2020-05-04,1,0
2020-05-05,1,0
2020-05-06,1,0
2020-05-07,1,0
2020-05-08,1,0
2020-05-09,1,0
2020-05-10,2,0
2020-05-11,2,0
2020-05-12,2,0
2020-05-13,2,0
2020-05-14,2,0
2020-05-15,2,0
2020-05-16,3,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,3,0
2020-05-20,3,0
2020-05-21,3,0
2020-05-22,3,0
2020-05-23,3,0
2020-05-24,3,0
2020-05-25,3,0
2020-05-26,3,0
2020-05-27,3,0
2020-05-28,3,0
2020-05-29,3,0
2020-05-30,3,0
2020-05-31,3,0
2020-06-01,3,0
2020-06-02,3,0
2020-06-03,3,0
2020-06-04,3,0
2020-06-05,3,0
2020-06-06,3,0
2020-06-07,3,0
2020-06-08,4,0
2020-06-09,3,0
2020-06-10,3,0
2020-06-11,4,0
2020-06-12,4,0
2020-06-13,4,0
2020-06-14,4,0
2020-06-15,5,0
2020-06-16,5,0
2020-06-17,5,0
2020-06-18,6,0
2020-06-19,6,0
2020-06-20,6,0
2020-06-21,6,0
2020-06-22,8,0
2020-06-23,8,0
2020-06-24,8,0
2020-06-25,8,0
2020-06-26,9,0
2020-06-27,11,0
2020-06-28,12,0
2020-06-29,13,0
2020-06-30,14,0
2020-07-01,14,0
2020-07-02,15,0
2020-07-03,17,0
2020-07-04,19,0
2020-07-05,19,0
2020-07-06,20,0
2020-07-07,20,0
2020-07-08,21,0
2020-07-09,21,0
2020-07-10,22,0
2020-07-11,23,0
2020-07-12,25,0
2020-07-13,27,0
2020-07-14,28,0
2020-07-15,30,0
2020-07-16,32,0
2020-07-17,32,0
2020-07-18,33,0
2020-07-19,39,0
2020-07-20,44,0
2020-07-21,46,0
2020-07-22,47,0
2020-07-23,47,0
2020-07-24,47,0
2020-07-25,48,0
2020-07-26,50,0
2020-07-27,51,0
2020-07-28,51,0
2020-07-29,55,0
2020-07-30,56,0
2020-07-31,59,0
2020-08-01,60,0
2020-08-02,61,0
2020-08-03,61,0
2020-08-04,61,0
2020-08-05,64,0
2020-08-06,65,0
2020-08-07,65,0
2020-08-08,66,0
2020-08-09,66,0
2020-08-10,66,0
2020-08-11,67,0
2020-08-12,68,0
2020-08-13,68,0
2020-08-14,71,0
2020-08-15,71,0
2020-08-16,71,0
2020-08-17,71,0
2020-08-18,71,0
2020-08-19,71,0
2020-08-20,73,0
2020-08-21,74,0
2020-08-22,75,0
2020-08-23,75,0
2020-08-24,75,0
2020-08-25,75,0
2020-08-26,76,0
2020-08-27,78,0
2020-08-28,79,0
2020-08-29,79,0
2020-08-30,79,0
2020-08-31,80,0
2020-09-01,80,0
2020-09-02,80,0
2020-09-03,82,0
2020-09-04,83,0
2020-09-05,85,0
2020-09-06,84,0
2020-09-07,87,0
2020-09-08,89,0
2020-09-09,90,0
2020-09-10,91,0
2020-09-11,94,0
2020-09-12,95,0
2020-09-13,96,0
2020-09-14,95,0
2020-09-15,99,0
2020-09-16,99,0
2020-09-17,99,0
2020-09-18,100,0
2020-09-19,102,0
2020-09-20,102,0
2020-09-21,103,0
2020-09-22,103,0
2020-09-23,104,0
2020-09-24,104,0
2020-09-25,107,0
2020-09-26,108,0
2020-09-27,108,0
2020-09-28,109,0
2020-09-29,109,0
2020-09-30,110,0
2020-10-01,113,0
2020-10-02,114,0
2020-10-03,114,0
2020-10-04,117,0
2020-10-05,115,0
2020-10-06,118,0
2020-10-07,118,0
2020-10-08,117,0
2020-10-09,117,0
2020-10-10,117,0
2020-10-11,119,0
2020-10-12,119,0
2020-10-13,119,0
2020-10-14,121,0
2020-10-15,124,0
2020-10-16,126,0
2020-10-17,126,0
2020-10-18,126,0
2020-10-19,127,0
2020-10-20,130,0
2020-10-21,133,0
2020-10-22,134,0
2020-10-23,137,0
2020-10-24,142,0
2020-10-25,144,0
2020-10-26,145,0
2020-10-27,146,0
2020-10-28,146,0
2020-10-29,149,0
2020-10-30,156,0
2020-10-31,159,0
2020-11-01,161,0
2020-11-02,168,0
2020-11-03,171,0
2020-11-04,175,0
2020-11-05,187,0
2020-11-06,195,0
2020-11-07,204,0
2020-11-08,207,0
2020-11-09,211,0
2020-11-10,217,0
2020-11-11,228,0
2020-11-12,230,0
2020-11-13,249,0
2020-11-14,259,0
2020-11-15,267,0
2020-11-16,275,0
2020-11-17,283,0
2020-11-18,291,0
2020-11-19,307,0
2020-11-20,318,0
2020-11-21,330,0
2020-11-22,333,0
2020-11-23,336,0
