date,cases,deaths
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,3,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,3,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,4,0
2020-04-10,4,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,5,0
2020-04-14,5,0
2020-04-15,5,0
2020-04-16,5,0
2020-04-17,7,0
2020-04-18,9,0
2020-04-19,8,0
2020-04-20,8,0
2020-04-21,8,0
2020-04-22,9,0
2020-04-23,9,0
2020-04-24,9,0
2020-04-25,11,0
2020-04-26,11,0
2020-04-27,11,0
2020-04-28,11,0
2020-04-29,12,0
2020-04-30,13,0
2020-05-01,14,0
2020-05-02,14,0
2020-05-03,15,0
2020-05-04,15,0
2020-05-05,15,0
2020-05-06,15,0
2020-05-07,17,0
2020-05-08,18,0
2020-05-09,18,0
2020-05-10,18,0
2020-05-11,18,0
2020-05-12,21,0
2020-05-13,22,0
2020-05-14,23,0
2020-05-15,23,0
2020-05-16,24,0
2020-05-17,24,0
2020-05-18,24,0
2020-05-19,25,0
2020-05-20,25,0
2020-05-21,26,0
2020-05-22,26,0
2020-05-23,29,0
2020-05-24,29,0
2020-05-25,29,0
2020-05-26,29,0
2020-05-27,29,0
2020-05-28,30,0
2020-05-29,32,0
2020-05-30,32,0
2020-05-31,35,0
2020-06-01,35,0
2020-06-02,36,0
2020-06-03,36,0
2020-06-04,36,0
2020-06-05,37,0
2020-06-06,44,0
2020-06-07,45,0
2020-06-08,47,0
2020-06-09,47,0
2020-06-10,48,0
2020-06-11,48,0
2020-06-12,50,0
2020-06-13,51,0
2020-06-14,51,0
2020-06-15,51,0
2020-06-16,53,0
2020-06-17,54,0
2020-06-18,55,0
2020-06-19,59,2
2020-06-20,61,2
2020-06-21,62,2
2020-06-22,62,2
2020-06-23,66,2
2020-06-24,71,2
2020-06-25,74,2
2020-06-26,75,2
2020-06-27,77,2
2020-06-28,77,2
2020-06-29,79,2
2020-06-30,82,2
2020-07-01,82,2
2020-07-02,82,2
2020-07-03,84,2
2020-07-04,84,2
2020-07-05,84,2
2020-07-06,84,2
2020-07-07,86,2
2020-07-08,86,2
2020-07-09,86,2
2020-07-10,87,2
2020-07-11,91,2
2020-07-12,92,2
2020-07-13,92,2
2020-07-14,97,3
2020-07-15,100,3
2020-07-16,100,3
2020-07-17,102,3
2020-07-18,102,3
2020-07-19,103,3
2020-07-20,103,3
2020-07-21,105,3
2020-07-22,105,3
2020-07-23,108,3
2020-07-24,110,3
2020-07-25,111,3
2020-07-26,111,3
2020-07-27,112,4
2020-07-28,116,4
2020-07-29,118,4
2020-07-30,120,4
2020-07-31,122,4
2020-08-01,122,4
2020-08-02,127,4
2020-08-03,128,4
2020-08-04,132,4
2020-08-05,135,4
2020-08-06,135,4
2020-08-07,141,4
2020-08-08,144,4
2020-08-09,147,4
2020-08-10,147,4
2020-08-11,149,4
2020-08-12,151,4
2020-08-13,156,4
2020-08-14,159,4
2020-08-15,161,4
2020-08-16,167,4
2020-08-17,167,4
2020-08-18,167,4
2020-08-19,168,4
2020-08-20,172,4
2020-08-21,175,4
2020-08-22,178,4
2020-08-23,178,4
2020-08-24,179,4
2020-08-25,180,4
2020-08-26,181,4
2020-08-27,183,4
2020-08-28,185,4
2020-08-29,187,4
2020-08-30,187,4
2020-08-31,189,4
2020-09-01,190,4
2020-09-02,191,4
2020-09-03,191,4
2020-09-04,194,4
2020-09-05,195,4
2020-09-06,195,4
2020-09-07,195,4
2020-09-08,196,4
2020-09-09,197,5
2020-09-10,198,5
2020-09-11,199,5
2020-09-12,202,5
2020-09-13,203,5
2020-09-14,203,5
2020-09-15,207,5
2020-09-16,208,5
2020-09-17,208,5
2020-09-18,207,5
2020-09-19,210,5
2020-09-20,212,5
2020-09-21,214,5
2020-09-22,218,5
2020-09-23,219,5
2020-09-24,220,5
2020-09-25,219,5
2020-09-26,221,5
2020-09-27,222,5
2020-09-28,223,5
2020-09-29,229,5
2020-09-30,230,5
2020-10-01,231,5
2020-10-02,233,5
2020-10-03,234,5
2020-10-04,236,5
2020-10-05,238,5
2020-10-06,240,5
2020-10-07,240,5
2020-10-08,240,5
2020-10-09,247,5
2020-10-10,254,5
2020-10-11,254,5
2020-10-12,256,5
2020-10-13,266,5
2020-10-14,267,5
2020-10-15,269,5
2020-10-16,268,5
2020-10-17,278,5
2020-10-18,280,5
2020-10-19,280,5
2020-10-20,283,5
2020-10-21,289,5
2020-10-22,290,5
2020-10-23,294,5
2020-10-24,304,5
2020-10-25,306,5
2020-10-26,311,5
2020-10-27,312,5
2020-10-28,313,5
2020-10-29,315,5
2020-10-30,316,5
2020-10-31,321,5
2020-11-01,324,5
2020-11-02,324,5
2020-11-03,324,5
2020-11-04,326,5
2020-11-05,325,5
2020-11-06,324,5
2020-11-07,332,5
2020-11-08,338,5
2020-11-09,338,5
2020-11-10,339,5
2020-11-11,343,5
2020-11-12,351,5
2020-11-13,352,6
2020-11-14,354,6
2020-11-15,357,6
2020-11-16,375,6
2020-11-17,381,6
2020-11-18,382,6
2020-11-19,385,6
2020-11-20,391,6
2020-11-21,400,6
2020-11-22,404,6
