date,cases,deaths
2020-03-24,1,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,3,0
2020-04-23,3,0
2020-04-24,3,0
2020-04-25,3,0
2020-04-26,3,0
2020-04-27,3,0
2020-04-28,3,0
2020-04-29,3,0
2020-04-30,3,0
2020-05-01,3,0
2020-05-02,3,0
2020-05-03,3,0
2020-05-04,3,0
2020-05-05,3,0
2020-05-06,3,0
2020-05-07,3,0
2020-05-08,3,0
2020-05-09,3,0
2020-05-10,3,0
2020-05-11,3,0
2020-05-12,3,0
2020-05-13,3,0
2020-05-14,3,0
2020-05-15,3,0
2020-05-16,3,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,3,0
2020-05-20,3,0
2020-05-21,4,0
2020-05-22,4,0
2020-05-23,4,0
2020-05-24,4,0
2020-05-25,4,0
2020-05-26,5,0
2020-05-27,5,0
2020-05-28,5,0
2020-05-29,5,0
2020-05-30,5,0
2020-05-31,5,0
2020-06-01,5,0
2020-06-02,5,0
2020-06-03,5,0
2020-06-04,5,0
2020-06-05,6,0
2020-06-06,6,0
2020-06-07,6,0
2020-06-08,6,0
2020-06-09,6,0
2020-06-10,6,0
2020-06-11,6,0
2020-06-12,6,0
2020-06-13,7,0
2020-06-14,7,0
2020-06-15,7,0
2020-06-16,7,0
2020-06-17,7,0
2020-06-18,7,0
2020-06-19,7,0
2020-06-20,7,0
2020-06-21,7,0
2020-06-22,7,0
2020-06-23,7,0
2020-06-24,7,0
2020-06-25,8,0
2020-06-26,8,0
2020-06-27,8,0
2020-06-28,8,0
2020-06-29,8,0
2020-06-30,8,0
2020-07-01,7,0
2020-07-02,9,0
2020-07-03,9,0
2020-07-04,10,0
2020-07-05,10,0
2020-07-06,10,0
2020-07-07,11,0
2020-07-08,12,0
2020-07-09,19,0
2020-07-10,20,0
2020-07-11,23,0
2020-07-12,19,0
2020-07-13,20,0
2020-07-14,20,0
2020-07-15,23,0
2020-07-16,27,0
2020-07-17,27,0
2020-07-18,30,0
2020-07-19,32,0
2020-07-20,35,0
2020-07-21,39,0
2020-07-22,43,0
2020-07-23,49,0
2020-07-24,49,0
2020-07-25,55,0
2020-07-26,57,0
2020-07-27,58,1
2020-07-28,60,1
2020-07-29,65,1
2020-07-30,69,1
2020-07-31,77,1
2020-08-01,77,1
2020-08-02,78,1
2020-08-03,81,1
2020-08-04,84,1
2020-08-05,88,1
2020-08-06,91,1
2020-08-07,97,1
2020-08-08,101,1
2020-08-09,101,1
2020-08-10,108,1
2020-08-11,111,1
2020-08-12,118,1
2020-08-13,126,1
2020-08-14,130,1
2020-08-15,138,1
2020-08-16,140,1
2020-08-17,144,1
2020-08-18,146,1
2020-08-19,151,1
2020-08-20,151,1
2020-08-21,154,1
2020-08-22,154,1
2020-08-23,156,1
2020-08-24,157,1
2020-08-25,161,1
2020-08-26,163,1
2020-08-27,167,1
2020-08-28,170,1
2020-08-29,172,1
2020-08-30,174,1
2020-08-31,176,1
2020-09-01,177,1
2020-09-02,177,1
2020-09-03,179,1
2020-09-04,182,1
2020-09-05,183,1
2020-09-06,186,1
2020-09-07,189,1
2020-09-08,189,1
2020-09-09,191,1
2020-09-10,204,1
2020-09-11,209,1
2020-09-12,212,1
2020-09-13,212,2
2020-09-14,212,2
2020-09-15,215,3
2020-09-16,215,3
2020-09-17,215,3
2020-09-18,215,3
