date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,1
2020-04-04,1,1
2020-04-05,1,1
2020-04-06,1,1
2020-04-07,1,1
2020-04-08,2,1
2020-04-09,2,1
2020-04-10,2,1
2020-04-11,2,1
2020-04-12,2,1
2020-04-13,3,1
2020-04-14,3,1
2020-04-15,6,1
2020-04-16,7,1
2020-04-17,8,1
2020-04-18,8,1
2020-04-19,8,1
2020-04-20,10,1
2020-04-21,13,1
2020-04-22,15,1
2020-04-23,15,1
2020-04-24,16,1
2020-04-25,16,1
2020-04-26,16,1
2020-04-27,14,1
2020-04-28,14,1
2020-04-29,14,1
2020-04-30,14,1
2020-05-01,16,1
2020-05-02,16,1
2020-05-03,15,1
2020-05-04,16,1
2020-05-05,16,1
2020-05-06,17,1
2020-05-07,16,1
2020-05-08,16,1
2020-05-09,16,1
2020-05-10,17,1
2020-05-11,17,1
2020-05-12,17,1
2020-05-13,17,1
2020-05-14,17,1
2020-05-15,20,1
2020-05-16,20,1
2020-05-17,20,1
2020-05-18,20,1
2020-05-19,20,1
2020-05-20,20,1
2020-05-21,21,1
2020-05-22,26,1
2020-05-23,27,1
2020-05-24,27,1
2020-05-25,27,1
2020-05-26,27,1
2020-05-27,27,1
2020-05-28,28,1
2020-05-29,28,1
2020-05-30,28,1
2020-05-31,28,1
2020-06-01,36,1
2020-06-02,37,1
2020-06-03,39,1
2020-06-04,40,1
2020-06-05,41,1
2020-06-06,41,1
2020-06-07,42,1
2020-06-08,41,1
2020-06-09,41,1
2020-06-10,43,1
2020-06-11,45,1
2020-06-12,47,1
2020-06-13,48,1
2020-06-14,48,1
2020-06-15,48,1
2020-06-16,51,1
2020-06-17,52,1
2020-06-18,54,1
2020-06-19,57,1
2020-06-20,59,1
2020-06-21,59,1
2020-06-22,60,1
2020-06-23,59,1
2020-06-24,60,1
2020-06-25,62,1
2020-06-26,63,1
2020-06-27,63,1
2020-06-28,64,1
2020-06-29,65,1
2020-06-30,66,1
2020-07-01,67,1
2020-07-02,68,1
2020-07-03,74,1
2020-07-04,74,1
2020-07-05,74,1
2020-07-06,75,1
2020-07-07,76,1
2020-07-08,77,1
2020-07-09,77,1
2020-07-10,78,1
2020-07-11,79,1
2020-07-12,79,1
2020-07-13,79,1
2020-07-14,79,1
2020-07-15,79,1
2020-07-16,82,1
2020-07-17,84,1
2020-07-18,87,1
2020-07-19,87,1
2020-07-20,87,1
2020-07-21,88,1
2020-07-22,89,1
2020-07-23,89,1
2020-07-24,92,1
2020-07-25,95,1
2020-07-26,95,1
2020-07-27,97,1
2020-07-28,100,1
2020-07-29,102,1
2020-07-30,105,1
2020-07-31,107,1
2020-08-01,109,1
2020-08-02,110,1
2020-08-03,111,1
2020-08-04,114,1
2020-08-05,119,1
2020-08-06,121,1
2020-08-07,122,1
2020-08-08,125,1
2020-08-09,126,1
2020-08-10,127,1
2020-08-11,129,1
2020-08-12,136,2
2020-08-13,138,2
2020-08-14,147,2
2020-08-15,153,2
2020-08-16,154,2
