date,cases,deaths
2020-03-18,1,0.0
2020-03-19,1,0.0
2020-03-20,2,0.0
2020-03-21,4,0.0
2020-03-22,5,0.0
2020-03-23,6,0.0
2020-03-24,6,0.0
2020-03-25,7,0.0
2020-03-26,7,0.0
2020-03-27,8,0.0
2020-03-28,10,0.0
2020-03-29,10,0.0
2020-03-30,11,0.0
2020-03-31,13,0.0
2020-04-01,17,0.0
2020-04-02,18,0.0
2020-04-03,18,0.0
2020-04-04,19,0.0
2020-04-05,20,0.0
2020-04-06,20,0.0
2020-04-07,32,0.0
2020-04-08,32,0.0
2020-04-09,35,0.0
2020-04-10,35,0.0
2020-04-11,49,0.0
2020-04-12,46,0.0
2020-04-13,47,0.0
2020-04-14,52,0.0
2020-04-15,64,0.0
2020-04-16,71,0.0
2020-04-17,82,0.0
2020-04-18,87,0.0
2020-04-19,95,0.0
2020-04-20,101,0.0
2020-04-21,132,0.0
2020-04-22,132,0.0
2020-04-23,184,0.0
2020-04-24,184,0.0
2020-04-25,184,0.0
2020-04-26,219,0.0
2020-04-27,234,0.0
2020-04-28,263,0.0
2020-04-29,313,1.0
2020-04-30,332,1.0
2020-05-01,344,1.0
2020-05-02,352,1.0
2020-05-03,369,1.0
2020-05-04,400,1.0
2020-05-05,426,1.0
2020-05-06,447,1.0
2020-05-07,492,2.0
2020-05-08,512,2.0
2020-05-09,530,2.0
2020-05-10,530,2.0
2020-05-11,573,2.0
2020-05-12,637,2.0
2020-05-13,637,2.0
2020-05-14,730,2.0
2020-05-15,751,2.0
2020-05-16,776,2.0
2020-05-17,776,2.0
2020-05-18,810,3.0
2020-05-19,828,3.0
2020-05-20,863,3.0
2020-05-21,879,5.0
2020-05-22,917,5.0
2020-05-23,920,5.0
2020-05-24,920,5.0
2020-05-25,920,5.0
2020-05-26,950,5.0
2020-05-27,950,5.0
2020-05-28,989,6.0
2020-05-29,1000,6.0
2020-05-30,1007,6.0
2020-05-31,1007,6.0
2020-06-01,1044,6.0
2020-06-02,1063,7.0
2020-06-03,1079,7.0
2020-06-04,1093,7.0
2020-06-05,1105,7.0
2020-06-06,1112,7.0
2020-06-07,1112,7.0
2020-06-08,1142,7.0
2020-06-09,1174,8.0
2020-06-10,1179,8.0
2020-06-11,1192,8.0
2020-06-12,1220,8.0
2020-06-13,1248,8.0
2020-06-14,1248,8.0
2020-06-15,1275,10.0
2020-06-16,1279,10.0
2020-06-17,1299,10.0
2020-06-18,1305,10.0
2020-06-19,1323,10.0
2020-06-20,1339,10.0
2020-06-21,1357,10.0
2020-06-22,1361,11.0
2020-06-23,1376,11.0
2020-06-24,1398,11.0
2020-06-25,1426,12.0
2020-06-26,1455,14.0
2020-06-27,1481,14.0
2020-06-28,1491,14.0
2020-06-29,1514,14.0
2020-06-30,1533,14.0
2020-07-01,1547,14.0
2020-07-02,1563,15.0
2020-07-03,1583,15.0
2020-07-04,1583,15.0
2020-07-05,1583,15.0
2020-07-06,1650,15.0
2020-07-07,1655,15.0
2020-07-08,1679,15.0
2020-07-09,1698,17.0
2020-07-10,1714,17.0
2020-07-11,1722,17.0
2020-07-12,1733,17.0
2020-07-13,1770,18.0
2020-07-14,1808,18.0
2020-07-15,1830,18.0
2020-07-16,1850,18.0
2020-07-17,1879,19.0
2020-07-18,1911,19.0
2020-07-19,1985,19.0
2020-07-20,1992,19.0
2020-07-21,2013,19.0
2020-07-22,2057,19.0
2020-07-23,2105,21.0
2020-07-24,2146,21.0
2020-07-25,2199,21.0
2020-07-26,2223,21.0
2020-07-27,2244,21.0
2020-07-28,2261,21.0
2020-07-29,2305,22.0
2020-07-30,2327,22.0
2020-07-31,2372,22.0
2020-08-01,2404,22.0
2020-08-02,2427,22.0
2020-08-03,2451,22.0
2020-08-04,2486,22.0
2020-08-05,2537,22.0
2020-08-06,2556,22.0
2020-08-07,2580,22.0
2020-08-08,2617,22.0
2020-08-09,2630,22.0
2020-08-10,2641,22.0
2020-08-11,2670,22.0
2020-08-12,2702,22.0
2020-08-13,2721,22.0
2020-08-14,2742,22.0
2020-08-15,2773,22.0
2020-08-16,2773,22.0
2020-08-17,2802,22.0
2020-08-18,2828,24.0
2020-08-19,2876,24.0
2020-08-20,2901,25.0
2020-08-21,2918,25.0
2020-08-22,2969,25.0
2020-08-23,2969,25.0
2020-08-24,2998,25.0
2020-08-25,3076,25.0
2020-08-26,3146,27.0
2020-08-27,3191,27.0
2020-08-28,3241,27.0
2020-08-29,3275,27.0
2020-08-30,3284,27.0
2020-08-31,3318,27.0
2020-09-01,3363,27.0
2020-09-02,3427,28.0
2020-09-03,3476,29.0
2020-09-04,3569,29.0
2020-09-05,3600,29.0
2020-09-06,3617,29.0
2020-09-07,3648,29.0
2020-09-08,3691,29.0
2020-09-09,3733,33.0
2020-09-10,3819,33.0
2020-09-11,3870,37.0
2020-09-12,3928,37.0
2020-09-13,3942,38.0
2020-09-14,3944,38.0
2020-09-15,3991,40.0
2020-09-16,4028,40.0
2020-09-17,4062,40.0
2020-09-18,4088,40.0
2020-09-19,4125,41.0
2020-09-20,4143,41.0
2020-09-21,4158,41.0
2020-09-22,4190,41.0
2020-09-23,4273,49.0
2020-09-24,4300,49.0
2020-09-25,4333,50.0
2020-09-26,4333,50.0
2020-09-27,4333,50.0
2020-09-28,4403,50.0
2020-09-29,4430,50.0
2020-09-30,4445,50.0
2020-10-01,4465,54.0
2020-10-02,4488,54.0
2020-10-03,4488,54.0
2020-10-04,4490,55.0
2020-10-05,4534,55.0
2020-10-06,4561,55.0
2020-10-07,4589,55.0
2020-10-08,4608,56.0
2020-10-09,4635,56.0
2020-10-10,4635,56.0
2020-10-11,4664,57.0
2020-10-12,4718,57.0
2020-10-13,4754,57.0
2020-10-14,4804,57.0
2020-10-15,4841,57.0
2020-10-16,4894,57.0
2020-10-17,4894,57.0
2020-10-18,4897,57.0
2020-10-19,4944,57.0
2020-10-20,4976,57.0
2020-10-21,4976,57.0
2020-10-22,5054,57.0
2020-10-23,5092,57.0
2020-10-24,5092,57.0
2020-10-25,5125,57.0
2020-10-26,5208,57.0
2020-10-27,5260,57.0
2020-10-28,5301,57.0
2020-10-29,5359,58.0
2020-10-30,5432,58.0
2020-10-31,5432,58.0
2020-11-01,5456,58.0
2020-11-02,5489,58.0
2020-11-03,5551,58.0
2020-11-04,5681,58.0
2020-11-05,5760,58.0
2020-11-06,5760,58.0
2020-11-07,5839,59.0
2020-11-08,5853,59.0
2020-11-09,5992,59.0
2020-11-10,6030,59.0
2020-11-11,6088,59.0
2020-11-12,6152,59.0
2020-11-13,6187,61.0
2020-11-14,6190,61.0
2020-11-15,6214,61.0
2020-11-16,6329,61.0
2020-11-17,6396,61.0
2020-11-18,6510,61.0
2020-11-19,6577,61.0
2020-11-20,6680,61.0
2020-11-21,6680,61.0
2020-11-22,6703,61.0
2020-11-23,6837,62.0
2020-11-24,6837,62.0
2020-11-25,6984,64.0
2020-11-26,6984,64.0
2020-11-27,7094,65.0
2020-11-28,7176,69.0
2020-11-29,7211,73.0
2020-11-30,7360,73.0
2020-12-01,7531,73.0
2020-12-02,7648,73.0
2020-12-03,7733,78.0
2020-12-04,7816,78.0
2020-12-05,7842,81.0
2020-12-06,7915,81.0
2020-12-07,8070,81.0
2020-12-08,8174,81.0
2020-12-09,8231,81.0
2020-12-10,8339,81.0
2020-12-11,8440,81.0
2020-12-12,8520,83.0
2020-12-13,8562,83.0
2020-12-14,8653,83.0
2020-12-15,8740,83.0
2020-12-16,8891,83.0
2020-12-17,8958,83.0
2020-12-18,9054,83.0
