date,cases,deaths
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,4,0
2020-03-23,9,0
2020-03-24,13,0
2020-03-25,17,0
2020-03-26,20,0
2020-03-27,28,0
2020-03-28,28,0
2020-03-29,37,0
2020-03-30,81,0
2020-03-31,94,0
2020-04-01,96,0
2020-04-02,101,0
2020-04-03,113,0
2020-04-04,118,1
2020-04-05,125,1
2020-04-06,141,1
2020-04-07,168,2
2020-04-08,182,3
2020-04-09,192,3
2020-04-10,204,3
2020-04-11,210,3
2020-04-12,224,3
2020-04-13,241,3
2020-04-14,247,4
2020-04-15,261,4
2020-04-16,277,4
2020-04-17,290,6
2020-04-18,304,8
2020-04-19,309,8
2020-04-20,315,8
2020-04-21,340,10
2020-04-22,418,10
2020-04-23,420,10
2020-04-24,434,11
2020-04-25,442,11
2020-04-26,457,11
2020-04-27,470,11
2020-04-28,485,11
2020-04-29,496,11
2020-04-30,506,11
2020-05-01,532,12
2020-05-02,538,13
2020-05-03,593,13
2020-05-04,595,13
2020-05-05,598,14
2020-05-06,604,15
2020-05-07,616,16
2020-05-08,618,18
2020-05-09,634,18
2020-05-10,638,18
2020-05-11,641,18
2020-05-12,659,19
2020-05-13,665,19
2020-05-14,671,19
2020-05-15,682,20
