date,cases,deaths
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,3,0
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,5,0
2020-04-18,5,0
2020-04-19,5,0
2020-04-20,5,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,4,0
2020-04-24,4,0
2020-04-25,4,0
2020-04-26,4,0
2020-04-27,4,0
2020-04-28,4,0
2020-04-29,4,0
2020-04-30,4,0
2020-05-01,4,0
2020-05-02,4,0
2020-05-03,4,0
2020-05-04,4,0
2020-05-05,4,0
2020-05-06,4,0
2020-05-07,4,0
2020-05-08,4,0
2020-05-09,4,0
2020-05-10,4,0
2020-05-11,4,0
2020-05-12,4,0
2020-05-13,4,0
2020-05-14,5,0
2020-05-15,5,0
2020-05-16,5,0
2020-05-17,5,0
2020-05-18,5,0
2020-05-19,5,0
2020-05-20,5,0
2020-05-21,5,0
2020-05-22,5,0
2020-05-23,5,0
2020-05-24,5,0
2020-05-25,5,0
2020-05-26,5,0
2020-05-27,5,0
2020-05-28,5,0
2020-05-29,5,0
2020-05-30,5,0
2020-05-31,5,0
2020-06-01,5,0
2020-06-02,5,0
2020-06-03,5,0
2020-06-04,5,0
2020-06-05,5,0
2020-06-06,6,0
2020-06-07,8,0
2020-06-08,7,0
2020-06-09,6,0
2020-06-10,14,0
2020-06-11,14,0
2020-06-12,14,0
2020-06-13,14,0
2020-06-14,14,0
2020-06-15,14,0
2020-06-16,14,0
2020-06-17,14,0
2020-06-18,15,0
2020-06-19,15,0
2020-06-20,15,0
2020-06-21,15,0
2020-06-22,15,0
2020-06-23,15,0
2020-06-24,16,0
2020-06-25,17,0
2020-06-26,17,0
2020-06-27,18,0
2020-06-28,18,0
2020-06-29,19,0
2020-06-30,21,0
2020-07-01,21,0
2020-07-02,21,0
2020-07-03,22,0
2020-07-04,22,0
2020-07-05,22,0
2020-07-06,22,0
2020-07-07,22,0
2020-07-08,24,0
2020-07-09,28,0
2020-07-10,28,0
2020-07-11,27,0
2020-07-12,29,0
2020-07-13,35,0
2020-07-14,39,0
2020-07-15,44,0
2020-07-16,49,0
2020-07-17,50,0
2020-07-18,53,0
2020-07-19,57,0
2020-07-20,59,0
2020-07-21,69,0
2020-07-22,75,0
2020-07-23,85,0
2020-07-24,88,0
2020-07-25,89,0
2020-07-26,94,0
2020-07-27,105,0
2020-07-28,117,0
2020-07-29,120,0
2020-07-30,133,1
2020-07-31,150,1
2020-08-01,159,1
2020-08-02,159,1
2020-08-03,161,2
2020-08-04,169,2
2020-08-05,174,2
2020-08-06,188,3
2020-08-07,198,3
2020-08-08,198,3
2020-08-09,213,3
2020-08-10,216,3
2020-08-11,215,3
2020-08-12,218,3
2020-08-13,226,3
2020-08-14,234,3
2020-08-15,239,3
2020-08-16,239,3
2020-08-17,244,3
2020-08-18,247,3
2020-08-19,250,3
2020-08-20,252,3
2020-08-21,260,4
2020-08-22,267,4
2020-08-23,270,4
2020-08-24,272,4
2020-08-25,272,4
2020-08-26,280,4
2020-08-27,285,4
2020-08-28,291,4
2020-08-29,302,4
2020-08-30,302,4
2020-08-31,303,4
2020-09-01,305,4
2020-09-02,317,4
2020-09-03,320,4
2020-09-04,332,4
2020-09-05,340,4
2020-09-06,347,4
2020-09-07,354,4
2020-09-08,360,4
2020-09-09,366,5
2020-09-10,383,5
2020-09-11,388,5
2020-09-12,396,5
2020-09-13,399,5
2020-09-14,412,5
2020-09-15,416,6
2020-09-16,425,6
2020-09-17,427,6
2020-09-18,452,6
2020-09-19,455,6
2020-09-20,470,6
