date,cases,deaths
2020-03-29,1,0.0
2020-03-30,3,0.0
2020-03-31,3,0.0
2020-04-01,5,0.0
2020-04-02,5,0.0
2020-04-03,9,0.0
2020-04-04,10,0.0
2020-04-05,11,0.0
2020-04-06,13,0.0
2020-04-07,14,0.0
2020-04-08,15,0.0
2020-04-09,16,0.0
2020-04-10,16,0.0
2020-04-11,19,0.0
2020-04-12,19,0.0
2020-04-13,20,0.0
2020-04-14,20,0.0
2020-04-15,21,0.0
2020-04-16,21,0.0
2020-04-17,22,0.0
2020-04-18,25,0.0
2020-04-19,25,0.0
2020-04-20,25,0.0
2020-04-21,27,0.0
2020-04-22,29,0.0
2020-04-23,30,0.0
2020-04-24,31,0.0
2020-04-25,33,0.0
2020-04-26,33,0.0
2020-04-27,33,0.0
2020-04-28,36,0.0
2020-04-29,36,0.0
2020-04-30,37,0.0
2020-05-01,41,0.0
2020-05-02,46,0.0
2020-05-03,49,0.0
2020-05-04,50,0.0
2020-05-05,56,0.0
2020-05-06,56,0.0
2020-05-07,61,0.0
2020-05-08,61,0.0
2020-05-09,64,0.0
2020-05-10,66,0.0
2020-05-11,66,0.0
2020-05-12,69,1.0
2020-05-13,73,1.0
2020-05-14,75,1.0
2020-05-15,79,1.0
2020-05-16,80,1.0
2020-05-17,80,1.0
2020-05-18,84,1.0
2020-05-19,96,1.0
2020-05-20,104,1.0
2020-05-21,110,1.0
2020-05-22,121,1.0
2020-05-23,128,1.0
2020-05-24,143,1.0
2020-05-25,145,1.0
2020-05-26,147,1.0
2020-05-27,156,1.0
2020-05-28,168,1.0
2020-05-29,176,2.0
2020-05-30,187,2.0
2020-05-31,189,2.0
2020-06-01,191,2.0
2020-06-02,196,2.0
2020-06-03,198,2.0
2020-06-04,215,2.0
2020-06-05,225,2.0
2020-06-06,232,2.0
2020-06-07,232,2.0
2020-06-08,235,2.0
2020-06-09,238,2.0
2020-06-10,248,3.0
2020-06-11,250,3.0
2020-06-12,260,3.0
2020-06-13,263,3.0
2020-06-14,264,3.0
2020-06-15,265,3.0
2020-06-16,269,3.0
2020-06-17,273,3.0
2020-06-18,276,3.0
2020-06-19,278,3.0
2020-06-20,279,3.0
2020-06-21,286,3.0
2020-06-22,292,3.0
2020-06-23,297,3.0
2020-06-24,300,3.0
2020-06-25,301,3.0
2020-06-26,302,3.0
2020-06-27,310,3.0
2020-06-28,311,3.0
2020-06-29,314,3.0
2020-06-30,317,3.0
2020-07-01,326,3.0
2020-07-02,330,3.0
2020-07-03,330,3.0
2020-07-04,332,3.0
2020-07-05,334,3.0
2020-07-06,334,3.0
2020-07-07,334,3.0
2020-07-08,334,3.0
2020-07-09,334,3.0
2020-07-10,336,3.0
2020-07-11,340,3.0
2020-07-12,354,3.0
2020-07-13,356,3.0
2020-07-14,357,3.0
2020-07-15,361,4.0
2020-07-16,361,4.0
2020-07-17,366,4.0
2020-07-18,371,4.0
2020-07-19,374,4.0
2020-07-20,377,4.0
2020-07-21,378,4.0
2020-07-22,380,4.0
2020-07-23,382,4.0
2020-07-24,383,4.0
2020-07-25,385,4.0
2020-07-26,387,4.0
2020-07-27,390,4.0
2020-07-28,390,4.0
2020-07-29,390,4.0
2020-07-30,390,4.0
2020-07-31,391,4.0
2020-08-01,391,4.0
