date,cases,deaths
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,1,0.0
2020-04-07,1,0.0
2020-04-08,1,0.0
2020-04-09,2,0.0
2020-04-10,2,0.0
2020-04-11,2,0.0
2020-04-12,2,0.0
2020-04-13,2,0.0
2020-04-14,2,0.0
2020-04-15,2,0.0
2020-04-16,2,0.0
2020-04-17,2,0.0
2020-04-18,2,0.0
2020-04-19,2,0.0
2020-04-20,2,0.0
2020-04-21,2,0.0
2020-04-22,2,0.0
2020-04-23,2,0.0
2020-04-24,2,0.0
2020-04-25,2,0.0
2020-04-26,2,0.0
2020-04-27,2,0.0
2020-04-28,2,0.0
2020-04-29,2,0.0
2020-04-30,2,0.0
2020-05-01,2,0.0
2020-05-02,3,0.0
2020-05-03,3,0.0
2020-05-04,3,0.0
2020-05-05,3,0.0
2020-05-06,3,0.0
2020-05-07,4,0.0
2020-05-08,4,0.0
2020-05-09,5,0.0
2020-05-10,5,0.0
2020-05-11,5,0.0
2020-05-12,6,0.0
2020-05-13,6,0.0
2020-05-14,7,0.0
2020-05-15,7,0.0
2020-05-16,7,0.0
2020-05-17,7,0.0
2020-05-18,7,0.0
2020-05-19,7,0.0
2020-05-20,7,0.0
2020-05-21,7,0.0
2020-05-22,7,0.0
2020-05-23,7,0.0
2020-05-24,7,0.0
2020-05-25,7,0.0
2020-05-26,7,0.0
2020-05-27,8,0.0
2020-05-28,10,1.0
2020-05-29,10,1.0
2020-05-30,10,1.0
2020-05-31,13,1.0
2020-06-01,13,1.0
2020-06-02,13,1.0
2020-06-03,13,1.0
2020-06-04,21,1.0
2020-06-05,21,1.0
2020-06-06,22,1.0
2020-06-07,24,1.0
2020-06-08,24,1.0
2020-06-09,23,1.0
2020-06-10,24,1.0
2020-06-11,24,1.0
2020-06-12,24,1.0
2020-06-13,24,1.0
2020-06-14,24,1.0
2020-06-15,24,1.0
2020-06-16,24,1.0
2020-06-17,24,1.0
2020-06-18,24,1.0
2020-06-19,24,1.0
2020-06-20,24,1.0
2020-06-21,24,1.0
2020-06-22,24,1.0
2020-06-23,24,1.0
2020-06-24,24,1.0
2020-06-25,24,1.0
2020-06-26,23,1.0
2020-06-27,23,1.0
2020-06-28,23,1.0
2020-06-29,23,1.0
2020-06-30,23,1.0
2020-07-01,23,1.0
2020-07-02,24,1.0
2020-07-03,24,1.0
2020-07-04,24,1.0
2020-07-05,24,1.0
2020-07-06,24,1.0
2020-07-07,24,1.0
2020-07-08,25,1.0
2020-07-09,26,1.0
2020-07-10,26,1.0
2020-07-11,26,1.0
2020-07-12,27,1.0
2020-07-13,28,1.0
2020-07-14,30,1.0
2020-07-15,31,1.0
2020-07-16,31,1.0
2020-07-17,31,1.0
2020-07-18,32,1.0
2020-07-19,32,1.0
2020-07-20,32,1.0
2020-07-21,32,1.0
2020-07-22,32,1.0
2020-07-23,32,1.0
2020-07-24,33,1.0
2020-07-25,33,1.0
2020-07-26,34,1.0
2020-07-27,34,1.0
2020-07-28,35,1.0
2020-07-29,35,1.0
2020-07-30,35,1.0
2020-07-31,35,1.0
2020-08-01,35,1.0
2020-08-02,35,1.0
2020-08-03,36,1.0
2020-08-04,37,1.0
2020-08-05,37,1.0
2020-08-06,37,1.0
2020-08-07,39,1.0
2020-08-08,39,1.0
2020-08-09,42,1.0
2020-08-10,42,1.0
2020-08-11,42,1.0
2020-08-12,42,1.0
2020-08-13,42,1.0
2020-08-14,42,1.0
2020-08-15,42,1.0
2020-08-16,42,1.0
2020-08-17,42,1.0
2020-08-18,43,1.0
2020-08-19,44,1.0
2020-08-20,44,1.0
2020-08-21,45,1.0
2020-08-22,46,1.0
2020-08-23,46,1.0
2020-08-24,47,1.0
2020-08-25,47,1.0
2020-08-26,48,1.0
2020-08-27,49,1.0
2020-08-28,49,1.0
2020-08-29,49,1.0
2020-08-30,49,1.0
2020-08-31,49,1.0
2020-09-01,49,1.0
2020-09-02,49,1.0
2020-09-03,53,1.0
2020-09-04,53,1.0
2020-09-05,54,1.0
2020-09-06,57,1.0
2020-09-07,58,1.0
2020-09-08,59,1.0
2020-09-09,60,1.0
2020-09-10,60,1.0
2020-09-11,63,1.0
2020-09-12,64,1.0
2020-09-13,65,1.0
2020-09-14,65,1.0
2020-09-15,65,1.0
2020-09-16,66,1.0
2020-09-17,66,1.0
2020-09-18,66,1.0
2020-09-19,66,1.0
2020-09-20,70,1.0
2020-09-21,71,1.0
2020-09-22,71,1.0
2020-09-23,71,1.0
2020-09-24,72,1.0
2020-09-25,72,1.0
2020-09-26,72,1.0
2020-09-27,72,1.0
2020-09-28,72,1.0
2020-09-29,72,1.0
2020-09-30,73,1.0
2020-10-01,75,1.0
2020-10-02,76,1.0
2020-10-03,77,1.0
2020-10-04,78,1.0
2020-10-05,78,1.0
2020-10-06,78,1.0
2020-10-07,78,1.0
2020-10-08,78,1.0
2020-10-09,79,1.0
2020-10-10,80,1.0
2020-10-11,80,1.0
2020-10-12,80,1.0
2020-10-13,83,1.0
2020-10-14,83,1.0
2020-10-15,83,1.0
2020-10-16,83,1.0
2020-10-17,84,1.0
2020-10-18,86,1.0
2020-10-19,86,1.0
2020-10-20,86,1.0
2020-10-21,86,1.0
2020-10-22,86,2.0
2020-10-23,86,2.0
2020-10-24,85,2.0
2020-10-25,85,2.0
2020-10-26,85,2.0
2020-10-27,85,2.0
2020-10-28,85,2.0
2020-10-29,85,2.0
2020-10-30,85,2.0
2020-10-31,87,2.0
2020-11-01,87,2.0
2020-11-02,88,2.0
2020-11-03,88,2.0
2020-11-04,89,2.0
2020-11-05,90,2.0
2020-11-06,92,2.0
2020-11-07,93,2.0
2020-11-08,93,2.0
2020-11-09,93,2.0
2020-11-10,96,2.0
2020-11-11,96,2.0
2020-11-12,97,2.0
2020-11-13,97,2.0
2020-11-14,98,2.0
2020-11-15,98,2.0
2020-11-16,98,2.0
2020-11-17,98,2.0
2020-11-18,99,2.0
2020-11-19,99,2.0
2020-11-20,100,2.0
2020-11-21,101,2.0
2020-11-22,102,2.0
2020-11-23,102,2.0
2020-11-24,102,2.0
2020-11-25,102,2.0
2020-11-26,102,2.0
2020-11-27,104,2.0
2020-11-28,104,2.0
2020-11-29,104,2.0
2020-11-30,104,2.0
2020-12-01,105,2.0
2020-12-02,105,2.0
2020-12-03,105,2.0
2020-12-04,106,2.0
2020-12-05,106,2.0
2020-12-06,109,2.0
2020-12-07,109,2.0
2020-12-08,109,2.0
2020-12-09,110,2.0
2020-12-10,113,2.0
2020-12-11,113,2.0
2020-12-12,119,2.0
2020-12-13,121,2.0
2020-12-14,123,2.0
2020-12-15,123,2.0
2020-12-16,127,2.0
2020-12-17,137,2.0
2020-12-18,139,2.0
2020-12-19,140,2.0
2020-12-20,145,2.0
2020-12-21,149,2.0
2020-12-22,150,2.0
2020-12-23,161,2.0
2020-12-24,165,2.0
2020-12-25,169,2.0
2020-12-26,169,2.0
2020-12-27,169,2.0
2020-12-28,170,2.0
2020-12-29,171,2.0
2020-12-30,171,2.0
2020-12-31,171,2.0
2021-01-01,175,2.0
2021-01-02,175,2.0
2021-01-03,176,2.0
2021-01-04,176,2.0
2021-01-05,178,2.0
2021-01-06,183,2.0
2021-01-07,188,2.0
2021-01-08,188,2.0
2021-01-09,192,2.0
2021-01-10,194,2.0
2021-01-11,197,2.0
2021-01-12,201,2.0
2021-01-13,204,2.0
