date,cases,deaths
2020-03-31,1,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,6,0
2020-04-09,6,0
2020-04-10,7,0
2020-04-11,8,0
2020-04-12,8,0
2020-04-13,8,0
2020-04-14,8,0
2020-04-15,8,0
2020-04-16,8,0
2020-04-17,8,0
2020-04-18,9,0
2020-04-19,9,0
2020-04-20,9,0
2020-04-21,10,0
2020-04-22,11,0
2020-04-23,11,0
2020-04-24,12,0
2020-04-25,12,0
2020-04-26,13,0
2020-04-27,12,0
2020-04-28,13,0
2020-04-29,12,0
2020-04-30,12,0
2020-05-01,12,0
2020-05-02,13,0
2020-05-03,13,0
2020-05-04,13,0
2020-05-05,13,1
2020-05-06,13,1
2020-05-07,13,1
2020-05-08,13,1
2020-05-09,13,1
2020-05-10,14,1
2020-05-11,14,1
2020-05-12,14,1
2020-05-13,14,1
2020-05-14,15,1
2020-05-15,15,1
2020-05-16,15,1
2020-05-17,15,1
2020-05-18,15,1
2020-05-19,16,1
2020-05-20,15,1
2020-05-21,16,1
2020-05-22,17,1
2020-05-23,17,1
2020-05-24,18,1
2020-05-25,18,1
2020-05-26,18,1
2020-05-27,18,1
2020-05-28,18,1
2020-05-29,18,1
2020-05-30,18,1
2020-05-31,18,1
2020-06-01,18,1
2020-06-02,19,1
2020-06-03,19,1
2020-06-04,19,1
2020-06-05,19,1
2020-06-06,20,1
2020-06-07,20,1
2020-06-08,20,1
2020-06-09,21,1
2020-06-10,21,1
2020-06-11,22,1
2020-06-12,22,1
2020-06-13,23,1
2020-06-14,23,1
2020-06-15,23,1
2020-06-16,24,1
2020-06-17,24,1
2020-06-18,25,1
2020-06-19,25,1
2020-06-20,26,1
2020-06-21,26,1
2020-06-22,26,1
2020-06-23,26,1
2020-06-24,26,1
2020-06-25,26,1
2020-06-26,26,1
2020-06-27,26,1
2020-06-28,26,1
2020-06-29,28,1
2020-06-30,30,1
2020-07-01,30,1
2020-07-02,30,1
2020-07-03,32,1
2020-07-04,32,1
2020-07-05,34,1
2020-07-06,35,1
2020-07-07,35,1
2020-07-08,37,1
2020-07-09,40,1
2020-07-10,41,1
2020-07-11,44,1
2020-07-12,46,1
2020-07-13,48,1
2020-07-14,50,1
2020-07-15,52,1
2020-07-16,53,1
2020-07-17,55,1
2020-07-18,58,1
2020-07-19,59,1
2020-07-20,62,1
2020-07-21,62,1
2020-07-22,63,1
2020-07-23,66,1
2020-07-24,66,1
2020-07-25,68,1
2020-07-26,70,1
2020-07-27,74,1
2020-07-28,78,1
2020-07-29,80,1
2020-07-30,84,1
2020-07-31,100,1
2020-08-01,102,2
2020-08-02,105,2
2020-08-03,106,2
2020-08-04,109,3
2020-08-05,113,3
2020-08-06,116,3
2020-08-07,121,3
2020-08-08,123,3
2020-08-09,130,3
2020-08-10,136,3
2020-08-11,140,3
2020-08-12,148,3
2020-08-13,164,3
2020-08-14,169,3
2020-08-15,175,3
2020-08-16,179,3
2020-08-17,180,3
2020-08-18,183,4
2020-08-19,185,5
2020-08-20,187,5
2020-08-21,192,5
2020-08-22,195,5
2020-08-23,199,5
2020-08-24,207,5
2020-08-25,216,5
2020-08-26,219,5
2020-08-27,221,6
2020-08-28,224,6
2020-08-29,224,6
2020-08-30,226,6
2020-08-31,229,7
2020-09-01,235,7
2020-09-02,235,8
2020-09-03,239,8
2020-09-04,245,8
2020-09-05,248,9
2020-09-06,251,9
2020-09-07,253,9
2020-09-08,256,9
2020-09-09,257,9
2020-09-10,257,9
2020-09-11,258,9
2020-09-12,260,9
2020-09-13,262,9
2020-09-14,271,9
2020-09-15,273,9
2020-09-16,277,9
2020-09-17,283,9
2020-09-18,283,9
2020-09-19,284,9
2020-09-20,285,9
2020-09-21,288,9
2020-09-22,288,9
2020-09-23,292,9
2020-09-24,293,9
2020-09-25,296,9
2020-09-26,297,9
2020-09-27,298,9
2020-09-28,300,9
2020-09-29,303,9
2020-09-30,306,9
2020-10-01,309,9
2020-10-02,311,10
2020-10-03,311,10
2020-10-04,313,10
2020-10-05,315,10
2020-10-06,319,10
2020-10-07,323,11
2020-10-08,325,11
2020-10-09,327,11
2020-10-10,330,11
2020-10-11,332,11
2020-10-12,334,11
2020-10-13,336,11
2020-10-14,337,11
2020-10-15,340,11
2020-10-16,343,11
2020-10-17,344,11
2020-10-18,350,11
2020-10-19,351,11
2020-10-20,354,11
2020-10-21,363,11
2020-10-22,366,11
2020-10-23,373,11
2020-10-24,380,11
2020-10-25,382,11
2020-10-26,385,11
2020-10-27,393,11
