date,cases,deaths
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,4,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,3,0
2020-04-08,3,0
2020-04-09,4,0
2020-04-10,5,0
2020-04-11,6,0
2020-04-12,6,0
2020-04-13,6,0
2020-04-14,9,0
2020-04-15,8,0
2020-04-16,8,0
2020-04-17,8,0
2020-04-18,8,0
2020-04-19,9,0
2020-04-20,9,0
2020-04-21,9,0
2020-04-22,9,0
2020-04-23,9,0
2020-04-24,9,0
2020-04-25,10,0
2020-04-26,10,0
2020-04-27,10,0
2020-04-28,10,0
2020-04-29,12,0
2020-04-30,13,0
2020-05-01,13,0
2020-05-02,13,0
2020-05-03,13,0
2020-05-04,14,0
2020-05-05,15,0
2020-05-06,16,0
2020-05-07,16,0
2020-05-08,16,0
2020-05-09,16,0
2020-05-10,16,0
2020-05-11,17,0
2020-05-12,16,0
2020-05-13,16,0
2020-05-14,16,0
2020-05-15,16,0
2020-05-16,16,0
2020-05-17,16,0
2020-05-18,16,0
2020-05-19,16,0
2020-05-20,16,0
2020-05-21,16,0
2020-05-22,16,0
2020-05-23,16,0
2020-05-24,16,0
2020-05-25,16,0
2020-05-26,17,0
2020-05-27,17,0
2020-05-28,19,0
2020-05-29,19,0
2020-05-30,22,0
2020-05-31,22,0
2020-06-01,22,0
2020-06-02,22,0
2020-06-03,24,0
2020-06-04,24,0
2020-06-05,24,0
2020-06-06,25,0
2020-06-07,25,0
2020-06-08,25,0
2020-06-09,25,0
2020-06-10,25,0
