date,cases,deaths
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,1,0
2020-05-01,1,0
2020-05-02,1,0
2020-05-03,1,0
2020-05-04,1,0
2020-05-05,1,0
2020-05-06,1,0
2020-05-07,1,0
2020-05-08,1,0
2020-05-09,1,0
2020-05-10,1,0
2020-05-11,1,0
2020-05-12,1,0
2020-05-13,1,0
2020-05-14,1,0
2020-05-15,1,0
2020-05-16,1,0
2020-05-17,1,0
2020-05-18,1,0
2020-05-19,1,0
2020-05-20,1,0
2020-05-21,1,0
2020-05-22,1,0
2020-05-23,1,0
2020-05-24,1,0
2020-05-25,1,0
2020-05-26,1,0
2020-05-27,1,0
2020-05-28,1,0
2020-05-29,1,0
2020-05-30,1,0
2020-05-31,1,0
2020-06-01,1,0
2020-06-02,1,0
2020-06-03,1,0
2020-06-04,1,0
2020-06-05,1,0
2020-06-06,1,0
2020-06-07,1,0
2020-06-08,1,0
2020-06-09,1,0
2020-06-10,1,0
2020-06-11,1,0
2020-06-12,1,0
2020-06-13,1,0
2020-06-14,1,0
2020-06-15,1,0
2020-06-16,1,0
2020-06-17,1,0
2020-06-18,1,0
2020-06-19,1,0
2020-06-20,1,0
2020-06-21,1,0
2020-06-22,1,0
2020-06-23,1,0
2020-06-24,1,0
2020-06-25,1,0
2020-06-26,1,0
2020-06-27,1,0
2020-06-28,1,0
2020-06-29,1,0
2020-06-30,1,0
2020-07-01,1,0
2020-07-02,1,0
2020-07-03,1,0
2020-07-04,1,0
2020-07-05,1,0
2020-07-06,1,0
2020-07-07,1,0
2020-07-08,1,0
2020-07-09,1,0
2020-07-10,1,0
2020-07-11,1,0
2020-07-12,1,0
2020-07-13,1,0
2020-07-14,1,0
2020-07-15,1,0
2020-07-16,1,0
2020-07-17,1,0
2020-07-18,1,0
2020-07-19,1,0
2020-07-20,1,0
2020-07-21,1,0
2020-07-22,1,0
2020-07-23,1,0
2020-07-24,1,0
2020-07-25,1,0
2020-07-26,1,0
2020-07-27,1,0
2020-07-28,1,0
2020-07-29,1,0
2020-07-30,1,0
2020-07-31,1,0
2020-08-01,1,0
2020-08-02,1,0
2020-08-03,1,0
2020-08-04,1,0
2020-08-05,1,0
2020-08-06,1,0
2020-08-07,1,0
2020-08-08,1,0
2020-08-09,1,0
2020-08-10,1,0
2020-08-11,1,0
2020-08-12,3,0
2020-08-13,2,0
2020-08-14,3,0
2020-08-15,11,0
2020-08-16,11,0
2020-08-17,11,0
2020-08-18,14,0
2020-08-19,14,0
2020-08-20,14,0
2020-08-21,14,0
2020-08-22,14,0
2020-08-23,14,0
2020-08-24,14,0
2020-08-25,14,0
2020-08-26,14,0
2020-08-27,14,0
2020-08-28,14,0
2020-08-29,14,0
2020-08-30,14,0
2020-08-31,14,0
2020-09-01,14,0
2020-09-02,14,0
2020-09-03,14,0
2020-09-04,14,0
2020-09-05,14,0
2020-09-06,14,0
2020-09-07,14,0
2020-09-08,19,0
2020-09-09,16,0
2020-09-10,17,0
2020-09-11,18,0
2020-09-12,18,0
2020-09-13,21,0
2020-09-14,21,0
2020-09-15,21,0
2020-09-16,22,0
2020-09-17,22,0
2020-09-18,23,0
2020-09-19,23,0
2020-09-20,23,0
2020-09-21,23,0
2020-09-22,23,0
2020-09-23,24,0
2020-09-24,24,0
2020-09-25,24,0
2020-09-26,24,0
2020-09-27,25,0
2020-09-28,25,0
2020-09-29,25,0
2020-09-30,26,0
2020-10-01,27,0
2020-10-02,27,0
2020-10-03,27,0
2020-10-04,27,0
2020-10-05,27,0
2020-10-06,28,0
2020-10-07,27,0
2020-10-08,31,0
2020-10-09,31,0
2020-10-10,32,0
2020-10-11,32,0
2020-10-12,32,0
2020-10-13,32,0
2020-10-14,32,0
2020-10-15,32,0
2020-10-16,32,0
2020-10-17,34,0
2020-10-18,34,0
2020-10-19,34,0
2020-10-20,33,0
2020-10-21,36,0
2020-10-22,36,0
2020-10-23,36,0
2020-10-24,37,0
2020-10-25,37,0
2020-10-26,37,0
2020-10-27,39,0
2020-10-28,39,0
2020-10-29,39,0
2020-10-30,40,0
2020-10-31,40,0
2020-11-01,40,0
2020-11-02,41,0
2020-11-03,41,0
2020-11-04,43,0
2020-11-05,43,0
2020-11-06,44,0
2020-11-07,45,0
2020-11-08,45,0
2020-11-09,45,0
2020-11-10,47,0
2020-11-11,48,0
2020-11-12,48,0
2020-11-13,48,0
2020-11-14,55,0
2020-11-15,55,0
2020-11-16,56,0
2020-11-17,58,0
2020-11-18,60,0
