date,cases,deaths
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,3,0
2020-03-16,3,0
2020-03-17,4,0
2020-03-18,4,1
2020-03-19,4,1
2020-03-20,4,1
2020-03-21,6,1
2020-03-22,7,1
2020-03-23,8,2
2020-03-24,10,2
2020-03-25,16,2
2020-03-26,20,4
2020-03-27,22,4
2020-03-28,26,4
2020-03-29,35,4
2020-03-30,34,5
2020-03-31,41,5
2020-04-01,53,5
2020-04-02,58,6
2020-04-03,69,6
2020-04-04,74,6
2020-04-05,79,6
2020-04-06,81,6
2020-04-07,88,7
2020-04-08,99,7
2020-04-09,110,7
2020-04-10,144,8
2020-04-11,161,8
2020-04-12,163,8
2020-04-13,165,9
2020-04-14,168,9
2020-04-15,170,9
2020-04-16,184,9
2020-04-17,216,9
2020-04-18,223,9
2020-04-19,247,11
2020-04-20,249,11
2020-04-21,256,11
2020-04-22,257,11
2020-04-23,264,12
2020-04-24,266,14
2020-04-25,267,14
2020-04-26,267,13
2020-04-27,271,14
2020-04-28,272,14
2020-04-29,272,15
2020-04-30,273,15
