date,cases,deaths
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,3,0.0
2020-04-03,3,0.0
2020-04-04,3,0.0
2020-04-05,3,0.0
2020-04-06,3,0.0
2020-04-07,3,0.0
2020-04-08,3,0.0
2020-04-09,3,0.0
2020-04-10,3,0.0
2020-04-11,3,0.0
2020-04-12,3,0.0
2020-04-13,3,0.0
2020-04-14,3,0.0
2020-04-15,3,0.0
2020-04-16,3,0.0
2020-04-17,3,0.0
2020-04-18,3,0.0
2020-04-19,3,0.0
2020-04-20,3,0.0
2020-04-21,3,0.0
2020-04-22,3,0.0
2020-04-23,3,0.0
2020-04-24,3,0.0
2020-04-25,3,0.0
2020-04-26,3,0.0
2020-04-27,3,0.0
2020-04-28,3,0.0
2020-04-29,4,0.0
2020-04-30,3,0.0
2020-05-01,3,0.0
2020-05-02,3,0.0
2020-05-03,3,0.0
2020-05-04,3,0.0
2020-05-05,3,0.0
2020-05-06,3,0.0
2020-05-07,3,0.0
2020-05-08,4,0.0
2020-05-09,5,0.0
2020-05-10,5,0.0
2020-05-11,5,0.0
2020-05-12,8,0.0
2020-05-13,8,0.0
2020-05-14,15,0.0
2020-05-15,16,0.0
2020-05-16,16,0.0
2020-05-17,16,0.0
2020-05-18,17,0.0
2020-05-19,18,0.0
2020-05-20,18,0.0
2020-05-21,20,0.0
2020-05-22,23,0.0
2020-05-23,24,0.0
2020-05-24,25,0.0
2020-05-25,36,0.0
2020-05-26,36,0.0
2020-05-27,36,1.0
2020-05-28,36,1.0
2020-05-29,48,1.0
2020-05-30,79,1.0
2020-05-31,81,1.0
2020-06-01,89,1.0
2020-06-02,89,1.0
2020-06-03,90,1.0
2020-06-04,89,1.0
2020-06-05,92,1.0
2020-06-06,93,1.0
2020-06-07,93,1.0
2020-06-08,94,2.0
2020-06-09,94,2.0
2020-06-10,95,2.0
2020-06-11,95,2.0
2020-06-12,97,2.0
2020-06-13,97,2.0
2020-06-14,98,2.0
2020-06-15,99,2.0
2020-06-16,99,2.0
2020-06-17,99,2.0
2020-06-18,98,2.0
2020-06-19,100,2.0
2020-06-20,100,2.0
2020-06-21,100,2.0
2020-06-22,99,2.0
2020-06-23,99,2.0
2020-06-24,99,2.0
2020-06-25,100,2.0
2020-06-26,100,2.0
2020-06-27,100,2.0
2020-06-28,102,2.0
2020-06-29,102,2.0
2020-06-30,102,2.0
2020-07-01,102,2.0
2020-07-02,102,2.0
2020-07-03,102,2.0
2020-07-04,102,2.0
2020-07-05,102,2.0
2020-07-06,102,2.0
2020-07-07,102,2.0
2020-07-08,103,2.0
2020-07-09,103,2.0
2020-07-10,103,2.0
2020-07-11,103,2.0
2020-07-12,103,2.0
2020-07-13,103,2.0
2020-07-14,103,2.0
2020-07-15,103,2.0
2020-07-16,104,2.0
2020-07-17,104,2.0
2020-07-18,105,2.0
2020-07-19,106,2.0
2020-07-20,106,2.0
2020-07-21,106,2.0
2020-07-22,106,2.0
2020-07-23,106,2.0
2020-07-24,107,2.0
2020-07-25,107,2.0
2020-07-26,107,2.0
2020-07-27,107,2.0
2020-07-28,107,2.0
2020-07-29,107,2.0
2020-07-30,107,2.0
2020-07-31,107,2.0
2020-08-01,107,2.0
2020-08-02,107,2.0
2020-08-03,107,2.0
2020-08-04,107,2.0
2020-08-05,106,2.0
2020-08-06,106,2.0
2020-08-07,106,2.0
2020-08-08,106,2.0
2020-08-09,106,2.0
2020-08-10,106,2.0
2020-08-11,106,2.0
2020-08-12,106,2.0
2020-08-13,106,2.0
2020-08-14,106,2.0
2020-08-15,106,2.0
2020-08-16,106,2.0
2020-08-17,107,2.0
2020-08-18,108,2.0
2020-08-19,108,2.0
2020-08-20,108,2.0
2020-08-21,108,2.0
2020-08-22,108,2.0
2020-08-23,108,2.0
2020-08-24,108,2.0
2020-08-25,108,2.0
2020-08-26,110,2.0
2020-08-27,110,2.0
2020-08-28,110,2.0
2020-08-29,110,2.0
2020-08-30,110,2.0
2020-08-31,111,2.0
2020-09-01,111,2.0
2020-09-02,111,2.0
2020-09-03,111,2.0
2020-09-04,111,2.0
2020-09-05,111,2.0
2020-09-06,111,2.0
2020-09-07,111,2.0
2020-09-08,111,2.0
2020-09-09,111,2.0
2020-09-10,111,2.0
2020-09-11,111,2.0
2020-09-12,111,2.0
2020-09-13,111,2.0
2020-09-14,111,2.0
2020-09-15,111,2.0
2020-09-16,111,2.0
2020-09-17,111,2.0
2020-09-18,111,2.0
2020-09-19,111,2.0
2020-09-20,111,2.0
2020-09-21,111,2.0
2020-09-22,111,2.0
2020-09-23,111,2.0
2020-09-24,111,2.0
2020-09-25,111,2.0
2020-09-26,111,2.0
2020-09-27,111,2.0
2020-09-28,111,2.0
2020-09-29,111,2.0
2020-09-30,111,2.0
2020-10-01,111,2.0
2020-10-02,111,2.0
2020-10-03,111,2.0
2020-10-04,111,2.0
2020-10-05,112,2.0
2020-10-06,112,2.0
2020-10-07,112,2.0
2020-10-08,112,2.0
2020-10-09,113,2.0
2020-10-10,115,2.0
2020-10-11,116,2.0
2020-10-12,116,2.0
2020-10-13,116,2.0
2020-10-14,116,2.0
2020-10-15,117,2.0
2020-10-16,118,2.0
2020-10-17,119,2.0
2020-10-18,119,2.0
2020-10-19,119,2.0
2020-10-20,123,2.0
2020-10-21,124,2.0
2020-10-22,128,2.0
2020-10-23,130,2.0
2020-10-24,133,2.0
2020-10-25,133,2.0
2020-10-26,135,2.0
2020-10-27,135,2.0
2020-10-28,137,2.0
2020-10-29,142,2.0
2020-10-30,142,2.0
2020-10-31,146,2.0
2020-11-01,147,2.0
2020-11-02,148,2.0
2020-11-03,149,2.0
2020-11-04,151,2.0
2020-11-05,155,2.0
2020-11-06,159,2.0
2020-11-07,165,2.0
2020-11-08,168,2.0
2020-11-09,171,2.0
2020-11-10,181,2.0
2020-11-11,185,2.0
2020-11-12,187,2.0
2020-11-13,189,2.0
2020-11-14,193,2.0
2020-11-15,193,2.0
2020-11-16,193,2.0
2020-11-17,194,2.0
2020-11-18,193,2.0
2020-11-19,195,2.0
2020-11-20,195,2.0
2020-11-21,198,2.0
2020-11-22,199,2.0
2020-11-23,199,2.0
2020-11-24,201,2.0
2020-11-25,203,2.0
2020-11-26,209,2.0
2020-11-27,212,2.0
2020-11-28,212,2.0
2020-11-29,216,2.0
2020-11-30,217,2.0
2020-12-01,222,2.0
2020-12-02,224,3.0
2020-12-03,228,4.0
2020-12-04,229,4.0
2020-12-05,231,4.0
2020-12-06,231,4.0
2020-12-07,231,4.0
2020-12-08,232,4.0
2020-12-09,232,4.0
2020-12-10,235,4.0
2020-12-11,237,4.0
2020-12-12,237,4.0
2020-12-13,239,4.0
2020-12-14,239,4.0
2020-12-15,240,4.0
2020-12-16,240,4.0
2020-12-17,241,4.0
2020-12-18,245,4.0
2020-12-19,246,4.0
2020-12-20,246,4.0
2020-12-21,246,4.0
2020-12-22,247,4.0
2020-12-23,247,4.0
2020-12-24,250,4.0
2020-12-25,251,4.0
2020-12-26,251,4.0
2020-12-27,251,4.0
2020-12-28,252,4.0
2020-12-29,253,4.0
2020-12-30,252,4.0
2020-12-31,255,4.0
2021-01-01,256,4.0
2021-01-02,256,4.0
2021-01-03,256,4.0
2021-01-04,257,4.0
2021-01-05,257,4.0
2021-01-06,257,4.0
2021-01-07,262,4.0
2021-01-08,264,4.0
2021-01-09,270,4.0
2021-01-10,272,4.0
2021-01-11,272,4.0
2021-01-12,273,4.0
2021-01-13,277,4.0
2021-01-14,277,4.0
2021-01-15,280,4.0
2021-01-16,283,4.0
2021-01-17,285,4.0
