date,cases,deaths
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,7,0
2020-03-28,8,0
2020-03-29,8,0
2020-03-30,8,0
2020-03-31,9,0
2020-04-01,10,0
2020-04-02,10,0
2020-04-03,10,0
2020-04-04,10,0
2020-04-05,10,0
2020-04-06,10,0
2020-04-07,10,0
2020-04-08,11,0
2020-04-09,11,0
2020-04-10,12,0
2020-04-11,12,0
2020-04-12,12,0
2020-04-13,12,0
2020-04-14,12,0
2020-04-15,12,0
2020-04-16,12,0
2020-04-17,12,0
2020-04-18,12,0
2020-04-19,13,0
2020-04-20,14,0
2020-04-21,14,0
2020-04-22,15,0
2020-04-23,15,0
2020-04-24,15,0
2020-04-25,15,0
2020-04-26,15,0
2020-04-27,15,0
2020-04-28,15,0
2020-04-29,16,0
2020-04-30,16,0
2020-05-01,16,0
2020-05-02,16,0
2020-05-03,16,0
2020-05-04,16,0
2020-05-05,17,0
2020-05-06,17,0
2020-05-07,17,0
2020-05-08,17,0
2020-05-09,17,0
2020-05-10,17,0
2020-05-11,17,0
2020-05-12,17,0
2020-05-13,17,0
2020-05-14,17,0
2020-05-15,17,0
2020-05-16,17,0
2020-05-17,17,0
2020-05-18,18,0
2020-05-19,18,0
2020-05-20,18,0
2020-05-21,18,0
2020-05-22,18,0
2020-05-23,18,0
2020-05-24,19,0
2020-05-25,19,0
2020-05-26,19,0
2020-05-27,19,0
2020-05-28,21,0
2020-05-29,21,0
2020-05-30,23,0
2020-05-31,23,0
2020-06-01,24,0
2020-06-02,25,0
2020-06-03,26,0
2020-06-04,26,0
2020-06-05,26,0
2020-06-06,26,0
2020-06-07,26,0
2020-06-08,27,0
2020-06-09,27,0
2020-06-10,30,0
2020-06-11,32,0
2020-06-12,33,0
2020-06-13,39,0
2020-06-14,39,0
2020-06-15,41,0
2020-06-16,40,0
2020-06-17,41,0
2020-06-18,41,0
2020-06-19,41,0
2020-06-20,41,0
2020-06-21,42,0
2020-06-22,44,0
2020-06-23,44,0
2020-06-24,46,0
2020-06-25,47,0
2020-06-26,48,0
2020-06-27,49,0
2020-06-28,49,0
2020-06-29,49,0
2020-06-30,51,0
2020-07-01,52,0
2020-07-02,53,0
2020-07-03,53,0
