date,cases,deaths
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,1,0.0
2020-04-07,1,0.0
2020-04-08,1,0.0
2020-04-09,1,0.0
2020-04-10,1,0.0
2020-04-11,1,0.0
2020-04-12,1,0.0
2020-04-13,1,0.0
2020-04-14,1,0.0
2020-04-15,1,0.0
2020-04-16,1,0.0
2020-04-17,1,0.0
2020-04-18,1,0.0
2020-04-19,1,0.0
2020-04-20,1,0.0
2020-04-21,1,0.0
2020-04-22,1,0.0
2020-04-23,1,0.0
2020-04-24,1,0.0
2020-04-25,1,0.0
2020-04-26,1,0.0
2020-04-27,1,0.0
2020-04-28,1,0.0
2020-04-29,1,0.0
2020-04-30,1,0.0
2020-05-01,2,0.0
2020-05-02,2,0.0
2020-05-03,2,0.0
2020-05-04,3,0.0
2020-05-05,3,0.0
2020-05-06,3,0.0
2020-05-07,2,0.0
2020-05-08,2,0.0
2020-05-09,2,0.0
2020-05-10,2,0.0
2020-05-11,2,0.0
2020-05-12,2,0.0
2020-05-13,4,0.0
2020-05-14,5,0.0
2020-05-15,5,0.0
2020-05-16,5,0.0
2020-05-17,6,0.0
2020-05-18,6,0.0
2020-05-19,6,0.0
2020-05-20,6,0.0
2020-05-21,6,0.0
2020-05-22,6,0.0
2020-05-23,6,0.0
2020-05-24,6,0.0
2020-05-25,6,0.0
2020-05-26,6,0.0
2020-05-27,6,0.0
2020-05-28,6,0.0
2020-05-29,7,0.0
2020-05-30,7,0.0
2020-05-31,7,0.0
2020-06-01,7,0.0
2020-06-02,7,0.0
2020-06-03,7,0.0
2020-06-04,7,0.0
2020-06-05,10,0.0
2020-06-06,11,0.0
2020-06-07,11,0.0
2020-06-08,11,0.0
2020-06-09,11,0.0
2020-06-10,11,0.0
2020-06-11,11,0.0
2020-06-12,12,0.0
2020-06-13,12,0.0
2020-06-14,12,0.0
2020-06-15,12,0.0
2020-06-16,13,0.0
2020-06-17,14,0.0
2020-06-18,14,0.0
2020-06-19,13,0.0
2020-06-20,13,0.0
2020-06-21,14,0.0
2020-06-22,15,0.0
2020-06-23,15,0.0
2020-06-24,15,0.0
2020-06-25,15,0.0
2020-06-26,16,0.0
2020-06-27,16,0.0
2020-06-28,18,0.0
2020-06-29,20,0.0
2020-06-30,22,0.0
2020-07-01,22,0.0
2020-07-02,25,0.0
2020-07-03,25,0.0
2020-07-04,25,0.0
2020-07-05,25,0.0
2020-07-06,25,0.0
2020-07-07,25,0.0
2020-07-08,25,0.0
2020-07-09,27,0.0
2020-07-10,27,0.0
2020-07-11,28,0.0
2020-07-12,27,0.0
2020-07-13,27,0.0
2020-07-14,29,0.0
2020-07-15,29,0.0
2020-07-16,31,0.0
2020-07-17,31,0.0
2020-07-18,31,0.0
2020-07-19,31,0.0
2020-07-20,35,0.0
2020-07-21,35,0.0
2020-07-22,36,0.0
2020-07-23,38,0.0
2020-07-24,38,0.0
2020-07-25,38,0.0
2020-07-26,38,0.0
2020-07-27,39,0.0
2020-07-28,39,0.0
2020-07-29,39,0.0
2020-07-30,40,0.0
2020-07-31,42,0.0
2020-08-01,42,0.0
2020-08-02,42,0.0
2020-08-03,43,0.0
2020-08-04,43,0.0
2020-08-05,43,0.0
2020-08-06,44,0.0
2020-08-07,45,0.0
2020-08-08,45,0.0
2020-08-09,52,0.0
2020-08-10,53,0.0
2020-08-11,55,0.0
2020-08-12,56,0.0
2020-08-13,57,0.0
2020-08-14,63,0.0
2020-08-15,63,0.0
2020-08-16,64,0.0
2020-08-17,70,0.0
2020-08-18,72,0.0
2020-08-19,77,0.0
2020-08-20,81,0.0
2020-08-21,86,1.0
2020-08-22,86,1.0
2020-08-23,86,1.0
2020-08-24,91,1.0
2020-08-25,94,1.0
2020-08-26,100,1.0
2020-08-27,105,1.0
2020-08-28,109,1.0
2020-08-29,112,1.0
2020-08-30,114,1.0
2020-08-31,114,1.0
2020-09-01,121,1.0
2020-09-02,123,1.0
2020-09-03,125,1.0
2020-09-04,125,1.0
2020-09-05,125,1.0
2020-09-06,125,1.0
2020-09-07,126,1.0
2020-09-08,126,1.0
2020-09-09,127,1.0
2020-09-10,127,1.0
2020-09-11,129,1.0
2020-09-12,130,1.0
2020-09-13,130,1.0
2020-09-14,131,1.0
2020-09-15,130,1.0
2020-09-16,130,1.0
2020-09-17,132,1.0
2020-09-18,134,1.0
2020-09-19,135,1.0
2020-09-20,137,1.0
2020-09-21,139,1.0
2020-09-22,143,1.0
2020-09-23,144,1.0
2020-09-24,144,1.0
2020-09-25,146,1.0
2020-09-26,150,1.0
2020-09-27,152,1.0
2020-09-28,155,1.0
2020-09-29,163,1.0
2020-09-30,167,1.0
2020-10-01,170,1.0
2020-10-02,176,1.0
2020-10-03,181,1.0
2020-10-04,187,1.0
2020-10-05,192,1.0
2020-10-06,196,1.0
2020-10-07,200,1.0
2020-10-08,201,1.0
2020-10-09,201,1.0
2020-10-10,215,1.0
2020-10-11,222,1.0
2020-10-12,227,1.0
2020-10-13,232,1.0
2020-10-14,239,1.0
2020-10-15,243,1.0
2020-10-16,247,1.0
2020-10-17,252,1.0
2020-10-18,257,1.0
2020-10-19,258,1.0
2020-10-20,268,1.0
2020-10-21,274,1.0
2020-10-22,280,1.0
2020-10-23,287,1.0
2020-10-24,288,1.0
2020-10-25,292,1.0
2020-10-26,293,1.0
2020-10-27,298,1.0
2020-10-28,302,1.0
2020-10-29,316,1.0
2020-10-30,327,1.0
2020-10-31,334,1.0
2020-11-01,345,1.0
2020-11-02,347,1.0
2020-11-03,351,1.0
2020-11-04,368,1.0
2020-11-05,404,1.0
2020-11-06,423,1.0
2020-11-07,433,1.0
2020-11-08,442,1.0
2020-11-09,450,1.0
2020-11-10,460,1.0
2020-11-11,490,1.0
2020-11-12,502,1.0
2020-11-13,522,1.0
2020-11-14,557,1.0
2020-11-15,583,1.0
2020-11-16,593,1.0
2020-11-17,604,1.0
2020-11-18,634,1.0
2020-11-19,651,1.0
2020-11-20,663,1.0
2020-11-21,676,1.0
2020-11-22,683,1.0
2020-11-23,696,1.0
2020-11-24,701,1.0
2020-11-25,710,1.0
2020-11-26,720,1.0
2020-11-27,727,1.0
2020-11-28,740,1.0
2020-11-29,746,1.0
2020-11-30,759,1.0
2020-12-01,773,1.0
2020-12-02,784,1.0
2020-12-03,787,1.0
2020-12-04,802,1.0
2020-12-05,813,1.0
2020-12-06,827,1.0
2020-12-07,832,1.0
2020-12-08,847,1.0
2020-12-09,855,1.0
2020-12-10,867,1.0
2020-12-11,874,1.0
2020-12-12,875,2.0
2020-12-13,887,2.0
2020-12-14,889,2.0
2020-12-15,900,2.0
2020-12-16,911,2.0
2020-12-17,915,2.0
2020-12-18,923,2.0
