date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,6,0
2020-04-08,8,0
2020-04-09,8,0
2020-04-10,10,0
2020-04-11,11,0
2020-04-12,11,0
2020-04-13,11,0
2020-04-14,12,0
2020-04-15,12,0
2020-04-16,12,0
2020-04-17,12,0
2020-04-18,12,0
2020-04-19,12,0
2020-04-20,14,0
2020-04-21,16,0
2020-04-22,20,0
2020-04-23,23,0
2020-04-24,23,0
2020-04-25,27,0
2020-04-26,31,0
2020-04-27,33,0
2020-04-28,34,0
2020-04-29,34,0
2020-04-30,34,0
2020-05-01,34,1
2020-05-02,34,1
2020-05-03,34,1
2020-05-04,34,1
2020-05-05,34,1
2020-05-06,34,1
2020-05-07,34,1
2020-05-08,33,1
2020-05-09,34,1
2020-05-10,34,1
2020-05-11,34,1
2020-05-12,34,1
2020-05-13,34,1
2020-05-14,34,2
2020-05-15,35,2
2020-05-16,35,2
2020-05-17,35,2
2020-05-18,36,2
2020-05-19,36,2
2020-05-20,36,2
2020-05-21,36,2
2020-05-22,37,2
2020-05-23,37,2
2020-05-24,37,2
2020-05-25,37,2
2020-05-26,37,2
2020-05-27,37,2
2020-05-28,37,2
2020-05-29,38,2
2020-05-30,38,2
2020-05-31,38,2
2020-06-01,38,2
2020-06-02,38,2
2020-06-03,37,2
2020-06-04,37,2
2020-06-05,37,2
2020-06-06,37,2
2020-06-07,37,2
2020-06-08,37,2
2020-06-09,37,2
2020-06-10,37,2
2020-06-11,40,2
2020-06-12,41,2
2020-06-13,41,2
2020-06-14,41,2
2020-06-15,44,2
2020-06-16,44,2
2020-06-17,47,2
2020-06-18,48,2
2020-06-19,50,2
2020-06-20,50,2
2020-06-21,50,2
2020-06-22,52,2
2020-06-23,53,2
2020-06-24,53,2
2020-06-25,53,2
2020-06-26,53,2
2020-06-27,54,2
2020-06-28,55,2
2020-06-29,56,2
2020-06-30,58,2
2020-07-01,59,2
2020-07-02,60,2
2020-07-03,60,2
2020-07-04,60,2
2020-07-05,60,2
2020-07-06,65,2
2020-07-07,65,2
2020-07-08,66,2
2020-07-09,66,2
2020-07-10,68,2
2020-07-11,69,2
2020-07-12,70,2
2020-07-13,72,2
2020-07-14,74,2
2020-07-15,81,2
2020-07-16,82,2
2020-07-17,87,2
2020-07-18,88,2
2020-07-19,92,2
2020-07-20,92,2
2020-07-21,94,2
2020-07-22,98,2
2020-07-23,100,2
2020-07-24,103,2
2020-07-25,110,2
2020-07-26,112,2
2020-07-27,112,2
2020-07-28,112,2
2020-07-29,113,2
2020-07-30,115,2
2020-07-31,120,2
2020-08-01,124,2
2020-08-02,124,2
2020-08-03,125,2
2020-08-04,128,2
2020-08-05,128,2
2020-08-06,131,2
2020-08-07,137,2
2020-08-08,137,2
2020-08-09,137,2
2020-08-10,138,2
2020-08-11,139,2
2020-08-12,140,2
2020-08-13,142,2
2020-08-14,147,2
2020-08-15,155,2
2020-08-16,155,2
2020-08-17,155,2
2020-08-18,157,2
2020-08-19,165,2
2020-08-20,169,2
2020-08-21,173,2
2020-08-22,174,2
2020-08-23,174,2
2020-08-24,177,2
2020-08-25,183,2
2020-08-26,183,2
2020-08-27,183,2
2020-08-28,185,2
2020-08-29,186,2
2020-08-30,187,2
2020-08-31,188,2
2020-09-01,193,2
2020-09-02,199,2
2020-09-03,200,2
2020-09-04,202,2
2020-09-05,204,2
2020-09-06,206,2
2020-09-07,208,2
2020-09-08,220,2
2020-09-09,222,2
2020-09-10,225,2
2020-09-11,236,2
2020-09-12,235,2
2020-09-13,236,2
2020-09-14,237,2
2020-09-15,239,2
2020-09-16,244,2
2020-09-17,251,2
2020-09-18,257,2
2020-09-19,260,2
2020-09-20,271,2
2020-09-21,276,2
2020-09-22,280,2
2020-09-23,285,3
2020-09-24,290,3
2020-09-25,297,4
2020-09-26,299,4
2020-09-27,302,4
2020-09-28,307,4
2020-09-29,314,4
2020-09-30,317,4
2020-10-01,324,4
2020-10-02,331,4
2020-10-03,337,4
2020-10-04,341,4
2020-10-05,343,4
2020-10-06,349,4
