date,cases,deaths
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,5,0
2020-04-07,7,0
2020-04-08,7,0
2020-04-09,7,0
2020-04-10,7,1
2020-04-11,7,1
2020-04-12,7,1
2020-04-13,7,1
2020-04-14,7,1
2020-04-15,7,1
2020-04-16,7,1
2020-04-17,7,1
2020-04-18,7,1
2020-04-19,7,1
2020-04-20,7,1
2020-04-21,8,1
2020-04-22,8,1
2020-04-23,8,1
2020-04-24,8,1
2020-04-25,8,1
2020-04-26,8,1
2020-04-27,8,1
2020-04-28,8,1
2020-04-29,8,1
2020-04-30,8,1
2020-05-01,8,1
2020-05-02,8,1
2020-05-03,8,1
2020-05-04,9,1
2020-05-05,9,1
2020-05-06,9,1
2020-05-07,9,1
2020-05-08,9,1
2020-05-09,9,1
2020-05-10,9,1
2020-05-11,9,1
2020-05-12,9,1
2020-05-13,9,1
2020-05-14,10,2
2020-05-15,10,2
2020-05-16,10,2
2020-05-17,10,2
2020-05-18,10,2
2020-05-19,10,2
2020-05-20,10,2
2020-05-21,10,2
2020-05-22,11,2
2020-05-23,11,2
2020-05-24,11,2
2020-05-25,12,2
2020-05-26,13,2
2020-05-27,14,2
2020-05-28,14,2
2020-05-29,14,2
2020-05-30,15,2
2020-05-31,16,2
2020-06-01,16,2
2020-06-02,16,2
2020-06-03,17,2
2020-06-04,16,2
2020-06-05,17,2
2020-06-06,17,2
2020-06-07,18,2
2020-06-08,17,2
2020-06-09,17,2
2020-06-10,17,2
2020-06-11,18,2
2020-06-12,18,2
2020-06-13,19,2
2020-06-14,19,2
2020-06-15,19,2
2020-06-16,20,2
2020-06-17,20,2
2020-06-18,22,2
2020-06-19,21,2
2020-06-20,22,2
2020-06-21,21,2
2020-06-22,21,2
2020-06-23,21,2
2020-06-24,23,2
2020-06-25,22,2
2020-06-26,23,2
2020-06-27,23,2
2020-06-28,27,2
2020-06-29,27,2
2020-06-30,30,2
2020-07-01,31,2
2020-07-02,31,2
2020-07-03,30,2
2020-07-04,30,2
2020-07-05,30,2
2020-07-06,31,2
2020-07-07,34,2
2020-07-08,37,2
2020-07-09,39,2
2020-07-10,43,2
2020-07-11,44,2
2020-07-12,46,2
2020-07-13,49,2
2020-07-14,51,2
2020-07-15,53,2
2020-07-16,53,2
2020-07-17,54,2
2020-07-18,56,2
2020-07-19,55,2
2020-07-20,56,2
2020-07-21,60,2
2020-07-22,61,2
2020-07-23,63,2
2020-07-24,67,2
2020-07-25,70,2
2020-07-26,70,2
2020-07-27,72,2
2020-07-28,73,2
2020-07-29,76,2
2020-07-30,78,2
2020-07-31,79,2
2020-08-01,82,2
2020-08-02,83,2
2020-08-03,85,2
2020-08-04,85,2
2020-08-05,85,2
2020-08-06,86,2
2020-08-07,87,2
2020-08-08,88,2
2020-08-09,89,2
2020-08-10,89,2
2020-08-11,89,2
2020-08-12,89,2
2020-08-13,92,2
2020-08-14,92,2
2020-08-15,96,2
2020-08-16,99,2
2020-08-17,99,2
2020-08-18,99,2
2020-08-19,101,2
2020-08-20,101,2
2020-08-21,103,2
2020-08-22,106,2
2020-08-23,109,2
