date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,2,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,5,0
2020-04-09,5,0
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,5,0
2020-04-14,5,0
2020-04-15,5,0
2020-04-16,5,0
2020-04-17,5,0
2020-04-18,5,0
2020-04-19,6,0
2020-04-20,6,0
2020-04-21,6,0
2020-04-22,9,0
2020-04-23,13,0
2020-04-24,13,0
2020-04-25,15,0
2020-04-26,15,0
2020-04-27,15,0
2020-04-28,15,0
2020-04-29,15,0
2020-04-30,17,0
2020-05-01,17,0
2020-05-02,17,0
2020-05-03,17,0
2020-05-04,17,0
2020-05-05,17,0
2020-05-06,18,0
2020-05-07,18,0
2020-05-08,18,0
2020-05-09,18,0
2020-05-10,18,0
2020-05-11,18,0
2020-05-12,18,0
2020-05-13,18,0
2020-05-14,18,0
2020-05-15,19,0
2020-05-16,19,0
2020-05-17,19,0
2020-05-18,19,0
2020-05-19,21,0
2020-05-20,22,0
2020-05-21,22,0
2020-05-22,22,0
2020-05-23,22,0
2020-05-24,22,0
2020-05-25,23,0
2020-05-26,23,0
2020-05-27,24,0
2020-05-28,24,0
2020-05-29,24,0
2020-05-30,24,0
2020-05-31,24,0
2020-06-01,24,0
2020-06-02,25,0
2020-06-03,25,0
2020-06-04,25,0
2020-06-05,25,0
2020-06-06,25,0
2020-06-07,25,0
2020-06-08,25,0
2020-06-09,25,0
2020-06-10,25,0
2020-06-11,25,0
2020-06-12,25,0
2020-06-13,25,0
2020-06-14,25,0
2020-06-15,25,0
2020-06-16,25,0
2020-06-17,25,0
2020-06-18,25,0
2020-06-19,25,0
2020-06-20,25,0
2020-06-21,24,0
2020-06-22,24,0
2020-06-23,24,0
2020-06-24,24,0
2020-06-25,24,0
2020-06-26,24,0
2020-06-27,25,0
2020-06-28,24,0
2020-06-29,24,0
2020-06-30,24,0
2020-07-01,25,0
2020-07-02,25,0
2020-07-03,25,0
2020-07-04,25,0
2020-07-05,25,0
2020-07-06,27,0
2020-07-07,27,0
2020-07-08,27,0
2020-07-09,28,0
2020-07-10,28,0
2020-07-11,29,0
2020-07-12,29,0
2020-07-13,29,0
2020-07-14,29,0
2020-07-15,30,0
2020-07-16,30,0
2020-07-17,30,0
2020-07-18,31,0
2020-07-19,33,0
2020-07-20,33,0
2020-07-21,33,0
2020-07-22,33,0
2020-07-23,34,0
2020-07-24,39,0
2020-07-25,42,0
2020-07-26,43,0
2020-07-27,43,0
2020-07-28,42,0
2020-07-29,42,0
2020-07-30,42,0
2020-07-31,44,0
2020-08-01,44,0
2020-08-02,44,0
2020-08-03,44,0
2020-08-04,48,0
