date,cases,deaths
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,5,1
2020-04-08,5,1
2020-04-09,5,1
2020-04-10,5,1
2020-04-11,5,1
2020-04-12,5,1
2020-04-13,5,1
2020-04-14,5,1
2020-04-15,5,1
2020-04-16,5,1
2020-04-17,5,1
2020-04-18,5,1
2020-04-19,5,1
2020-04-20,6,1
2020-04-21,6,1
2020-04-22,6,1
2020-04-23,8,1
2020-04-24,7,1
2020-04-25,8,1
2020-04-26,8,1
2020-04-27,8,1
2020-04-28,8,1
2020-04-29,10,1
2020-04-30,9,1
2020-05-01,9,1
2020-05-02,9,1
2020-05-03,9,1
2020-05-04,9,1
2020-05-05,11,1
2020-05-06,11,1
2020-05-07,12,1
2020-05-08,12,1
2020-05-09,13,1
2020-05-10,14,1
