date,cases,deaths
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,5,0
2020-04-14,6,0
2020-04-15,7,0
2020-04-16,7,0
2020-04-17,7,0
2020-04-18,7,0
2020-04-19,7,0
2020-04-20,7,0
2020-04-21,9,0
2020-04-22,9,0
2020-04-23,9,0
2020-04-24,9,0
2020-04-25,13,0
2020-04-26,13,0
2020-04-27,15,0
2020-04-28,15,0
2020-04-29,16,0
2020-04-30,17,0
2020-05-01,17,0
2020-05-02,17,0
2020-05-03,18,0
2020-05-04,20,0
2020-05-05,22,0
2020-05-06,22,0
2020-05-07,24,0
