date,cases,deaths
2020-03-27,1,0
2020-03-28,4,0
2020-03-29,4,0
2020-03-30,4,0
2020-03-31,4,0
2020-04-01,8,0
2020-04-02,10,0
2020-04-03,11,0
2020-04-04,18,0
2020-04-05,19,0
2020-04-06,30,0
2020-04-07,31,0
2020-04-08,32,0
2020-04-09,38,0
2020-04-10,41,0
2020-04-11,45,0
2020-04-12,46,0
2020-04-13,46,0
2020-04-14,46,0
2020-04-15,47,0
2020-04-16,55,0
2020-04-17,60,0
2020-04-18,74,0
2020-04-19,74,0
2020-04-20,78,1
2020-04-21,81,1
2020-04-22,82,1
2020-04-23,84,2
2020-04-24,89,2
2020-04-25,97,3
2020-04-26,103,3
2020-04-27,104,3
2020-04-28,109,3
2020-04-29,111,3
2020-04-30,115,2
2020-05-01,129,2
2020-05-02,142,2
2020-05-03,149,3
2020-05-04,153,3
2020-05-05,156,4
2020-05-06,158,4
2020-05-07,174,5
2020-05-08,176,6
2020-05-09,183,6
2020-05-10,184,6
2020-05-11,184,6
2020-05-12,186,8
2020-05-13,187,7
2020-05-14,181,7
2020-05-15,184,8
2020-05-16,184,8
2020-05-17,186,8
2020-05-18,188,8
2020-05-19,190,8
2020-05-20,192,8
2020-05-21,193,8
2020-05-22,194,8
2020-05-23,195,10
2020-05-24,196,10
2020-05-25,200,10
2020-05-26,205,12
2020-05-27,205,12
2020-05-28,205,12
2020-05-29,205,12
2020-05-30,208,13
2020-05-31,209,13
2020-06-01,211,13
2020-06-02,212,13
2020-06-03,215,13
2020-06-04,216,13
2020-06-05,220,13
2020-06-06,220,13
2020-06-07,222,13
2020-06-08,222,13
2020-06-09,224,13
2020-06-10,225,13
2020-06-11,225,13
2020-06-12,226,13
2020-06-13,229,14
2020-06-14,231,14
2020-06-15,231,14
2020-06-16,234,14
2020-06-17,239,14
2020-06-18,239,14
2020-06-19,226,14
2020-06-20,226,14
2020-06-21,226,14
2020-06-22,226,14
2020-06-23,241,14
2020-06-24,241,14
2020-06-25,241,14
2020-06-26,241,14
2020-06-27,241,14
2020-06-28,242,14
2020-06-29,242,14
2020-06-30,246,14
2020-07-01,246,14
2020-07-02,246,14
2020-07-03,247,14
2020-07-04,247,14
2020-07-05,247,14
2020-07-06,247,14
2020-07-07,252,14
2020-07-08,252,14
2020-07-09,254,14
2020-07-10,257,14
2020-07-11,261,14
2020-07-12,261,14
2020-07-13,261,14
2020-07-14,275,14
2020-07-15,276,14
2020-07-16,278,14
2020-07-17,279,14
2020-07-18,279,14
2020-07-19,283,14
2020-07-20,289,14
2020-07-21,307,14
2020-07-22,313,15
2020-07-23,314,15
2020-07-24,315,15
2020-07-25,315,15
2020-07-26,319,15
2020-07-27,319,15
2020-07-28,320,15
2020-07-29,321,15
2020-07-30,321,15
2020-07-31,322,15
2020-08-01,322,15
2020-08-02,324,16
2020-08-03,326,16
2020-08-04,328,16
2020-08-05,332,16
2020-08-06,333,16
2020-08-07,345,16
2020-08-08,345,16
2020-08-09,347,16
2020-08-10,348,16
2020-08-11,355,17
2020-08-12,393,18
2020-08-13,397,18
2020-08-14,399,18
2020-08-15,399,18
2020-08-16,406,18
2020-08-17,408,18
2020-08-18,414,18
2020-08-19,454,18
2020-08-20,455,18
2020-08-21,466,18
2020-08-22,466,18
2020-08-23,467,18
2020-08-24,468,19
2020-08-25,504,19
2020-08-26,545,20
2020-08-27,547,20
2020-08-28,547,20
2020-08-29,547,20
2020-08-30,549,20
2020-08-31,553,20
2020-09-01,575,20
2020-09-02,572,21
2020-09-03,594,21
2020-09-04,611,21
2020-09-05,611,21
2020-09-06,613,21
2020-09-07,624,22
2020-09-08,637,22
2020-09-09,639,22
2020-09-10,637,22
2020-09-11,628,23
2020-09-12,628,23
2020-09-13,651,23
2020-09-14,652,24
