date,cases,deaths
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,2,0
2020-04-28,2,0
2020-04-29,2,0
2020-04-30,5,0
2020-05-01,9,0
2020-05-02,9,0
2020-05-03,9,0
2020-05-04,9,0
2020-05-05,9,0
2020-05-06,9,0
2020-05-07,9,0
2020-05-08,10,0
2020-05-09,10,0
2020-05-10,10,0
2020-05-11,11,0
2020-05-12,11,0
2020-05-13,11,0
2020-05-14,11,0
2020-05-15,13,0
2020-05-16,13,0
2020-05-17,13,0
2020-05-18,13,0
2020-05-19,13,0
2020-05-20,16,0
2020-05-21,16,0
2020-05-22,16,0
2020-05-23,18,0
2020-05-24,20,0
2020-05-25,20,0
2020-05-26,20,0
2020-05-27,20,0
2020-05-28,20,0
2020-05-29,20,0
2020-05-30,20,0
2020-05-31,20,0
2020-06-01,20,0
2020-06-02,20,0
2020-06-03,20,0
2020-06-04,20,0
2020-06-05,20,0
2020-06-06,20,0
2020-06-07,20,0
2020-06-08,20,0
2020-06-09,20,0
2020-06-10,20,0
2020-06-11,20,0
2020-06-12,20,0
2020-06-13,20,0
2020-06-14,20,0
2020-06-15,20,0
2020-06-16,20,0
2020-06-17,21,0
2020-06-18,21,0
2020-06-19,21,0
2020-06-20,21,0
2020-06-21,21,0
2020-06-22,21,0
2020-06-23,22,0
2020-06-24,23,0
2020-06-25,23,0
2020-06-26,23,0
2020-06-27,23,0
2020-06-28,23,0
2020-06-29,25,0
2020-06-30,26,0
2020-07-01,26,0
2020-07-02,26,0
2020-07-03,26,0
2020-07-04,26,0
2020-07-05,27,0
2020-07-06,27,0
2020-07-07,27,0
2020-07-08,27,0
2020-07-09,27,0
2020-07-10,27,0
2020-07-11,27,0
2020-07-12,27,0
2020-07-13,27,0
2020-07-14,27,0
2020-07-15,27,0
2020-07-16,27,0
2020-07-17,28,0
2020-07-18,28,0
2020-07-19,28,0
2020-07-20,30,0
2020-07-21,32,0
2020-07-22,32,0
2020-07-23,32,0
