date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,3,0
2020-03-29,5,0
2020-03-30,6,0
2020-03-31,6,0
2020-04-01,6,0
2020-04-02,6,0
2020-04-03,8,0
2020-04-04,9,0
2020-04-05,11,0
2020-04-06,13,0
2020-04-07,14,0
2020-04-08,15,0
2020-04-09,19,0
2020-04-10,25,0
2020-04-11,30,0
2020-04-12,33,0
2020-04-13,37,0
2020-04-14,40,0
2020-04-15,42,0
2020-04-16,48,0
2020-04-17,56,0
2020-04-18,63,0
2020-04-19,70,0
2020-04-20,74,0
2020-04-21,80,0
2020-04-22,88,0
2020-04-23,94,0
2020-04-24,104,0
2020-04-25,116,0
2020-04-26,118,1
2020-04-27,130,1
2020-04-28,132,1
2020-04-29,136,1
2020-04-30,143,1
2020-05-01,159,2
2020-05-02,168,2
2020-05-03,172,2
2020-05-04,185,2
2020-05-05,193,2
2020-05-06,199,4
2020-05-07,209,4
2020-05-08,223,4
2020-05-09,243,5
2020-05-10,247,5
2020-05-11,249,5
2020-05-12,260,6
2020-05-13,264,6
2020-05-14,287,7
2020-05-15,304,7
2020-05-16,319,8
2020-05-17,337,9
2020-05-18,342,9
2020-05-19,358,10
2020-05-20,366,12
2020-05-21,386,12
2020-05-22,422,12
2020-05-23,435,13
2020-05-24,467,13
2020-05-25,492,15
2020-05-26,506,18
2020-05-27,525,19
2020-05-28,566,22
2020-05-29,576,25
2020-05-30,598,25
2020-05-31,629,28
2020-06-01,652,28
2020-06-02,663,31
2020-06-03,686,32
2020-06-04,701,33
2020-06-05,709,33
2020-06-06,715,34
2020-06-07,729,34
2020-06-08,777,36
2020-06-09,792,36
2020-06-10,812,36
2020-06-11,812,36
2020-06-12,845,37
2020-06-13,852,38
2020-06-14,868,38
2020-06-15,881,39
2020-06-16,899,43
2020-06-17,910,44
2020-06-18,910,44
2020-06-19,910,44
2020-06-20,910,44
2020-06-21,910,44
2020-06-22,928,47
2020-06-23,952,47
2020-06-24,965,48
2020-06-25,994,48
2020-06-26,998,48
2020-06-27,1014,48
2020-06-28,1027,48
2020-06-29,1033,49
2020-06-30,1061,49
2020-07-01,1069,49
2020-07-02,1091,49
2020-07-03,1104,49
2020-07-04,1120,49
2020-07-05,1124,49
2020-07-06,1128,49
2020-07-07,1140,49
2020-07-08,1159,49
2020-07-09,1173,49
2020-07-10,1185,49
2020-07-11,1203,49
2020-07-12,1224,49
2020-07-13,1231,49
2020-07-14,1254,50
2020-07-15,1266,51
2020-07-16,1284,52
2020-07-17,1302,52
2020-07-18,1342,52
2020-07-19,1346,53
2020-07-20,1382,53
2020-07-21,1422,53
2020-07-22,1432,53
2020-07-23,1455,53
2020-07-24,1495,54
2020-07-25,1522,54
2020-07-26,1563,56
2020-07-27,1591,56
2020-07-28,1621,56
2020-07-29,1635,56
2020-07-30,1674,57
2020-07-31,1705,57
2020-08-01,1740,57
2020-08-02,1765,57
2020-08-03,1774,57
2020-08-04,1804,57
2020-08-05,1828,57
2020-08-06,1842,58
2020-08-07,1850,58
2020-08-08,1885,58
2020-08-09,1899,58
2020-08-10,1916,59
2020-08-11,1931,59
2020-08-12,1947,62
2020-08-13,1945,62
2020-08-14,1965,62
2020-08-15,1978,64
2020-08-16,1987,65
2020-08-17,2002,65
2020-08-18,2007,66
2020-08-19,2020,66
2020-08-20,2033,67
2020-08-21,2041,68
2020-08-22,2057,69
2020-08-23,2073,69
2020-08-24,2080,69
2020-08-25,2087,69
2020-08-26,2114,69
2020-08-27,2111,71
2020-08-28,2127,72
2020-08-29,2146,72
2020-08-30,2153,72
2020-08-31,2159,72
2020-09-01,2169,73
2020-09-02,2178,74
2020-09-03,2191,74
2020-09-04,2212,75
2020-09-05,2218,75
2020-09-06,2222,75
2020-09-07,2234,75
2020-09-08,2239,75
2020-09-09,2246,76
2020-09-10,2253,76
2020-09-11,2276,76
2020-09-12,2288,76
2020-09-13,2293,76
2020-09-14,2298,76
2020-09-15,2315,77
2020-09-16,2340,77
2020-09-17,2360,78
2020-09-18,2376,78
2020-09-19,2399,78
2020-09-20,2420,78
2020-09-21,2427,78
2020-09-22,2438,78
2020-09-23,2452,79
2020-09-24,2468,79
2020-09-25,2475,79
2020-09-26,2487,79
2020-09-27,2498,79
2020-09-28,2504,79
2020-09-29,2515,80
2020-09-30,2527,80
2020-10-01,2546,81
2020-10-02,2560,81
2020-10-03,2570,81
2020-10-04,2583,81
2020-10-05,2597,81
2020-10-06,2609,81
2020-10-07,2626,81
2020-10-08,2636,81
