date,cases,deaths
2020-05-05,8,0
2020-05-06,8,0
2020-05-07,8,0
2020-05-08,8,0
2020-05-09,8,0
2020-05-10,8,0
2020-05-11,8,0
2020-05-12,8,0
2020-05-13,8,0
2020-05-14,8,0
2020-05-15,8,0
2020-05-16,8,0
2020-05-17,8,0
2020-05-18,10,0
2020-05-19,11,0
2020-05-20,11,0
2020-05-21,11,0
2020-05-22,11,0
2020-05-23,11,0
2020-05-24,11,0
2020-05-25,12,0
2020-05-26,12,0
2020-05-27,14,0
2020-05-28,16,0
2020-05-29,17,0
2020-05-30,17,0
2020-05-31,17,0
2020-06-01,18,0
2020-06-02,18,0
2020-06-03,18,0
2020-06-04,20,0
2020-06-05,20,0
2020-06-06,21,0
2020-06-07,21,0
2020-06-08,21,0
2020-06-09,23,0
2020-06-10,23,0
2020-06-11,24,0
2020-06-12,26,0
2020-06-13,27,0
2020-06-14,27,0
2020-06-15,28,0
2020-06-16,28,0
2020-06-17,28,0
2020-06-18,29,0
2020-06-19,29,0
2020-06-20,29,0
2020-06-21,29,0
2020-06-22,29,0
2020-06-23,29,0
2020-06-24,30,0
2020-06-25,30,0
2020-06-26,30,0
2020-06-27,33,0
2020-06-28,33,0
2020-06-29,33,0
2020-06-30,34,0
2020-07-01,34,0
2020-07-02,37,0
2020-07-03,37,0
2020-07-04,38,0
2020-07-05,38,0
2020-07-06,45,0
2020-07-07,46,0
2020-07-08,46,0
2020-07-09,47,0
2020-07-10,49,0
2020-07-11,50,0
2020-07-12,50,0
2020-07-13,53,0
2020-07-14,54,0
2020-07-15,55,0
2020-07-16,55,0
