date,cases,deaths
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,5,0
2020-04-03,5,0
2020-04-04,7,0
2020-04-05,7,0
2020-04-06,7,0
2020-04-07,9,0
2020-04-08,11,0
2020-04-09,13,0
2020-04-10,14,1
2020-04-11,18,1
2020-04-12,18,1
2020-04-13,18,1
2020-04-14,19,1
2020-04-15,21,1
2020-04-16,21,2
2020-04-17,22,2
2020-04-18,23,2
2020-04-19,23,2
2020-04-20,23,2
2020-04-21,24,2
2020-04-22,24,2
2020-04-23,24,2
2020-04-24,26,3
2020-04-25,26,3
2020-04-26,28,3
2020-04-27,28,3
2020-04-28,28,3
2020-04-29,28,3
2020-04-30,30,3
2020-05-01,30,3
2020-05-02,30,3
2020-05-03,32,3
2020-05-04,32,3
2020-05-05,33,3
2020-05-06,34,3
2020-05-07,35,3
2020-05-08,44,3
2020-05-09,49,3
2020-05-10,49,3
2020-05-11,52,3
2020-05-12,54,3
2020-05-13,54,3
2020-05-14,54,3
2020-05-15,65,3
2020-05-16,75,3
2020-05-17,75,3
2020-05-18,76,3
2020-05-19,78,3
2020-05-20,82,3
2020-05-21,84,3
2020-05-22,89,4
2020-05-23,92,4
2020-05-24,92,4
2020-05-25,92,4
2020-05-26,132,4
2020-05-27,138,4
2020-05-28,140,4
2020-05-29,156,4
2020-05-30,164,4
2020-05-31,164,4
2020-06-01,175,4
2020-06-02,178,4
2020-06-03,184,5
2020-06-04,184,5
2020-06-05,214,5
2020-06-06,216,5
2020-06-07,218,5
2020-06-08,226,5
2020-06-09,233,6
2020-06-10,233,6
2020-06-11,233,6
2020-06-12,256,6
2020-06-13,268,6
2020-06-14,274,6
2020-06-15,277,6
2020-06-16,277,6
2020-06-17,281,6
2020-06-18,314,6
2020-06-19,347,6
2020-06-20,358,6
2020-06-21,361,6
2020-06-22,365,6
2020-06-23,370,7
2020-06-24,378,7
2020-06-25,391,10
2020-06-26,400,10
2020-06-27,405,10
2020-06-28,456,11
2020-06-29,456,11
2020-06-30,456,11
2020-07-01,456,12
2020-07-02,456,14
2020-07-03,456,16
2020-07-04,456,16
2020-07-05,456,16
2020-07-06,524,17
2020-07-07,528,17
2020-07-08,537,17
2020-07-09,545,17
2020-07-10,559,18
2020-07-11,565,18
2020-07-12,569,19
2020-07-13,573,19
2020-07-14,577,20
2020-07-15,580,20
2020-07-16,586,20
2020-07-17,591,20
2020-07-18,598,21
2020-07-19,613,21
2020-07-20,620,21
2020-07-21,628,22
2020-07-22,635,22
2020-07-23,639,22
2020-07-24,651,22
2020-07-25,659,22
2020-07-26,662,22
2020-07-27,663,22
2020-07-28,668,22
2020-07-29,671,22
2020-07-30,688,22
2020-07-31,699,22
2020-08-01,703,22
2020-08-02,708,22
2020-08-03,711,22
2020-08-04,720,22
2020-08-05,725,22
2020-08-06,732,22
2020-08-07,740,21
2020-08-08,770,21
2020-08-09,773,21
2020-08-10,774,21
2020-08-11,779,21
2020-08-12,786,21
2020-08-13,797,21
2020-08-14,801,21
2020-08-15,817,21
2020-08-16,817,21
2020-08-17,820,21
2020-08-18,827,22
2020-08-19,841,22
2020-08-20,847,22
2020-08-21,854,22
2020-08-22,866,22
2020-08-23,866,22
2020-08-24,872,23
2020-08-25,872,23
2020-08-26,877,23
2020-08-27,882,23
2020-08-28,890,23
2020-08-29,896,23
2020-08-30,900,23
2020-08-31,902,23
2020-09-01,909,23
2020-09-02,915,23
2020-09-03,923,23
2020-09-04,933,23
2020-09-05,939,23
2020-09-06,943,23
2020-09-07,944,23
2020-09-08,945,23
2020-09-09,955,23
2020-09-10,963,23
2020-09-11,974,23
2020-09-12,977,23
