date,cases,deaths
2020-03-27,1,0
2020-03-28,1,1
2020-03-29,1,1
2020-03-30,1,1
2020-03-31,1,1
2020-04-01,2,1
2020-04-02,2,1
2020-04-03,2,1
2020-04-04,2,1
2020-04-05,2,1
2020-04-06,2,1
2020-04-07,2,1
2020-04-08,2,1
2020-04-09,3,1
2020-04-10,3,1
2020-04-11,3,1
2020-04-12,4,1
2020-04-13,4,1
2020-04-14,4,1
2020-04-15,4,1
2020-04-16,4,1
2020-04-17,4,1
2020-04-18,4,1
2020-04-19,4,1
2020-04-20,4,1
2020-04-21,4,1
2020-04-22,5,1
2020-04-23,6,1
2020-04-24,7,1
2020-04-25,7,1
2020-04-26,7,1
2020-04-27,7,1
2020-04-28,7,1
2020-04-29,8,1
2020-04-30,8,1
2020-05-01,10,1
2020-05-02,10,1
2020-05-03,10,1
2020-05-04,10,1
2020-05-05,10,1
2020-05-06,10,1
2020-05-07,10,1
2020-05-08,11,1
2020-05-09,13,1
2020-05-10,13,1
2020-05-11,13,1
2020-05-12,13,1
2020-05-13,14,1
2020-05-14,15,1
2020-05-15,16,1
2020-05-16,17,1
2020-05-17,17,1
