date,cases,deaths
2020-04-06,1,0.0
2020-04-07,1,0.0
2020-04-08,1,0.0
2020-04-09,1,0.0
2020-04-10,1,0.0
2020-04-11,1,0.0
2020-04-12,1,0.0
2020-04-13,1,0.0
2020-04-14,1,0.0
2020-04-15,5,0.0
2020-04-16,5,0.0
2020-04-17,5,0.0
2020-04-18,5,0.0
2020-04-19,5,0.0
2020-04-20,5,0.0
2020-04-21,5,0.0
2020-04-22,5,0.0
2020-04-23,6,0.0
2020-04-24,6,0.0
2020-04-25,8,0.0
2020-04-26,6,0.0
2020-04-27,9,0.0
2020-04-28,9,0.0
2020-04-29,9,0.0
2020-04-30,9,0.0
2020-05-01,11,0.0
2020-05-02,10,0.0
2020-05-03,10,0.0
2020-05-04,10,0.0
2020-05-05,13,0.0
2020-05-06,14,0.0
2020-05-07,14,0.0
2020-05-08,14,0.0
2020-05-09,15,0.0
2020-05-10,15,0.0
2020-05-11,15,0.0
2020-05-12,19,0.0
2020-05-13,20,0.0
2020-05-14,20,0.0
2020-05-15,20,0.0
2020-05-16,20,0.0
2020-05-17,20,0.0
2020-05-18,20,0.0
2020-05-19,23,0.0
2020-05-20,24,0.0
2020-05-21,24,0.0
2020-05-22,24,0.0
2020-05-23,27,0.0
2020-05-24,27,0.0
2020-05-25,27,0.0
2020-05-26,27,0.0
2020-05-27,27,0.0
2020-05-28,56,0.0
2020-05-29,66,0.0
2020-05-30,66,0.0
2020-05-31,93,0.0
2020-06-01,102,0.0
2020-06-02,102,0.0
2020-06-03,103,0.0
2020-06-04,103,0.0
2020-06-05,103,0.0
2020-06-06,104,0.0
2020-06-07,105,0.0
2020-06-08,105,0.0
2020-06-09,27,0.0
2020-06-10,107,0.0
2020-06-11,107,0.0
2020-06-12,107,0.0
2020-06-13,107,0.0
2020-06-14,107,0.0
2020-06-15,107,0.0
2020-06-16,112,0.0
2020-06-17,111,0.0
2020-06-18,111,0.0
2020-06-19,112,0.0
2020-06-20,112,0.0
2020-06-21,112,0.0
2020-06-22,112,0.0
2020-06-23,112,0.0
2020-06-24,113,0.0
2020-06-25,116,0.0
2020-06-26,116,0.0
2020-06-27,120,0.0
2020-06-28,117,0.0
2020-06-29,120,0.0
2020-06-30,124,0.0
2020-07-01,127,0.0
2020-07-02,130,0.0
2020-07-03,131,0.0
2020-07-04,132,0.0
2020-07-05,131,0.0
2020-07-06,131,0.0
2020-07-07,135,1.0
2020-07-08,135,1.0
2020-07-09,138,1.0
2020-07-10,138,1.0
