date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,4,0
2020-04-07,5,0
2020-04-08,5,0
2020-04-09,6,0
2020-04-10,6,0
2020-04-11,6,0
2020-04-12,6,0
2020-04-13,7,0
2020-04-14,8,0
2020-04-15,9,0
2020-04-16,11,0
2020-04-17,11,0
2020-04-18,12,0
2020-04-19,18,0
2020-04-20,18,0
2020-04-21,19,0
2020-04-22,21,0
2020-04-23,22,0
2020-04-24,22,0
2020-04-25,22,0
2020-04-26,23,0
2020-04-27,23,0
2020-04-28,24,0
2020-04-29,24,0
2020-04-30,25,0
2020-05-01,25,0
2020-05-02,25,0
2020-05-03,25,0
2020-05-04,25,0
2020-05-05,26,0
2020-05-06,26,0
2020-05-07,26,0
2020-05-08,26,0
2020-05-09,27,0
2020-05-10,27,0
2020-05-11,27,0
2020-05-12,27,0
2020-05-13,27,1
2020-05-14,28,1
2020-05-15,28,1
2020-05-16,28,1
2020-05-17,28,1
2020-05-18,30,1
2020-05-19,30,1
2020-05-20,30,1
2020-05-21,30,1
2020-05-22,32,1
2020-05-23,32,1
2020-05-24,32,1
2020-05-25,32,1
2020-05-26,33,1
2020-05-27,33,1
2020-05-28,33,1
2020-05-29,33,1
2020-05-30,33,1
2020-05-31,33,1
2020-06-01,33,1
2020-06-02,33,1
2020-06-03,34,1
2020-06-04,34,1
2020-06-05,34,1
2020-06-06,34,1
2020-06-07,34,1
2020-06-08,34,1
2020-06-09,34,1
2020-06-10,34,1
2020-06-11,35,1
2020-06-12,35,1
2020-06-13,36,1
2020-06-14,36,1
2020-06-15,39,1
2020-06-16,41,1
2020-06-17,42,1
2020-06-18,42,1
