date,cases,deaths
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,3,0
2020-03-20,3,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,4,0
2020-03-24,9,0
2020-03-25,13,0
2020-03-26,17,0
2020-03-27,18,0
2020-03-28,18,0
2020-03-29,22,0
2020-03-30,29,0
2020-03-31,31,1
2020-04-01,35,1
2020-04-02,46,1
2020-04-03,61,1
2020-04-04,63,1
2020-04-05,71,1
2020-04-06,71,1
2020-04-07,74,1
2020-04-08,81,2
2020-04-09,90,3
2020-04-10,92,4
2020-04-11,106,4
2020-04-12,120,4
2020-04-13,149,5
2020-04-14,161,5
2020-04-15,189,5
2020-04-16,201,5
2020-04-17,207,5
2020-04-18,217,3
2020-04-19,226,3
2020-04-20,231,3
2020-04-21,245,3
2020-04-22,253,3
2020-04-23,263,3
2020-04-24,274,4
2020-04-25,284,4
2020-04-26,289,4
2020-04-27,292,5
2020-04-28,302,5
2020-04-29,318,6
2020-04-30,337,6
2020-05-01,355,6
2020-05-02,379,6
2020-05-03,409,7
2020-05-04,438,8
2020-05-05,456,8
2020-05-06,477,12
2020-05-07,515,13
2020-05-08,533,15
2020-05-09,576,15
2020-05-10,608,15
2020-05-11,642,15
2020-05-12,684,18
2020-05-13,705,19
2020-05-14,753,20
2020-05-15,787,20
2020-05-16,816,20
2020-05-17,823,20
2020-05-18,863,20
2020-05-19,907,24
2020-05-20,994,27
2020-05-21,1052,28
2020-05-22,1096,29
2020-05-23,1147,30
2020-05-24,1186,30
2020-05-25,1274,33
2020-05-26,1384,34
2020-05-27,1446,34
2020-05-28,1541,34
2020-05-29,1590,38
2020-05-30,1632,38
2020-05-31,1710,40
2020-06-01,1778,44
2020-06-02,1824,44
2020-06-03,1845,44
2020-06-04,1881,44
2020-06-05,1929,45
2020-06-06,2023,48
2020-06-07,2084,49
2020-06-08,2158,55
2020-06-09,2256,57
2020-06-10,2326,62
2020-06-11,2472,66
2020-06-12,2581,69
2020-06-13,2683,69
2020-06-14,2830,69
2020-06-15,2910,69
2020-06-16,2961,71
2020-06-17,2996,72
2020-06-18,3101,75
2020-06-19,3149,77
2020-06-20,3222,81
2020-06-21,3258,81
2020-06-22,3297,81
2020-06-23,3351,87
2020-06-24,3441,90
2020-06-25,3514,91
2020-06-26,3569,94
2020-06-27,3624,95
2020-06-28,3630,95
2020-06-29,3777,96
2020-06-30,3839,97
2020-07-01,3890,102
2020-07-02,3925,104
2020-07-03,3994,105
2020-07-04,4068,105
