date,cases,deaths
2020-04-06,3,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,4,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,4,0
2020-04-17,5,0
2020-04-18,5,0
2020-04-19,5,0
2020-04-20,5,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,7,0
2020-04-24,7,0
2020-04-25,7,0
2020-04-26,7,0
2020-04-27,7,0
2020-04-28,7,0
2020-04-29,7,1
2020-04-30,8,1
2020-05-01,9,1
2020-05-02,11,1
2020-05-03,11,1
2020-05-04,12,1
2020-05-05,14,1
2020-05-06,18,1
2020-05-07,19,1
2020-05-08,20,1
2020-05-09,20,1
2020-05-10,20,1
2020-05-11,20,1
2020-05-12,20,1
2020-05-13,20,2
2020-05-14,20,2
2020-05-15,20,2
2020-05-16,20,2
2020-05-17,20,2
2020-05-18,22,2
2020-05-19,22,2
2020-05-20,24,2
2020-05-21,26,2
2020-05-22,26,2
2020-05-23,26,2
2020-05-24,29,2
2020-05-25,31,2
2020-05-26,35,2
2020-05-27,38,2
2020-05-28,41,2
2020-05-29,46,2
2020-05-30,47,2
2020-05-31,48,2
2020-06-01,51,2
2020-06-02,51,2
2020-06-03,53,2
2020-06-04,54,2
2020-06-05,55,2
