date,cases,deaths
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,4,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,4,0
2020-04-03,5,0
2020-04-04,7,0
2020-04-05,8,0
2020-04-06,9,0
2020-04-07,9,0
2020-04-08,9,0
2020-04-09,11,0
2020-04-10,11,0
2020-04-11,13,0
2020-04-12,15,0
2020-04-13,16,0
2020-04-14,15,0
2020-04-15,15,0
2020-04-16,18,0
2020-04-17,20,0
2020-04-18,22,0
2020-04-19,24,0
2020-04-20,28,0
2020-04-21,29,0
2020-04-22,31,0
2020-04-23,31,0
2020-04-24,34,0
2020-04-25,36,0
2020-04-26,36,0
2020-04-27,36,0
2020-04-28,37,0
2020-04-29,38,0
2020-04-30,39,0
2020-05-01,39,0
2020-05-02,39,0
2020-05-03,39,0
2020-05-04,39,0
2020-05-05,39,0
2020-05-06,40,0
2020-05-07,40,0
2020-05-08,41,1
2020-05-09,41,1
2020-05-10,41,1
2020-05-11,42,1
2020-05-12,43,1
2020-05-13,43,1
2020-05-14,44,1
2020-05-15,45,1
2020-05-16,46,1
2020-05-17,46,1
2020-05-18,46,1
2020-05-19,46,1
2020-05-20,46,1
2020-05-21,51,2
2020-05-22,56,2
2020-05-23,58,1
2020-05-24,59,1
2020-05-25,59,1
2020-05-26,64,1
2020-05-27,63,1
2020-05-28,67,1
2020-05-29,67,2
2020-05-30,72,3
2020-05-31,74,3
2020-06-01,76,3
2020-06-02,89,4
2020-06-03,94,5
2020-06-04,105,5
2020-06-05,120,5
2020-06-06,122,5
2020-06-07,141,5
2020-06-08,149,5
2020-06-09,156,5
2020-06-10,167,5
2020-06-11,171,5
2020-06-12,178,5
2020-06-13,206,5
2020-06-14,216,5
2020-06-15,221,5
2020-06-16,241,5
2020-06-17,248,5
2020-06-18,267,5
2020-06-19,332,6
2020-06-20,362,6
2020-06-21,363,6
2020-06-22,372,6
2020-06-23,432,6
2020-06-24,441,6
2020-06-25,468,6
2020-06-26,509,6
2020-06-27,538,6
2020-06-28,573,6
2020-06-29,605,6
2020-06-30,645,8
2020-07-01,663,12
2020-07-02,684,12
2020-07-03,723,14
2020-07-04,775,14
2020-07-05,811,14
2020-07-06,838,14
2020-07-07,870,17
2020-07-08,884,20
2020-07-09,925,20
2020-07-10,984,21
2020-07-11,1020,22
2020-07-12,1049,22
2020-07-13,1068,24
2020-07-14,1100,27
2020-07-15,1131,27
2020-07-16,1161,27
2020-07-17,1186,28
2020-07-18,1230,29
2020-07-19,1258,29
2020-07-20,1260,29
2020-07-21,1287,30
2020-07-22,1296,29
2020-07-23,1311,31
2020-07-24,1327,40
2020-07-25,1363,43
2020-07-26,1388,43
2020-07-27,1399,44
2020-07-28,1422,45
2020-07-29,1442,45
2020-07-30,1467,47
2020-07-31,1503,48
2020-08-01,1523,49
2020-08-02,1536,49
2020-08-03,1557,50
2020-08-04,1554,50
2020-08-05,1560,52
2020-08-06,1567,52
2020-08-07,1591,52
2020-08-08,1674,52
2020-08-09,1675,52
2020-08-10,1688,53
2020-08-11,1730,55
2020-08-12,1732,56
2020-08-13,1747,57
2020-08-14,1751,57
2020-08-15,1760,57
2020-08-16,1761,57
2020-08-17,1762,57
2020-08-18,1772,57
2020-08-19,1769,57
2020-08-20,1781,57
2020-08-21,1792,59
2020-08-22,1798,59
2020-08-23,1799,59
2020-08-24,1803,59
2020-08-25,1805,60
2020-08-26,1809,61
2020-08-27,1812,61
2020-08-28,1815,61
2020-08-29,1817,62
2020-08-30,1818,62
2020-08-31,1819,62
2020-09-01,1829,63
2020-09-02,1836,64
2020-09-03,1839,64
2020-09-04,1844,64
2020-09-05,1843,64
2020-09-06,1846,64
2020-09-07,1847,64
2020-09-08,1848,64
2020-09-09,1854,66
2020-09-10,1855,66
2020-09-11,1856,66
2020-09-12,1860,67
2020-09-13,1860,67
2020-09-14,1860,67
2020-09-15,1867,71
2020-09-16,1869,71
2020-09-17,1878,71
2020-09-18,1880,72
2020-09-19,1880,72
2020-09-20,1881,72
2020-09-21,1881,72
2020-09-22,1887,72
2020-09-23,1886,72
2020-09-24,1889,72
2020-09-25,1893,72
2020-09-26,1901,72
2020-09-27,1905,72
2020-09-28,1903,72
2020-09-29,1905,72
2020-09-30,1914,73
2020-10-01,1914,73
2020-10-02,1922,73
2020-10-03,1922,73
2020-10-04,1922,73
2020-10-05,1929,73
2020-10-06,1929,73
2020-10-07,1943,73
2020-10-08,1943,73
2020-10-09,1961,73
2020-10-10,1961,73
2020-10-11,1965,73
2020-10-12,1984,73
2020-10-13,1984,73
2020-10-14,2000,73
2020-10-15,2005,73
2020-10-16,2030,73
2020-10-17,2030,73
2020-10-18,2032,73
2020-10-19,2057,73
2020-10-20,2062,73
2020-10-21,2096,73
2020-10-22,2096,73
2020-10-23,2127,73
2020-10-24,2127,73
2020-10-25,2127,73
2020-10-26,2150,73
2020-10-27,2150,73
2020-10-28,2193,75
2020-10-29,2193,75
2020-10-30,2216,75
2020-10-31,2216,75
2020-11-01,2216,75
2020-11-02,2260,75
