date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,2,0
2020-04-24,2,0
2020-04-25,2,0
2020-04-26,2,0
2020-04-27,2,0
2020-04-28,2,0
2020-04-29,4,0
2020-04-30,3,0
2020-05-01,4,0
2020-05-02,4,0
2020-05-03,4,0
2020-05-04,4,0
2020-05-05,4,0
2020-05-06,4,0
2020-05-07,5,0
2020-05-08,5,0
2020-05-09,5,0
2020-05-10,5,0
2020-05-11,5,0
2020-05-12,5,0
2020-05-13,6,0
2020-05-14,6,0
2020-05-15,6,0
2020-05-16,6,0
2020-05-17,6,0
2020-05-18,6,0
2020-05-19,7,0
2020-05-20,7,0
2020-05-21,7,0
2020-05-22,7,0
2020-05-23,7,0
2020-05-24,7,0
2020-05-25,7,0
2020-05-26,7,0
2020-05-27,7,0
2020-05-28,7,0
2020-05-29,8,0
2020-05-30,8,0
2020-05-31,8,0
2020-06-01,9,0
2020-06-02,11,0
2020-06-03,11,0
2020-06-04,11,0
2020-06-05,14,0
2020-06-06,14,0
2020-06-07,16,0
2020-06-08,16,0
2020-06-09,17,0
2020-06-10,17,0
2020-06-11,18,0
2020-06-12,17,0
2020-06-13,17,0
2020-06-14,17,0
2020-06-15,17,0
2020-06-16,18,0
2020-06-17,18,0
2020-06-18,23,0
2020-06-19,22,0
2020-06-20,23,0
2020-06-21,27,0
2020-06-22,30,0
2020-06-23,33,0
2020-06-24,33,0
2020-06-25,33,0
2020-06-26,34,0
2020-06-27,34,0
2020-06-28,35,0
2020-06-29,42,0
2020-06-30,42,0
2020-07-01,52,0
2020-07-02,53,0
2020-07-03,54,0
2020-07-04,57,0
2020-07-05,57,0
2020-07-06,61,0
2020-07-07,61,0
2020-07-08,77,0
2020-07-09,86,0
2020-07-10,86,0
2020-07-11,111,0
2020-07-12,112,0
2020-07-13,115,0
2020-07-14,115,0
2020-07-15,124,0
2020-07-16,125,0
2020-07-17,143,0
2020-07-18,143,0
2020-07-19,155,0
2020-07-20,155,0
2020-07-21,164,0
2020-07-22,178,0
2020-07-23,186,0
2020-07-24,191,0
2020-07-25,195,0
2020-07-26,195,0
2020-07-27,194,1
2020-07-28,199,1
2020-07-29,202,1
2020-07-30,204,1
2020-07-31,212,1
2020-08-01,214,1
2020-08-02,216,1
2020-08-03,216,1
2020-08-04,216,2
2020-08-05,220,2
2020-08-06,226,2
2020-08-07,231,2
2020-08-08,234,2
2020-08-09,234,2
2020-08-10,234,2
2020-08-11,234,2
2020-08-12,236,2
2020-08-13,238,2
2020-08-14,238,2
2020-08-15,239,3
2020-08-16,239,3
2020-08-17,239,3
2020-08-18,240,3
2020-08-19,241,3
2020-08-20,241,3
2020-08-21,242,3
2020-08-22,243,3
2020-08-23,244,3
2020-08-24,244,3
2020-08-25,246,3
2020-08-26,247,3
2020-08-27,247,4
2020-08-28,248,4
2020-08-29,248,4
2020-08-30,248,4
2020-08-31,248,4
2020-09-01,251,5
2020-09-02,251,5
2020-09-03,252,5
2020-09-04,254,5
2020-09-05,254,5
2020-09-06,254,4
2020-09-07,254,4
2020-09-08,254,4
2020-09-09,266,4
2020-09-10,266,4
2020-09-11,270,5
2020-09-12,272,4
2020-09-13,272,4
2020-09-14,272,4
2020-09-15,281,4
2020-09-16,284,4
2020-09-17,285,4
2020-09-18,290,4
2020-09-19,292,4
2020-09-20,292,4
2020-09-21,292,4
2020-09-22,296,4
2020-09-23,301,4
2020-09-24,304,3
2020-09-25,304,3
2020-09-26,309,3
2020-09-27,309,3
2020-09-28,309,3
2020-09-29,313,3
2020-09-30,315,3
2020-10-01,317,3
2020-10-02,319,3
2020-10-03,326,3
2020-10-04,326,3
2020-10-05,328,3
2020-10-06,333,4
2020-10-07,338,4
2020-10-08,341,4
2020-10-09,352,4
2020-10-10,359,4
2020-10-11,359,4
2020-10-12,359,4
2020-10-13,379,4
2020-10-14,386,4
