date,cases,deaths
2020-03-24,1,0.0
2020-03-25,3,0.0
2020-03-26,4,0.0
2020-03-27,4,0.0
2020-03-28,4,0.0
2020-03-29,5,0.0
2020-03-30,6,0.0
2020-03-31,6,0.0
2020-04-01,7,0.0
2020-04-02,7,0.0
2020-04-03,7,0.0
2020-04-04,8,0.0
2020-04-05,8,1.0
2020-04-06,8,1.0
2020-04-07,9,1.0
2020-04-08,9,1.0
2020-04-09,9,1.0
2020-04-10,9,1.0
2020-04-11,10,1.0
2020-04-12,10,1.0
2020-04-13,11,1.0
2020-04-14,11,1.0
2020-04-15,11,1.0
2020-04-16,11,1.0
2020-04-17,11,1.0
2020-04-18,11,1.0
2020-04-19,12,1.0
2020-04-20,13,1.0
2020-04-21,13,1.0
2020-04-22,13,1.0
2020-04-23,13,1.0
2020-04-24,13,1.0
2020-04-25,13,1.0
2020-04-26,13,1.0
2020-04-27,13,1.0
2020-04-28,13,1.0
2020-04-29,13,1.0
2020-04-30,13,1.0
2020-05-01,13,1.0
2020-05-02,13,1.0
2020-05-03,13,1.0
2020-05-04,14,1.0
2020-05-05,14,1.0
2020-05-06,14,2.0
2020-05-07,14,2.0
2020-05-08,15,2.0
2020-05-09,15,2.0
2020-05-10,16,2.0
2020-05-11,16,2.0
2020-05-12,16,2.0
2020-05-13,17,2.0
2020-05-14,18,2.0
2020-05-15,19,2.0
2020-05-16,20,2.0
2020-05-17,22,2.0
2020-05-18,23,2.0
2020-05-19,23,2.0
2020-05-20,24,2.0
2020-05-21,27,2.0
2020-05-22,29,2.0
2020-05-23,29,2.0
2020-05-24,29,2.0
2020-05-25,32,2.0
2020-05-26,33,2.0
2020-05-27,35,2.0
2020-05-28,34,2.0
2020-05-29,39,2.0
2020-05-30,43,2.0
2020-05-31,43,2.0
2020-06-01,48,2.0
2020-06-02,47,2.0
2020-06-03,48,2.0
2020-06-04,50,2.0
2020-06-05,52,2.0
2020-06-06,52,2.0
2020-06-07,53,2.0
2020-06-08,58,2.0
2020-06-09,62,2.0
2020-06-10,62,2.0
