date,cases,deaths
2020-05-28,1,0
2020-05-29,2,0
2020-05-30,1,0
2020-05-31,1,0
2020-06-01,1,0
2020-06-02,1,0
2020-06-03,1,0
2020-06-04,1,0
2020-06-05,1,0
2020-06-06,1,0
2020-06-07,1,0
2020-06-08,1,0
2020-06-09,1,0
2020-06-10,1,0
2020-06-11,1,0
2020-06-12,1,0
2020-06-13,1,0
2020-06-14,1,0
2020-06-15,1,0
2020-06-16,1,0
2020-06-17,1,0
2020-06-18,1,0
2020-06-19,2,0
2020-06-20,2,0
2020-06-21,2,0
2020-06-22,2,0
2020-06-23,3,0
2020-06-24,3,0
2020-06-25,3,0
2020-06-26,3,0
2020-06-27,3,0
2020-06-28,3,0
2020-06-29,3,0
2020-06-30,4,0
2020-07-01,4,0
2020-07-02,4,0
2020-07-03,4,0
2020-07-04,4,0
2020-07-05,4,0
2020-07-06,4,0
2020-07-07,5,0
2020-07-08,6,0
2020-07-09,8,0
2020-07-10,10,0
2020-07-11,11,0
2020-07-12,11,0
2020-07-13,11,0
2020-07-14,11,0
2020-07-15,11,0
2020-07-16,13,0
2020-07-17,13,0
2020-07-18,13,0
2020-07-19,13,0
2020-07-20,13,0
2020-07-21,14,0
2020-07-22,14,0
2020-07-23,14,0
2020-07-24,15,0
2020-07-25,15,0
2020-07-26,15,0
2020-07-27,15,0
2020-07-28,15,0
2020-07-29,15,0
2020-07-30,15,0
2020-07-31,15,0
2020-08-01,15,0
2020-08-02,15,0
2020-08-03,15,0
2020-08-04,16,0
2020-08-05,16,0
2020-08-06,17,0
2020-08-07,17,0
2020-08-08,18,0
2020-08-09,18,0
2020-08-10,18,0
2020-08-11,18,0
2020-08-12,18,0
2020-08-13,18,0
2020-08-14,22,0
2020-08-15,22,0
2020-08-16,22,0
2020-08-17,22,0
2020-08-18,22,0
2020-08-19,22,0
2020-08-20,22,0
2020-08-21,23,0
2020-08-22,25,0
2020-08-23,25,0
2020-08-24,28,0
2020-08-25,27,0
2020-08-26,27,0
2020-08-27,31,0
2020-08-28,33,0
2020-08-29,38,0
2020-08-30,45,0
2020-08-31,47,0
2020-09-01,52,1
2020-09-02,54,1
2020-09-03,57,1
2020-09-04,64,1
2020-09-05,71,1
2020-09-06,73,1
2020-09-07,78,1
2020-09-08,78,1
2020-09-09,78,1
2020-09-10,78,1
2020-09-11,82,1
2020-09-12,85,1
2020-09-13,86,1
2020-09-14,87,1
2020-09-15,87,1
2020-09-16,87,1
2020-09-17,91,1
2020-09-18,90,1
2020-09-19,91,1
2020-09-20,93,1
2020-09-21,93,1
2020-09-22,93,1
2020-09-23,94,1
2020-09-24,94,1
2020-09-25,97,1
2020-09-26,103,1
2020-09-27,105,1
2020-09-28,104,1
2020-09-29,107,1
2020-09-30,107,1
2020-10-01,112,1
2020-10-02,115,1
2020-10-03,120,1
2020-10-04,123,1
2020-10-05,125,1
2020-10-06,128,1
2020-10-07,127,1
2020-10-08,130,1
2020-10-09,138,1
2020-10-10,142,1
2020-10-11,146,1
2020-10-12,146,1
2020-10-13,147,1
2020-10-14,151,1
2020-10-15,151,1
2020-10-16,153,1
2020-10-17,157,1
2020-10-18,163,1
2020-10-19,168,1
2020-10-20,168,1
2020-10-21,169,1
2020-10-22,174,1
2020-10-23,177,1
2020-10-24,181,1
2020-10-25,182,1
2020-10-26,184,1
2020-10-27,187,1
2020-10-28,186,1
2020-10-29,194,1
2020-10-30,200,1
2020-10-31,201,1
2020-11-01,205,1
2020-11-02,209,1
2020-11-03,211,1
2020-11-04,215,1
2020-11-05,217,1
2020-11-06,226,1
2020-11-07,231,1
2020-11-08,254,1
2020-11-09,257,1
