date,cases,deaths
2020-03-25,1,0
2020-03-26,3,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,4,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,6,0
2020-04-10,6,0
2020-04-11,6,0
2020-04-12,6,0
2020-04-13,10,0
2020-04-14,10,0
2020-04-15,10,0
2020-04-16,10,0
2020-04-17,10,0
2020-04-18,10,0
2020-04-19,10,0
2020-04-20,10,0
2020-04-21,10,0
2020-04-22,10,0
2020-04-23,10,0
2020-04-24,10,0
2020-04-25,10,0
2020-04-26,10,0
2020-04-27,10,0
2020-04-28,10,0
2020-04-29,10,0
2020-04-30,11,0
2020-05-01,11,0
2020-05-02,11,0
2020-05-03,11,0
2020-05-04,11,0
2020-05-05,12,0
2020-05-06,12,0
2020-05-07,12,0
2020-05-08,12,0
2020-05-09,12,0
2020-05-10,12,0
2020-05-11,12,0
2020-05-12,12,0
2020-05-13,12,0
2020-05-14,12,0
2020-05-15,12,0
2020-05-16,12,0
2020-05-17,12,0
2020-05-18,12,0
2020-05-19,13,0
2020-05-20,13,0
2020-05-21,13,0
2020-05-22,13,0
2020-05-23,13,0
2020-05-24,13,0
2020-05-25,13,0
2020-05-26,13,0
2020-05-27,13,0
2020-05-28,13,0
2020-05-29,13,0
2020-05-30,13,0
2020-05-31,13,0
2020-06-01,13,0
2020-06-02,13,0
2020-06-03,13,0
2020-06-04,13,0
2020-06-05,13,0
2020-06-06,13,0
2020-06-07,13,0
2020-06-08,13,0
2020-06-09,13,0
2020-06-10,13,0
2020-06-11,13,0
2020-06-12,13,0
2020-06-13,13,0
2020-06-14,13,0
2020-06-15,13,0
2020-06-16,13,0
2020-06-17,13,0
2020-06-18,14,0
2020-06-19,14,0
2020-06-20,14,0
2020-06-21,14,0
2020-06-22,14,0
2020-06-23,14,0
2020-06-24,14,0
2020-06-25,15,0
2020-06-26,16,0
2020-06-27,16,0
2020-06-28,16,0
2020-06-29,16,0
2020-06-30,17,0
2020-07-01,17,0
2020-07-02,21,0
2020-07-03,21,0
2020-07-04,36,0
2020-07-05,36,0
2020-07-06,36,0
2020-07-07,39,0
2020-07-08,44,0
2020-07-09,47,0
2020-07-10,47,0
2020-07-11,48,0
2020-07-12,48,0
2020-07-13,48,0
2020-07-14,56,0
2020-07-15,59,0
2020-07-16,60,0
2020-07-17,60,0
2020-07-18,64,0
2020-07-19,64,0
2020-07-20,64,0
2020-07-21,63,0
2020-07-22,67,0
2020-07-23,71,0
2020-07-24,86,0
2020-07-25,86,0
2020-07-26,86,0
2020-07-27,86,2
2020-07-28,101,2
2020-07-29,104,2
2020-07-30,105,1
2020-07-31,110,1
2020-08-01,116,1
2020-08-02,116,1
2020-08-03,116,2
2020-08-04,121,2
2020-08-05,125,2
2020-08-06,132,2
2020-08-07,137,2
2020-08-08,143,2
2020-08-09,143,2
2020-08-10,143,2
2020-08-11,159,2
2020-08-12,161,2
2020-08-13,161,2
2020-08-14,166,2
2020-08-15,173,2
2020-08-16,173,2
2020-08-17,173,2
2020-08-18,173,2
2020-08-19,182,2
2020-08-20,188,2
2020-08-21,188,2
2020-08-22,188,2
2020-08-23,188,3
2020-08-24,188,3
2020-08-25,191,3
2020-08-26,194,3
2020-08-27,198,3
2020-08-28,198,3
2020-08-29,199,3
2020-08-30,199,3
2020-08-31,199,3
2020-09-01,203,3
2020-09-02,206,3
2020-09-03,207,3
2020-09-04,209,3
2020-09-05,209,3
2020-09-06,210,4
2020-09-07,210,4
2020-09-08,210,4
2020-09-09,210,4
2020-09-10,210,4
2020-09-11,215,4
2020-09-12,215,4
2020-09-13,215,4
2020-09-14,215,4
2020-09-15,217,4
2020-09-16,223,4
2020-09-17,223,4
2020-09-18,226,4
2020-09-19,229,4
2020-09-20,229,4
2020-09-21,229,4
2020-09-22,234,4
2020-09-23,237,4
2020-09-24,237,4
2020-09-25,237,4
2020-09-26,242,4
2020-09-27,242,4
2020-09-28,242,4
2020-09-29,242,4
2020-09-30,242,4
2020-10-01,253,4
2020-10-02,269,4
2020-10-03,269,4
2020-10-04,286,4
