date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,2,0
2020-04-24,2,0
2020-04-25,2,0
2020-04-26,2,0
2020-04-27,2,0
2020-04-28,2,0
2020-04-29,2,0
2020-04-30,2,0
2020-05-01,2,0
2020-05-02,2,0
2020-05-03,2,0
2020-05-04,2,0
2020-05-05,2,0
2020-05-06,2,0
2020-05-07,2,0
2020-05-08,2,0
2020-05-09,2,0
2020-05-10,2,0
2020-05-11,2,0
2020-05-12,2,0
2020-05-13,2,0
2020-05-14,2,0
2020-05-15,2,0
2020-05-16,2,0
2020-05-17,2,0
2020-05-18,2,0
2020-05-19,2,0
2020-05-20,2,0
2020-05-21,2,0
2020-05-22,2,0
2020-05-23,2,0
2020-05-24,2,0
2020-05-25,2,0
2020-05-26,2,0
2020-05-27,2,0
2020-05-28,2,0
2020-05-29,2,0
2020-05-30,2,0
2020-05-31,2,0
2020-06-01,2,0
2020-06-02,2,0
2020-06-03,2,0
2020-06-04,2,0
2020-06-05,2,0
2020-06-06,2,0
2020-06-07,2,0
2020-06-08,3,0
2020-06-09,3,0
2020-06-10,3,0
2020-06-11,3,0
2020-06-12,3,0
2020-06-13,3,0
2020-06-14,3,0
2020-06-15,3,0
2020-06-16,3,0
2020-06-17,3,0
2020-06-18,3,0
2020-06-19,3,0
2020-06-20,3,0
2020-06-21,3,0
2020-06-22,3,0
2020-06-23,3,0
2020-06-24,4,0
2020-06-25,5,0
2020-06-26,11,0
2020-06-27,10,0
2020-06-28,10,0
2020-06-29,10,0
2020-06-30,13,0
2020-07-01,14,0
2020-07-02,14,0
2020-07-03,16,0
2020-07-04,17,0
2020-07-05,20,0
2020-07-06,20,0
2020-07-07,22,0
2020-07-08,23,0
2020-07-09,23,0
2020-07-10,24,0
2020-07-11,24,0
2020-07-12,24,0
2020-07-13,26,0
2020-07-14,26,0
2020-07-15,28,0
2020-07-16,32,1
2020-07-17,34,1
2020-07-18,36,1
2020-07-19,37,1
2020-07-20,37,1
2020-07-21,39,1
2020-07-22,40,1
2020-07-23,41,1
2020-07-24,41,1
2020-07-25,42,1
2020-07-26,42,1
2020-07-27,43,1
2020-07-28,45,1
2020-07-29,45,1
2020-07-30,46,1
2020-07-31,46,1
2020-08-01,46,1
2020-08-02,47,1
2020-08-03,47,1
2020-08-04,51,1
2020-08-05,54,1
2020-08-06,56,1
2020-08-07,57,1
2020-08-08,59,1
2020-08-09,59,1
2020-08-10,61,1
2020-08-11,65,1
2020-08-12,66,1
2020-08-13,69,1
2020-08-14,71,1
