date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,2,0
2020-04-02,3,0
2020-04-03,6,0
2020-04-04,7,1
2020-04-05,8,1
2020-04-06,8,1
2020-04-07,10,1
2020-04-08,10,1
2020-04-09,10,1
2020-04-10,10,1
2020-04-11,11,1
2020-04-12,10,1
2020-04-13,12,1
2020-04-14,12,1
2020-04-15,12,1
2020-04-16,12,1
2020-04-17,12,1
2020-04-18,14,1
2020-04-19,14,1
2020-04-20,14,1
2020-04-21,14,1
2020-04-22,14,1
2020-04-23,14,1
2020-04-24,15,1
2020-04-25,17,1
2020-04-26,17,1
2020-04-27,17,1
2020-04-28,17,1
2020-04-29,17,1
2020-04-30,19,1
2020-05-01,19,1
2020-05-02,19,1
2020-05-03,19,1
2020-05-04,19,1
2020-05-05,19,1
2020-05-06,19,1
2020-05-07,19,1
2020-05-08,19,1
2020-05-09,19,1
2020-05-10,19,1
2020-05-11,19,1
2020-05-12,19,1
2020-05-13,19,1
2020-05-14,19,1
2020-05-15,19,1
2020-05-16,19,1
2020-05-17,19,1
2020-05-18,19,1
2020-05-19,19,1
2020-05-20,21,1
2020-05-21,21,1
2020-05-22,21,1
2020-05-23,21,1
2020-05-24,21,1
2020-05-25,21,1
2020-05-26,21,1
2020-05-27,21,1
2020-05-28,21,1
2020-05-29,21,1
2020-05-30,21,1
2020-05-31,21,1
2020-06-01,26,1
2020-06-02,26,1
2020-06-03,26,1
2020-06-04,26,1
2020-06-05,26,1
2020-06-06,26,1
2020-06-07,26,1
2020-06-08,26,1
2020-06-09,26,1
2020-06-10,26,1
2020-06-11,26,1
2020-06-12,26,1
2020-06-13,26,1
2020-06-14,26,1
2020-06-15,26,1
2020-06-16,26,1
2020-06-17,26,1
2020-06-18,26,2
2020-06-19,26,2
2020-06-20,26,2
2020-06-21,26,2
2020-06-22,26,2
2020-06-23,26,2
2020-06-24,26,2
2020-06-25,27,2
2020-06-26,27,2
2020-06-27,28,2
2020-06-28,27,2
2020-06-29,27,2
2020-06-30,27,2
2020-07-01,27,2
2020-07-02,27,2
2020-07-03,27,2
2020-07-04,27,2
2020-07-05,27,2
2020-07-06,28,2
2020-07-07,28,2
2020-07-08,27,2
2020-07-09,27,2
2020-07-10,27,2
2020-07-11,28,2
2020-07-12,30,2
2020-07-13,27,2
2020-07-14,29,2
2020-07-15,29,2
2020-07-16,29,2
2020-07-17,30,2
2020-07-18,30,2
2020-07-19,30,2
2020-07-20,30,2
2020-07-21,31,2
2020-07-22,32,2
2020-07-23,32,2
2020-07-24,34,2
2020-07-25,33,2
2020-07-26,33,2
2020-07-27,34,2
2020-07-28,34,2
2020-07-29,36,2
2020-07-30,37,2
2020-07-31,37,2
2020-08-01,38,2
2020-08-02,38,2
2020-08-03,38,2
2020-08-04,39,2
2020-08-05,41,2
2020-08-06,43,2
2020-08-07,44,2
2020-08-08,46,2
2020-08-09,49,2
2020-08-10,49,2
2020-08-11,50,2
2020-08-12,50,2
2020-08-13,53,2
2020-08-14,54,2
2020-08-15,56,2
2020-08-16,56,2
2020-08-17,57,2
2020-08-18,57,2
2020-08-19,58,2
2020-08-20,58,2
2020-08-21,58,2
2020-08-22,63,2
2020-08-23,62,2
