date,cases,deaths
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,3,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,5,0
2020-04-07,5,0
2020-04-08,5,0
2020-04-09,7,0
2020-04-10,7,0
2020-04-11,7,0
2020-04-12,8,0
2020-04-13,8,0
2020-04-14,8,0
2020-04-15,9,0
2020-04-16,9,0
2020-04-17,10,0
2020-04-18,11,0
2020-04-19,12,0
2020-04-20,13,0
2020-04-21,13,0
2020-04-22,14,0
2020-04-23,14,0
2020-04-24,26,0
2020-04-25,27,1
2020-04-26,27,1
2020-04-27,27,1
2020-04-28,27,1
2020-04-29,27,1
2020-04-30,27,1
2020-05-01,28,1
2020-05-02,28,1
2020-05-03,29,1
2020-05-04,29,1
2020-05-05,29,1
2020-05-06,29,1
2020-05-07,31,1
2020-05-08,31,1
2020-05-09,31,1
2020-05-10,31,1
2020-05-11,31,1
2020-05-12,31,1
2020-05-13,31,1
2020-05-14,31,1
2020-05-15,33,1
2020-05-16,33,1
2020-05-17,33,1
2020-05-18,33,1
2020-05-19,33,1
2020-05-20,34,1
2020-05-21,35,1
2020-05-22,36,1
2020-05-23,36,1
2020-05-24,36,1
2020-05-25,36,1
2020-05-26,36,1
2020-05-27,36,1
2020-05-28,36,1
2020-05-29,36,1
2020-05-30,36,1
2020-05-31,36,1
2020-06-01,36,1
2020-06-02,36,1
2020-06-03,36,1
2020-06-04,36,1
2020-06-05,36,1
2020-06-06,36,1
2020-06-07,36,1
2020-06-08,36,1
2020-06-09,36,1
2020-06-10,36,1
2020-06-11,36,1
2020-06-12,37,1
2020-06-13,37,1
2020-06-14,37,1
2020-06-15,37,1
2020-06-16,37,1
2020-06-17,37,1
2020-06-18,37,1
2020-06-19,38,1
2020-06-20,38,1
2020-06-21,38,1
2020-06-22,38,1
2020-06-23,38,1
2020-06-24,38,1
2020-06-25,38,1
2020-06-26,38,1
2020-06-27,39,1
2020-06-28,39,1
2020-06-29,41,1
2020-06-30,41,1
2020-07-01,41,1
2020-07-02,40,1
2020-07-03,40,1
