date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,4,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,5,0
2020-04-06,5,0
2020-04-07,5,0
2020-04-08,5,0
2020-04-09,5,0
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,6,0
2020-04-14,6,0
2020-04-15,6,0
2020-04-16,6,0
2020-04-17,7,0
2020-04-18,8,0
2020-04-19,8,0
2020-04-20,8,0
2020-04-21,8,0
2020-04-22,8,0
2020-04-23,8,0
2020-04-24,9,0
2020-04-25,9,0
2020-04-26,9,0
2020-04-27,9,0
2020-04-28,9,0
2020-04-29,9,0
2020-04-30,9,0
2020-05-01,10,0
2020-05-02,10,0
2020-05-03,10,0
2020-05-04,11,0
2020-05-05,11,0
