date,cases,deaths
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,3,0
2020-03-20,6,0
2020-03-21,7,1
2020-03-22,7,1
2020-03-23,9,1
2020-03-24,13,1
2020-03-25,20,1
2020-03-26,29,1
2020-03-27,44,1
2020-03-28,50,1
2020-03-29,56,2
2020-03-30,68,2
2020-03-31,86,2
2020-04-01,95,2
2020-04-02,115,2
2020-04-03,143,3
2020-04-04,167,3
2020-04-05,168,3
2020-04-06,181,3
2020-04-07,208,3
2020-04-08,219,3
2020-04-09,233,3
2020-04-10,249,3
2020-04-11,254,3
2020-04-12,263,3
2020-04-13,289,4
2020-04-14,306,4
2020-04-15,328,5
2020-04-16,330,5
2020-04-17,350,7
2020-04-18,355,7
2020-04-19,371,7
2020-04-20,382,11
2020-04-21,384,10
2020-04-22,386,10
2020-04-23,413,10
2020-04-24,419,10
2020-04-25,436,10
2020-04-26,451,10
2020-04-27,464,11
2020-04-28,488,11
2020-04-29,495,12
2020-04-30,492,12
2020-05-01,492,13
2020-05-02,512,13
2020-05-03,520,13
2020-05-04,520,13
2020-05-05,527,14
2020-05-06,546,14
2020-05-07,558,14
2020-05-08,566,14
2020-05-09,593,14
2020-05-10,604,14
2020-05-11,610,14
2020-05-12,614,15
2020-05-13,615,16
2020-05-14,621,17
2020-05-15,628,18
2020-05-16,630,18
2020-05-17,627,18
2020-05-18,627,18
2020-05-19,611,19
2020-05-20,615,20
2020-05-21,623,20
2020-05-22,627,20
2020-05-23,626,19
2020-05-24,632,19
2020-05-25,641,19
2020-05-26,655,20
2020-05-27,672,22
2020-05-28,672,22
2020-05-29,686,22
2020-05-30,688,22
2020-05-31,690,23
2020-06-01,693,23
2020-06-02,695,23
2020-06-03,716,23
2020-06-04,742,23
2020-06-05,751,22
2020-06-06,756,22
2020-06-07,756,22
2020-06-08,767,22
2020-06-09,779,22
2020-06-10,787,24
2020-06-11,810,25
2020-06-12,829,28
2020-06-13,839,29
2020-06-14,841,29
2020-06-15,852,30
2020-06-16,856,31
2020-06-17,886,31
2020-06-18,905,31
2020-06-19,920,31
2020-06-20,930,31
