date,cases,deaths
2020-03-24,1,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,5,0
2020-04-01,5,0
2020-04-02,5,0
2020-04-03,5,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,5,0
2020-04-07,6,0
2020-04-08,6,0
2020-04-09,6,0
2020-04-10,6,0
2020-04-11,6,0
2020-04-12,6,0
2020-04-13,6,0
2020-04-14,6,0
2020-04-15,6,0
2020-04-16,6,0
2020-04-17,6,0
2020-04-18,7,0
2020-04-19,7,0
2020-04-20,8,0
2020-04-21,7,0
2020-04-22,7,0
2020-04-23,7,0
2020-04-24,7,0
2020-04-25,7,0
2020-04-26,7,0
2020-04-27,7,0
2020-04-28,7,0
2020-04-29,7,0
2020-04-30,7,0
2020-05-01,7,0
2020-05-02,8,0
2020-05-03,7,0
2020-05-04,7,0
2020-05-05,7,0
2020-05-06,7,0
