date,cases,deaths
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,6,0
2020-03-29,10,0
2020-03-30,11,0
2020-03-31,13,0
2020-04-01,14,0
2020-04-02,15,0
2020-04-03,16,0
2020-04-04,17,1
2020-04-05,18,1
2020-04-06,21,1
2020-04-07,22,1
2020-04-08,24,1
2020-04-09,25,1
2020-04-10,28,1
2020-04-11,32,1
2020-04-12,31,1
2020-04-13,31,1
2020-04-14,33,1
2020-04-15,33,2
2020-04-16,34,2
2020-04-17,34,2
2020-04-18,32,2
2020-04-19,33,2
2020-04-20,34,2
2020-04-21,33,2
2020-04-22,35,2
2020-04-23,36,2
2020-04-24,37,2
2020-04-25,39,2
2020-04-26,39,2
2020-04-27,39,2
2020-04-28,40,2
2020-04-29,40,3
2020-04-30,43,3
2020-05-01,43,3
2020-05-02,44,3
