date,cases,deaths
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,3,0.0
2020-04-08,3,0.0
2020-04-09,5,0.0
2020-04-10,5,0.0
2020-04-11,6,0.0
2020-04-12,6,0.0
2020-04-13,6,0.0
2020-04-14,6,0.0
2020-04-15,6,0.0
2020-04-16,7,0.0
2020-04-17,10,0.0
2020-04-18,13,0.0
2020-04-19,13,0.0
2020-04-20,14,0.0
2020-04-21,14,0.0
2020-04-22,16,0.0
2020-04-23,22,0.0
2020-04-24,30,0.0
2020-04-25,82,0.0
2020-04-26,84,0.0
2020-04-27,87,0.0
2020-04-28,89,0.0
2020-04-29,91,1.0
2020-04-30,100,1.0
2020-05-01,104,1.0
2020-05-02,107,2.0
2020-05-03,109,2.0
2020-05-04,113,2.0
2020-05-05,113,5.0
2020-05-06,113,5.0
2020-05-07,122,11.0
2020-05-08,123,11.0
2020-05-09,128,12.0
2020-05-10,128,12.0
2020-05-11,129,12.0
2020-05-12,129,12.0
2020-05-13,140,16.0
2020-05-14,143,16.0
2020-05-15,145,16.0
2020-05-16,158,16.0
2020-05-17,161,16.0
2020-05-18,161,16.0
2020-05-19,165,17.0
2020-05-20,166,17.0
2020-05-21,166,19.0
2020-05-22,172,19.0
2020-05-23,186,21.0
2020-05-24,188,21.0
2020-05-25,197,21.0
2020-05-26,199,21.0
2020-05-27,208,21.0
2020-05-28,213,21.0
2020-05-29,214,21.0
2020-05-30,219,21.0
2020-05-31,220,21.0
2020-06-01,225,21.0
2020-06-02,230,24.0
2020-06-03,231,24.0
2020-06-04,231,24.0
2020-06-05,233,24.0
2020-06-06,237,24.0
2020-06-07,244,24.0
2020-06-08,245,24.0
2020-06-09,246,24.0
2020-06-10,247,24.0
2020-06-11,249,24.0
2020-06-12,250,24.0
2020-06-13,251,24.0
2020-06-14,251,24.0
2020-06-15,252,24.0
2020-06-16,256,24.0
2020-06-17,256,24.0
2020-06-18,259,24.0
2020-06-19,261,24.0
2020-06-20,261,24.0
2020-06-21,263,24.0
2020-06-22,263,24.0
2020-06-23,264,24.0
2020-06-24,264,24.0
2020-06-25,266,24.0
2020-06-26,266,24.0
2020-06-27,267,24.0
2020-06-28,267,24.0
2020-06-29,267,24.0
2020-06-30,269,24.0
2020-07-01,275,24.0
2020-07-02,278,23.0
2020-07-03,281,23.0
2020-07-04,281,23.0
2020-07-05,283,23.0
2020-07-06,285,23.0
2020-07-07,290,23.0
2020-07-08,293,23.0
2020-07-09,295,23.0
2020-07-10,296,23.0
2020-07-11,298,23.0
2020-07-12,299,23.0
2020-07-13,302,23.0
2020-07-14,303,23.0
2020-07-15,310,23.0
2020-07-16,309,23.0
2020-07-17,312,23.0
2020-07-18,314,23.0
2020-07-19,316,23.0
2020-07-20,317,23.0
2020-07-21,317,23.0
2020-07-22,324,23.0
2020-07-23,326,24.0
2020-07-24,326,24.0
2020-07-25,328,24.0
2020-07-26,328,24.0
2020-07-27,329,24.0
2020-07-28,330,24.0
2020-07-29,330,24.0
2020-07-30,331,24.0
2020-07-31,330,24.0
2020-08-01,331,24.0
2020-08-02,332,24.0
2020-08-03,333,24.0
2020-08-04,334,24.0
2020-08-05,337,24.0
2020-08-06,335,24.0
2020-08-07,337,24.0
2020-08-08,343,24.0
2020-08-09,345,25.0
2020-08-10,346,25.0
2020-08-11,346,25.0
2020-08-12,347,25.0
2020-08-13,349,25.0
2020-08-14,351,25.0
2020-08-15,352,25.0
2020-08-16,353,25.0
2020-08-17,353,25.0
2020-08-18,354,25.0
2020-08-19,353,25.0
2020-08-20,357,25.0
2020-08-21,357,25.0
2020-08-22,357,25.0
2020-08-23,358,25.0
2020-08-24,358,25.0
2020-08-25,358,25.0
2020-08-26,358,25.0
2020-08-27,358,25.0
2020-08-28,360,25.0
2020-08-29,360,25.0
2020-08-30,360,25.0
2020-08-31,361,25.0
2020-09-01,361,25.0
2020-09-02,362,26.0
2020-09-03,363,26.0
2020-09-04,365,26.0
2020-09-05,365,27.0
2020-09-06,366,27.0
2020-09-07,366,27.0
2020-09-08,366,27.0
2020-09-09,366,27.0
2020-09-10,366,27.0
2020-09-11,367,27.0
2020-09-12,370,27.0
2020-09-13,371,27.0
2020-09-14,374,27.0
2020-09-15,376,28.0
2020-09-16,378,29.0
2020-09-17,378,29.0
2020-09-18,379,29.0
2020-09-19,380,29.0
2020-09-20,382,29.0
2020-09-21,384,29.0
2020-09-22,385,29.0
2020-09-23,389,29.0
2020-09-24,389,29.0
2020-09-25,390,29.0
2020-09-26,393,29.0
2020-09-27,393,29.0
2020-09-28,397,29.0
2020-09-29,398,29.0
2020-09-30,404,29.0
2020-10-01,405,29.0
2020-10-02,405,29.0
2020-10-03,407,29.0
2020-10-04,410,29.0
2020-10-05,412,29.0
2020-10-06,414,29.0
2020-10-07,415,29.0
2020-10-08,422,29.0
2020-10-09,424,29.0
2020-10-10,428,29.0
2020-10-11,430,29.0
2020-10-12,432,29.0
2020-10-13,439,29.0
2020-10-14,439,30.0
2020-10-15,442,30.0
2020-10-16,449,30.0
2020-10-17,453,30.0
2020-10-18,455,30.0
2020-10-19,457,30.0
2020-10-20,459,30.0
2020-10-21,460,30.0
2020-10-22,463,30.0
2020-10-23,464,30.0
2020-10-24,463,30.0
2020-10-25,465,30.0
2020-10-26,469,30.0
2020-10-27,470,30.0
2020-10-28,478,31.0
2020-10-29,482,31.0
2020-10-30,483,30.0
2020-10-31,488,31.0
2020-11-01,488,31.0
2020-11-02,489,31.0
2020-11-03,495,31.0
2020-11-04,495,31.0
2020-11-05,496,31.0
2020-11-06,497,31.0
2020-11-07,501,31.0
2020-11-08,502,31.0
2020-11-09,506,31.0
2020-11-10,509,31.0
2020-11-11,516,31.0
2020-11-12,521,31.0
2020-11-13,524,31.0
2020-11-14,524,31.0
2020-11-15,524,31.0
2020-11-16,526,31.0
2020-11-17,527,31.0
2020-11-18,535,31.0
2020-11-19,544,31.0
2020-11-20,549,31.0
2020-11-21,551,31.0
2020-11-22,554,31.0
2020-11-23,559,31.0
2020-11-24,564,31.0
2020-11-25,565,32.0
2020-11-26,567,32.0
2020-11-27,572,32.0
