date,cases,deaths
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,1,0.0
2020-04-07,1,0.0
2020-04-08,1,0.0
2020-04-09,1,0.0
2020-04-10,1,0.0
2020-04-11,2,1.0
2020-04-12,2,1.0
2020-04-13,2,1.0
2020-04-14,3,1.0
2020-04-15,3,1.0
2020-04-16,3,1.0
2020-04-17,3,1.0
2020-04-18,3,1.0
2020-04-19,3,1.0
2020-04-20,3,1.0
2020-04-21,4,1.0
2020-04-22,4,1.0
2020-04-23,3,1.0
2020-04-24,3,1.0
2020-04-25,3,1.0
2020-04-26,3,1.0
2020-04-27,3,1.0
2020-04-28,4,1.0
2020-04-29,5,1.0
2020-04-30,5,1.0
2020-05-01,8,1.0
2020-05-02,8,1.0
2020-05-03,9,1.0
2020-05-04,9,1.0
2020-05-05,9,1.0
2020-05-06,10,1.0
2020-05-07,10,1.0
2020-05-08,10,1.0
2020-05-09,11,1.0
2020-05-10,11,1.0
2020-05-11,11,1.0
2020-05-12,12,1.0
2020-05-13,13,1.0
2020-05-14,13,1.0
2020-05-15,14,1.0
2020-05-16,16,1.0
2020-05-17,16,1.0
2020-05-18,16,1.0
2020-05-19,16,1.0
2020-05-20,20,1.0
2020-05-21,21,1.0
2020-05-22,21,1.0
2020-05-23,21,1.0
2020-05-24,24,1.0
2020-05-25,24,1.0
2020-05-26,25,1.0
2020-05-27,25,1.0
2020-05-28,27,1.0
2020-05-29,27,1.0
2020-05-30,28,2.0
2020-05-31,29,2.0
2020-06-01,29,2.0
2020-06-02,30,2.0
2020-06-03,29,2.0
2020-06-04,29,2.0
2020-06-05,29,2.0
2020-06-06,29,2.0
2020-06-07,29,2.0
2020-06-08,29,2.0
2020-06-09,29,2.0
2020-06-10,30,2.0
2020-06-11,32,2.0
2020-06-12,31,2.0
2020-06-13,34,2.0
2020-06-14,34,2.0
2020-06-15,34,2.0
2020-06-16,34,2.0
2020-06-17,34,2.0
2020-06-18,34,2.0
2020-06-19,34,2.0
2020-06-20,34,2.0
2020-06-21,35,2.0
2020-06-22,35,2.0
2020-06-23,35,2.0
2020-06-24,35,2.0
2020-06-25,35,2.0
2020-06-26,35,2.0
2020-06-27,36,2.0
2020-06-28,37,2.0
2020-06-29,37,2.0
2020-06-30,37,2.0
2020-07-01,38,2.0
2020-07-02,40,2.0
2020-07-03,43,2.0
2020-07-04,46,2.0
2020-07-05,47,2.0
2020-07-06,48,2.0
2020-07-07,48,2.0
2020-07-08,50,2.0
2020-07-09,51,2.0
2020-07-10,53,2.0
2020-07-11,55,2.0
2020-07-12,55,2.0
2020-07-13,56,2.0
2020-07-14,57,2.0
2020-07-15,61,2.0
2020-07-16,65,2.0
2020-07-17,65,2.0
2020-07-18,69,2.0
2020-07-19,72,2.0
2020-07-20,73,2.0
2020-07-21,77,2.0
2020-07-22,78,2.0
2020-07-23,79,2.0
2020-07-24,83,2.0
2020-07-25,85,2.0
2020-07-26,85,2.0
2020-07-27,87,2.0
