date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,4,0
2020-04-17,4,0
2020-04-18,4,0
2020-04-19,4,0
2020-04-20,4,0
2020-04-21,4,0
2020-04-22,6,0
2020-04-23,6,0
2020-04-24,7,0
2020-04-25,8,0
2020-04-26,7,0
2020-04-27,7,0
2020-04-28,7,0
2020-04-29,8,0
2020-04-30,8,0
2020-05-01,8,0
2020-05-02,8,0
2020-05-03,8,0
2020-05-04,8,0
2020-05-05,8,0
2020-05-06,8,0
2020-05-07,8,0
2020-05-08,8,0
2020-05-09,8,0
2020-05-10,8,0
2020-05-11,8,0
2020-05-12,8,0
2020-05-13,8,0
2020-05-14,9,0
2020-05-15,9,0
2020-05-16,9,0
2020-05-17,9,0
2020-05-18,9,0
2020-05-19,10,0
2020-05-20,10,0
2020-05-21,11,0
2020-05-22,11,0
2020-05-23,13,0
2020-05-24,13,0
2020-05-25,14,0
2020-05-26,14,0
2020-05-27,15,0
2020-05-28,15,0
2020-05-29,15,0
2020-05-30,17,0
2020-05-31,17,1
2020-06-01,17,1
2020-06-02,17,1
2020-06-03,18,1
2020-06-04,18,1
2020-06-05,18,1
2020-06-06,18,1
2020-06-07,18,1
2020-06-08,19,1
2020-06-09,19,1
2020-06-10,19,1
2020-06-11,20,1
2020-06-12,21,1
2020-06-13,21,1
2020-06-14,21,1
2020-06-15,22,1
2020-06-16,22,1
2020-06-17,22,1
2020-06-18,22,1
2020-06-19,23,1
2020-06-20,23,1
2020-06-21,23,1
2020-06-22,23,1
2020-06-23,24,1
2020-06-24,23,1
2020-06-25,23,1
2020-06-26,23,1
2020-06-27,23,1
2020-06-28,23,1
2020-06-29,24,1
2020-06-30,27,1
2020-07-01,26,1
2020-07-02,26,1
2020-07-03,26,1
2020-07-04,28,1
2020-07-05,29,1
2020-07-06,33,1
2020-07-07,37,1
2020-07-08,40,1
2020-07-09,41,1
2020-07-10,41,1
2020-07-11,41,1
2020-07-12,40,1
2020-07-13,40,1
2020-07-14,45,1
2020-07-15,48,1
2020-07-16,50,1
2020-07-17,51,1
2020-07-18,52,1
2020-07-19,55,1
2020-07-20,56,1
2020-07-21,58,1
2020-07-22,61,1
2020-07-23,61,1
2020-07-24,65,1
2020-07-25,67,2
2020-07-26,67,2
2020-07-27,69,2
2020-07-28,74,3
2020-07-29,76,3
2020-07-30,87,3
2020-07-31,93,3
2020-08-01,93,3
2020-08-02,93,3
2020-08-03,94,3
2020-08-04,96,3
2020-08-05,102,3
2020-08-06,106,3
2020-08-07,111,3
2020-08-08,116,3
2020-08-09,118,3
2020-08-10,121,3
2020-08-11,122,4
2020-08-12,124,4
2020-08-13,127,4
2020-08-14,131,4
2020-08-15,132,4
2020-08-16,135,4
2020-08-17,139,4
2020-08-18,142,4
2020-08-19,144,4
2020-08-20,147,4
2020-08-21,153,6
2020-08-22,157,6
2020-08-23,157,6
2020-08-24,168,6
2020-08-25,169,6
2020-08-26,169,6
2020-08-27,167,6
2020-08-28,166,6
2020-08-29,166,7
2020-08-30,165,7
2020-08-31,166,7
2020-09-01,166,7
2020-09-02,165,7
2020-09-03,167,7
2020-09-04,168,7
2020-09-05,170,7
2020-09-06,170,7
2020-09-07,170,7
2020-09-08,171,7
2020-09-09,172,7
2020-09-10,173,7
2020-09-11,173,7
2020-09-12,176,7
2020-09-13,178,7
2020-09-14,178,7
2020-09-15,179,7
2020-09-16,179,7
2020-09-17,179,7
2020-09-18,182,7
2020-09-19,183,7
2020-09-20,184,7
2020-09-21,184,7
2020-09-22,185,7
2020-09-23,186,7
2020-09-24,187,7
2020-09-25,187,7
2020-09-26,187,7
2020-09-27,192,7
2020-09-28,194,7
2020-09-29,195,7
2020-09-30,197,7
2020-10-01,199,8
2020-10-02,200,8
2020-10-03,199,9
2020-10-04,199,9
2020-10-05,203,9
2020-10-06,203,9
2020-10-07,203,9
2020-10-08,206,9
2020-10-09,208,9
2020-10-10,209,9
2020-10-11,209,9
2020-10-12,209,9
2020-10-13,209,9
2020-10-14,210,9
2020-10-15,210,9
2020-10-16,213,9
2020-10-17,214,9
2020-10-18,214,9
2020-10-19,214,9
2020-10-20,215,9
2020-10-21,215,9
2020-10-22,218,9
2020-10-23,219,9
2020-10-24,220,10
2020-10-25,220,10
2020-10-26,221,10
2020-10-27,221,10
2020-10-28,222,10
2020-10-29,225,10
2020-10-30,225,10
2020-10-31,227,10
2020-11-01,229,10
2020-11-02,231,10
2020-11-03,232,10
2020-11-04,234,10
2020-11-05,237,10
2020-11-06,236,10
2020-11-07,236,11
2020-11-08,237,11
2020-11-09,238,11
2020-11-10,239,11
2020-11-11,239,11
