date,cases,deaths
2020-07-08,1,0
2020-07-09,1,0
2020-07-10,1,0
2020-07-11,1,0
2020-07-12,1,0
2020-07-13,1,0
2020-07-14,1,0
2020-07-15,1,0
2020-07-16,1,0
2020-07-17,1,0
2020-07-18,1,0
2020-07-19,1,0
2020-07-20,1,0
2020-07-21,1,0
2020-07-22,1,0
2020-07-23,1,0
2020-07-24,1,0
2020-07-25,1,0
2020-07-26,1,0
2020-07-27,1,0
2020-07-28,1,0
2020-07-29,1,0
2020-07-30,1,0
2020-07-31,2,0
2020-08-01,2,0
2020-08-02,2,0
2020-08-03,2,0
2020-08-04,2,0
2020-08-05,2,0
2020-08-06,2,0
2020-08-07,2,0
2020-08-08,2,0
2020-08-09,2,0
2020-08-10,2,0
2020-08-11,2,0
2020-08-12,2,0
2020-08-13,2,0
2020-08-14,2,0
2020-08-15,2,0
2020-08-16,2,0
2020-08-17,2,0
2020-08-18,2,0
2020-08-19,2,0
2020-08-20,2,0
2020-08-21,2,0
2020-08-22,3,0
2020-08-23,3,0
2020-08-24,3,0
2020-08-25,3,0
2020-08-26,3,0
2020-08-27,3,0
2020-08-28,3,0
2020-08-29,3,0
2020-08-30,3,0
2020-08-31,3,0
2020-09-01,3,0
2020-09-02,5,0
2020-09-03,5,0
2020-09-04,5,0
2020-09-05,5,0
2020-09-06,6,0
2020-09-07,6,0
2020-09-08,6,0
2020-09-09,6,0
2020-09-10,6,0
2020-09-11,6,0
2020-09-12,6,0
2020-09-13,6,0
2020-09-14,6,0
2020-09-15,6,0
2020-09-16,6,0
2020-09-17,6,0
2020-09-18,6,0
2020-09-19,7,0
2020-09-20,7,0
2020-09-21,7,0
2020-09-22,7,0
2020-09-23,7,0
2020-09-24,7,0
2020-09-25,10,0
2020-09-26,13,0
2020-09-27,13,0
2020-09-28,13,0
2020-09-29,14,0
2020-09-30,14,0
2020-10-01,17,0
2020-10-02,17,0
2020-10-03,18,0
2020-10-04,18,0
2020-10-05,19,0
2020-10-06,19,0
2020-10-07,20,0
2020-10-08,20,0
2020-10-09,20,0
2020-10-10,20,0
2020-10-11,20,0
2020-10-12,20,0
2020-10-13,22,0
2020-10-14,23,0
2020-10-15,24,0
2020-10-16,24,0
