date,cases,deaths
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,4,0
2020-03-25,4,0
2020-03-26,4,0
2020-03-27,4,0
2020-03-28,4,0
2020-03-29,4,0
2020-03-30,4,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,4,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,5,0
2020-04-08,5,0
2020-04-09,6,0
2020-04-10,6,0
2020-04-11,6,0
2020-04-12,7,0
2020-04-13,7,0
2020-04-14,7,0
2020-04-15,7,0
2020-04-16,7,0
2020-04-17,7,0
2020-04-18,7,0
2020-04-19,7,1
2020-04-20,7,1
2020-04-21,7,1
2020-04-22,7,1
2020-04-23,7,1
2020-04-24,7,1
2020-04-25,7,1
2020-04-26,8,1
2020-04-27,8,1
2020-04-28,8,1
2020-04-29,11,1
2020-04-30,12,1
2020-05-01,11,1
2020-05-02,11,1
2020-05-03,11,1
2020-05-04,11,1
2020-05-05,11,1
2020-05-06,11,1
2020-05-07,11,1
2020-05-08,11,1
2020-05-09,11,1
2020-05-10,11,1
2020-05-11,11,1
2020-05-12,11,1
2020-05-13,12,1
2020-05-14,12,1
2020-05-15,13,1
2020-05-16,15,1
2020-05-17,15,1
2020-05-18,15,1
2020-05-19,14,1
2020-05-20,14,1
2020-05-21,15,1
2020-05-22,16,1
2020-05-23,16,1
2020-05-24,17,1
2020-05-25,17,1
2020-05-26,18,1
2020-05-27,18,1
2020-05-28,18,1
2020-05-29,18,1
2020-05-30,18,1
2020-05-31,22,1
2020-06-01,22,1
2020-06-02,22,1
2020-06-03,23,1
2020-06-04,23,1
2020-06-05,26,1
2020-06-06,28,1
2020-06-07,30,1
2020-06-08,32,1
2020-06-09,32,1
2020-06-10,34,1
2020-06-11,34,1
2020-06-12,34,1
2020-06-13,34,1
2020-06-14,34,1
2020-06-15,35,1
2020-06-16,35,1
2020-06-17,35,2
2020-06-18,35,2
2020-06-19,35,2
2020-06-20,37,2
2020-06-21,38,2
2020-06-22,38,2
2020-06-23,38,2
2020-06-24,38,2
2020-06-25,39,2
2020-06-26,40,2
2020-06-27,42,2
2020-06-28,42,2
2020-06-29,51,2
2020-06-30,52,2
2020-07-01,52,2
2020-07-02,52,2
2020-07-03,52,2
2020-07-04,56,2
2020-07-05,56,2
2020-07-06,56,2
2020-07-07,55,2
2020-07-08,56,2
2020-07-09,58,2
2020-07-10,69,2
2020-07-11,75,2
2020-07-12,80,2
2020-07-13,81,2
2020-07-14,82,2
2020-07-15,85,2
2020-07-16,87,2
2020-07-17,88,2
2020-07-18,91,2
2020-07-19,97,2
2020-07-20,101,2
2020-07-21,103,2
2020-07-22,104,2
2020-07-23,106,2
2020-07-24,112,2
2020-07-25,114,2
2020-07-26,114,2
2020-07-27,120,2
2020-07-28,122,3
2020-07-29,123,3
2020-07-30,134,3
2020-07-31,138,3
2020-08-01,142,3
2020-08-02,142,3
2020-08-03,147,3
2020-08-04,155,3
2020-08-05,167,3
2020-08-06,173,3
2020-08-07,179,3
2020-08-08,186,3
2020-08-09,190,3
2020-08-10,204,4
2020-08-11,207,4
2020-08-12,207,4
2020-08-13,212,4
2020-08-14,213,4
2020-08-15,218,4
2020-08-16,221,4
2020-08-17,227,4
2020-08-18,230,4
2020-08-19,231,4
2020-08-20,233,4
2020-08-21,243,4
2020-08-22,251,4
2020-08-23,260,4
2020-08-24,267,5
2020-08-25,267,5
2020-08-26,271,5
2020-08-27,275,5
2020-08-28,284,5
2020-08-29,289,5
2020-08-30,289,5
2020-08-31,295,5
2020-09-01,295,6
2020-09-02,296,6
2020-09-03,300,6
2020-09-04,300,6
2020-09-05,303,6
2020-09-06,311,6
2020-09-07,314,6
2020-09-08,315,6
2020-09-09,315,6
2020-09-10,315,6
2020-09-11,317,6
2020-09-12,320,6
2020-09-13,321,6
2020-09-14,321,6
2020-09-15,324,7
2020-09-16,327,7
2020-09-17,329,7
2020-09-18,332,7
2020-09-19,334,7
2020-09-20,335,7
2020-09-21,336,8
2020-09-22,336,8
2020-09-23,340,8
2020-09-24,340,8
2020-09-25,342,8
2020-09-26,342,8
2020-09-27,342,8
2020-09-28,342,8
2020-09-29,342,8
2020-09-30,342,8
2020-10-01,344,8
2020-10-02,345,8
2020-10-03,345,8
2020-10-04,345,8
2020-10-05,345,8
2020-10-06,345,8
2020-10-07,345,8
2020-10-08,345,8
2020-10-09,348,8
2020-10-10,348,8
2020-10-11,349,8
2020-10-12,350,8
2020-10-13,350,8
2020-10-14,350,8
2020-10-15,350,8
2020-10-16,354,8
2020-10-17,355,8
2020-10-18,356,8
2020-10-19,358,8
2020-10-20,360,8
2020-10-21,365,8
2020-10-22,365,8
2020-10-23,367,8
2020-10-24,369,8
2020-10-25,369,8
2020-10-26,369,8
