date,cases,deaths
2020-03-22,1,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,5,0
2020-03-28,5,0
2020-03-29,5,0
2020-03-30,5,0
2020-03-31,6,0
2020-04-01,7,0
2020-04-02,7,0
2020-04-03,7,0
2020-04-04,10,0
2020-04-05,10,0
2020-04-06,10,0
2020-04-07,10,0
2020-04-08,11,0
2020-04-09,11,0
2020-04-10,17,0
2020-04-11,21,0
2020-04-12,24,0
2020-04-13,24,0
2020-04-14,26,0
2020-04-15,27,0
2020-04-16,27,0
2020-04-17,29,0
2020-04-18,29,0
2020-04-19,29,0
2020-04-20,29,0
2020-04-21,30,0
2020-04-22,32,0
2020-04-23,32,0
2020-04-24,32,0
2020-04-25,34,0
2020-04-26,35,0
2020-04-27,37,0
2020-04-28,37,0
2020-04-29,37,0
2020-04-30,40,0
2020-05-01,44,0
2020-05-02,44,0
2020-05-03,48,0
2020-05-04,49,1
2020-05-05,52,1
2020-05-06,55,1
2020-05-07,56,2
2020-05-08,61,2
2020-05-09,61,2
2020-05-10,61,2
2020-05-11,61,2
2020-05-12,63,2
2020-05-13,63,2
2020-05-14,72,2
2020-05-15,71,2
2020-05-16,73,2
2020-05-17,73,2
2020-05-18,84,2
2020-05-19,85,2
2020-05-20,88,2
2020-05-21,88,2
2020-05-22,90,2
2020-05-23,96,2
2020-05-24,96,2
2020-05-25,96,2
2020-05-26,97,2
2020-05-27,98,2
2020-05-28,99,2
2020-05-29,100,2
2020-05-30,102,2
2020-05-31,102,2
2020-06-01,103,2
2020-06-02,106,2
2020-06-03,109,2
2020-06-04,111,2
2020-06-05,119,2
2020-06-06,120,2
2020-06-07,120,2
2020-06-08,120,4
2020-06-09,122,4
2020-06-10,125,4
2020-06-11,127,4
2020-06-12,133,4
2020-06-13,133,4
2020-06-14,133,4
2020-06-15,133,5
2020-06-16,133,5
2020-06-17,135,5
2020-06-18,135,5
2020-06-19,135,5
2020-06-20,134,5
2020-06-21,134,5
2020-06-22,134,5
2020-06-23,134,5
2020-06-24,136,5
2020-06-25,138,5
2020-06-26,140,5
2020-06-27,145,5
2020-06-28,145,5
2020-06-29,146,5
2020-06-30,161,6
2020-07-01,165,6
2020-07-02,171,6
2020-07-03,177,6
2020-07-04,177,6
2020-07-05,177,6
2020-07-06,208,6
2020-07-07,221,6
2020-07-08,223,6
2020-07-09,236,6
2020-07-10,246,6
2020-07-11,259,6
2020-07-12,266,6
2020-07-13,274,6
2020-07-14,297,6
2020-07-15,307,7
2020-07-16,333,7
2020-07-17,339,7
2020-07-18,339,7
2020-07-19,355,7
2020-07-20,360,7
2020-07-21,379,7
2020-07-22,404,7
2020-07-23,421,7
2020-07-24,429,8
2020-07-25,437,8
2020-07-26,445,8
2020-07-27,467,8
2020-07-28,473,8
2020-07-29,489,8
2020-07-30,495,8
2020-07-31,511,8
2020-08-01,517,8
2020-08-02,521,8
2020-08-03,523,8
2020-08-04,533,8
2020-08-05,553,8
2020-08-06,567,8
2020-08-07,601,8
2020-08-08,604,8
2020-08-09,619,8
2020-08-10,661,8
2020-08-11,704,8
2020-08-12,712,8
2020-08-13,724,8
2020-08-14,730,8
2020-08-15,744,8
2020-08-16,744,8
2020-08-17,760,8
2020-08-18,776,8
2020-08-19,789,8
2020-08-20,799,8
2020-08-21,819,8
2020-08-22,833,8
2020-08-23,833,8
2020-08-24,847,8
2020-08-25,860,8
2020-08-26,873,8
2020-08-27,885,9
2020-08-28,898,9
2020-08-29,912,9
2020-08-30,915,9
2020-08-31,925,9
2020-09-01,939,9
2020-09-02,948,9
2020-09-03,961,9
2020-09-04,973,10
2020-09-05,985,10
2020-09-06,989,10
2020-09-07,993,10
2020-09-08,998,10
2020-09-09,1010,10
2020-09-10,1023,10
2020-09-11,1057,10
2020-09-12,1083,10
2020-09-13,1091,10
2020-09-14,1102,10
2020-09-15,1135,10
2020-09-16,1154,10
2020-09-17,1169,11
2020-09-18,1183,11
