date,cases,deaths
2020-05-09,1,0
2020-05-10,1,0
2020-05-11,1,0
2020-05-12,1,0
2020-05-13,1,0
2020-05-14,1,0
2020-05-15,1,0
2020-05-16,1,0
2020-05-17,1,0
2020-05-18,1,0
2020-05-19,1,0
2020-05-20,1,0
2020-05-21,1,0
2020-05-22,1,0
2020-05-23,1,0
2020-05-24,1,0
2020-05-25,1,0
2020-05-26,1,0
2020-05-27,1,0
2020-05-28,1,0
2020-05-29,1,0
2020-05-30,1,0
2020-05-31,1,0
2020-06-01,1,0
2020-06-02,1,0
2020-06-03,1,0
2020-06-04,1,0
2020-06-05,1,0
2020-06-06,1,0
2020-06-07,1,0
2020-06-08,1,0
2020-06-09,1,0
2020-06-10,1,0
2020-06-11,1,0
2020-06-12,1,0
2020-06-13,1,0
2020-06-14,1,0
2020-06-15,2,0
2020-06-16,2,0
2020-06-17,3,0
2020-06-18,3,0
2020-06-19,3,0
2020-06-20,3,0
2020-06-21,3,0
2020-06-22,3,0
2020-06-23,3,0
2020-06-24,3,0
2020-06-25,3,0
2020-06-26,3,0
2020-06-27,3,0
2020-06-28,3,0
2020-06-29,4,0
2020-06-30,4,0
2020-07-01,4,0
2020-07-02,4,0
2020-07-03,4,0
2020-07-04,4,0
2020-07-05,4,0
2020-07-06,5,0
2020-07-07,5,0
2020-07-08,6,0
2020-07-09,6,0
2020-07-10,8,0
2020-07-11,8,0
2020-07-12,8,0
2020-07-13,16,0
2020-07-14,16,0
2020-07-15,18,0
2020-07-16,18,0
2020-07-17,22,0
2020-07-18,22,0
2020-07-19,22,0
2020-07-20,24,0
2020-07-21,24,0
2020-07-22,25,0
2020-07-23,25,0
2020-07-24,25,0
2020-07-25,25,0
2020-07-26,25,0
2020-07-27,25,0
2020-07-28,26,0
2020-07-29,26,0
2020-07-30,26,0
2020-07-31,27,0
2020-08-01,27,0
2020-08-02,27,0
2020-08-03,29,0
2020-08-04,29,0
2020-08-05,29,0
2020-08-06,29,0
2020-08-07,29,0
2020-08-08,29,0
2020-08-09,29,0
2020-08-10,31,0
2020-08-11,31,0
2020-08-12,31,0
2020-08-13,31,0
