date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,4,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,5,0
2020-04-07,6,0
2020-04-08,6,0
2020-04-09,6,0
2020-04-10,6,0
2020-04-11,6,0
2020-04-12,6,0
2020-04-13,8,0
2020-04-14,8,0
2020-04-15,8,0
2020-04-16,8,0
2020-04-17,9,0
2020-04-18,9,0
2020-04-19,9,0
2020-04-20,9,0
2020-04-21,9,0
2020-04-22,11,0
2020-04-23,11,0
2020-04-24,11,0
2020-04-25,11,0
2020-04-26,11,0
2020-04-27,11,0
2020-04-28,11,0
2020-04-29,11,0
2020-04-30,13,0
2020-05-01,13,0
2020-05-02,13,0
2020-05-03,13,0
2020-05-04,13,0
2020-05-05,13,0
2020-05-06,13,0
2020-05-07,14,0
2020-05-08,14,0
2020-05-09,15,0
2020-05-10,15,0
2020-05-11,15,0
2020-05-12,15,0
2020-05-13,15,0
2020-05-14,16,0
2020-05-15,17,0
2020-05-16,17,0
2020-05-17,17,0
2020-05-18,19,0
2020-05-19,20,0
2020-05-20,20,0
2020-05-21,28,0
2020-05-22,29,0
2020-05-23,29,0
2020-05-24,29,0
2020-05-25,29,0
2020-05-26,29,0
2020-05-27,30,0
2020-05-28,30,0
2020-05-29,30,0
2020-05-30,30,0
2020-05-31,30,0
2020-06-01,30,0
2020-06-02,31,0
2020-06-03,31,0
2020-06-04,32,0
2020-06-05,31,0
2020-06-06,32,0
2020-06-07,32,0
2020-06-08,32,0
2020-06-09,33,0
2020-06-10,33,0
2020-06-11,34,0
2020-06-12,34,0
