date,cases,deaths
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,6,0
2020-04-10,6,0
2020-04-11,6,0
2020-04-12,8,0
2020-04-13,12,0
2020-04-14,12,0
2020-04-15,13,0
2020-04-16,14,0
2020-04-17,14,0
2020-04-18,17,0
2020-04-19,20,0
2020-04-20,21,0
2020-04-21,21,0
2020-04-22,22,0
2020-04-23,22,0
2020-04-24,23,0
2020-04-25,25,0
2020-04-26,25,0
2020-04-27,25,0
2020-04-28,25,0
2020-04-29,25,0
2020-04-30,27,0
2020-05-01,27,0
2020-05-02,28,0
2020-05-03,34,0
2020-05-04,34,0
2020-05-05,34,0
2020-05-06,34,0
2020-05-07,36,0
2020-05-08,40,0
2020-05-09,43,0
2020-05-10,43,0
2020-05-11,45,0
2020-05-12,52,0
2020-05-13,53,0
2020-05-14,53,0
2020-05-15,57,0
2020-05-16,60,0
2020-05-17,60,0
2020-05-18,61,0
2020-05-19,63,0
2020-05-20,71,0
2020-05-21,76,0
2020-05-22,77,0
2020-05-23,81,0
2020-05-24,83,0
2020-05-25,85,0
2020-05-26,92,0
2020-05-27,96,0
2020-05-28,99,0
2020-05-29,106,0
2020-05-30,110,0
2020-05-31,115,0
2020-06-01,124,0
2020-06-02,125,0
2020-06-03,125,0
2020-06-04,126,0
2020-06-05,128,0
2020-06-06,133,0
2020-06-07,133,0
2020-06-08,137,0
2020-06-09,141,0
2020-06-10,144,0
2020-06-11,152,0
2020-06-12,167,0
2020-06-13,174,0
2020-06-14,176,0
2020-06-15,181,0
2020-06-16,185,0
2020-06-17,186,0
2020-06-18,193,0
2020-06-19,198,0
2020-06-20,205,0
2020-06-21,205,0
2020-06-22,205,0
2020-06-23,209,0
2020-06-24,212,0
2020-06-25,219,0
2020-06-26,224,0
2020-06-27,233,0
2020-06-28,236,0
2020-06-29,238,0
2020-06-30,244,0
2020-07-01,247,0
2020-07-02,265,0
2020-07-03,271,0
2020-07-04,285,0
2020-07-05,291,0
2020-07-06,302,0
2020-07-07,305,0
2020-07-08,329,1
2020-07-09,365,1
2020-07-10,375,1
2020-07-11,394,1
2020-07-12,398,1
2020-07-13,409,1
2020-07-14,417,2
2020-07-15,431,3
2020-07-16,457,3
2020-07-17,493,3
2020-07-18,506,3
2020-07-19,515,3
2020-07-20,541,4
2020-07-21,560,4
2020-07-22,572,8
2020-07-23,591,8
2020-07-24,617,16
2020-07-25,680,16
2020-07-26,686,16
2020-07-27,717,17
2020-07-28,725,17
2020-07-29,741,17
2020-07-30,751,18
2020-07-31,766,18
2020-08-01,781,18
2020-08-02,794,19
2020-08-03,803,20
2020-08-04,805,22
2020-08-05,816,23
2020-08-06,820,23
2020-08-07,842,23
2020-08-08,850,23
2020-08-09,857,24
2020-08-10,858,25
2020-08-11,869,29
2020-08-12,876,29
2020-08-13,882,29
2020-08-14,890,29
2020-08-15,900,29
2020-08-16,908,29
2020-08-17,914,30
2020-08-18,921,30
2020-08-19,922,29
2020-08-20,925,32
2020-08-21,934,35
2020-08-22,986,36
2020-08-23,992,36
2020-08-24,1038,36
2020-08-25,1037,36
2020-08-26,1047,36
2020-08-27,1056,36
2020-08-28,1064,36
2020-08-29,1081,37
2020-08-30,1093,37
2020-08-31,1103,38
2020-09-01,1110,38
2020-09-02,1132,39
2020-09-03,1137,41
2020-09-04,1144,41
2020-09-05,1157,42
2020-09-06,1161,42
2020-09-07,1164,42
2020-09-08,1166,42
2020-09-09,1192,42
2020-09-10,1218,42
2020-09-11,1226,42
2020-09-12,1237,42
2020-09-13,1251,42
2020-09-14,1261,42
2020-09-15,1264,42
2020-09-16,1274,42
2020-09-17,1280,42
2020-09-18,1300,43
2020-09-19,1327,43
2020-09-20,1330,43
