date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,5,0
2020-04-02,6,0
2020-04-03,6,0
2020-04-04,6,0
2020-04-05,6,0
2020-04-06,6,0
2020-04-07,8,0
2020-04-08,8,0
2020-04-09,9,0
2020-04-10,9,0
2020-04-11,10,0
2020-04-12,10,0
2020-04-13,10,0
2020-04-14,10,0
2020-04-15,10,0
2020-04-16,10,0
2020-04-17,10,0
2020-04-18,10,0
2020-04-19,10,0
2020-04-20,10,0
2020-04-21,10,1
2020-04-22,10,1
2020-04-23,10,1
2020-04-24,10,1
2020-04-25,9,0
2020-04-26,9,0
2020-04-27,9,0
2020-04-28,9,0
2020-04-29,11,0
2020-04-30,12,0
2020-05-01,13,0
2020-05-02,12,0
2020-05-03,14,0
2020-05-04,14,0
2020-05-05,15,0
2020-05-06,15,0
2020-05-07,15,0
2020-05-08,15,0
2020-05-09,15,0
2020-05-10,15,0
2020-05-11,16,0
2020-05-12,17,0
2020-05-13,20,0
2020-05-14,21,0
2020-05-15,22,0
2020-05-16,24,0
2020-05-17,25,0
2020-05-18,25,0
2020-05-19,25,0
2020-05-20,25,0
2020-05-21,25,0
2020-05-22,25,0
2020-05-23,25,0
2020-05-24,25,0
2020-05-25,26,0
2020-05-26,26,0
2020-05-27,27,0
2020-05-28,27,0
2020-05-29,27,0
2020-05-30,27,0
2020-05-31,27,0
2020-06-01,27,0
2020-06-02,27,0
2020-06-03,27,0
2020-06-04,27,0
2020-06-05,27,0
2020-06-06,27,0
2020-06-07,27,0
2020-06-08,27,0
2020-06-09,27,0
2020-06-10,27,0
2020-06-11,27,0
2020-06-12,27,0
2020-06-13,27,0
2020-06-14,27,0
2020-06-15,27,0
2020-06-16,28,0
2020-06-17,28,0
2020-06-18,28,0
2020-06-19,28,0
2020-06-20,29,0
2020-06-21,29,0
2020-06-22,29,0
2020-06-23,31,0
2020-06-24,31,0
2020-06-25,32,0
2020-06-26,35,0
2020-06-27,35,0
2020-06-28,35,0
2020-06-29,35,0
2020-06-30,36,0
2020-07-01,36,0
2020-07-02,36,0
2020-07-03,37,0
2020-07-04,37,0
2020-07-05,37,0
2020-07-06,38,0
2020-07-07,38,0
2020-07-08,38,0
2020-07-09,38,0
2020-07-10,38,0
2020-07-11,40,0
2020-07-12,40,0
2020-07-13,40,0
2020-07-14,40,0
2020-07-15,42,0
2020-07-16,43,0
2020-07-17,45,0
2020-07-18,49,0
2020-07-19,52,0
2020-07-20,60,0
2020-07-21,61,0
2020-07-22,66,0
2020-07-23,67,0
2020-07-24,71,0
2020-07-25,76,0
2020-07-26,81,0
2020-07-27,88,0
2020-07-28,92,0
2020-07-29,99,0
2020-07-30,101,0
2020-07-31,105,0
2020-08-01,108,0
2020-08-02,114,0
2020-08-03,118,0
2020-08-04,124,0
2020-08-05,130,0
2020-08-06,137,0
2020-08-07,154,0
2020-08-08,165,0
2020-08-09,175,0
2020-08-10,176,0
2020-08-11,183,1
2020-08-12,184,1
2020-08-13,196,1
2020-08-14,202,1
2020-08-15,206,1
2020-08-16,219,1
2020-08-17,217,1
2020-08-18,223,1
2020-08-19,228,1
2020-08-20,237,1
2020-08-21,246,1
2020-08-22,253,1
2020-08-23,259,1
2020-08-24,262,1
2020-08-25,270,1
2020-08-26,269,1
2020-08-27,273,1
2020-08-28,277,1
2020-08-29,282,1
2020-08-30,286,1
2020-08-31,290,1
2020-09-01,298,1
2020-09-02,307,1
2020-09-03,313,1
2020-09-04,319,1
2020-09-05,320,1
2020-09-06,323,1
2020-09-07,325,1
2020-09-08,325,1
2020-09-09,327,1
2020-09-10,328,1
2020-09-11,333,1
2020-09-12,339,1
2020-09-13,343,1
2020-09-14,345,2
2020-09-15,351,3
2020-09-16,354,3
2020-09-17,357,3
2020-09-18,367,4
2020-09-19,370,4
2020-09-20,372,4
2020-09-21,374,4
2020-09-22,379,4
2020-09-23,381,4
2020-09-24,388,4
2020-09-25,390,4
2020-09-26,395,4
2020-09-27,396,4
2020-09-28,398,4
2020-09-29,402,4
2020-09-30,403,4
2020-10-01,405,4
2020-10-02,421,4
2020-10-03,423,4
2020-10-04,427,4
2020-10-05,428,4
2020-10-06,433,4
2020-10-07,434,4
2020-10-08,445,4
2020-10-09,457,4
2020-10-10,464,4
2020-10-11,469,4
2020-10-12,473,4
2020-10-13,487,4
2020-10-14,497,4
2020-10-15,507,4
2020-10-16,517,4
2020-10-17,523,4
2020-10-18,525,4
2020-10-19,529,4
2020-10-20,540,4
2020-10-21,549,4
2020-10-22,555,4
2020-10-23,563,4
2020-10-24,568,4
2020-10-25,573,4
2020-10-26,573,5
2020-10-27,583,6
2020-10-28,600,6
2020-10-29,614,6
2020-10-30,619,6
2020-10-31,623,6
2020-11-01,626,6
2020-11-02,626,6
2020-11-03,633,6
2020-11-04,633,6
2020-11-05,639,6
2020-11-06,642,6
2020-11-07,651,6
2020-11-08,652,6
2020-11-09,656,6
2020-11-10,657,6
2020-11-11,661,6
2020-11-12,663,6
2020-11-13,665,6
2020-11-14,665,6
2020-11-15,668,6
2020-11-16,678,6
2020-11-17,691,6
2020-11-18,693,6
2020-11-19,699,6
2020-11-20,710,6
2020-11-21,715,6
2020-11-22,726,6
2020-11-23,735,6
2020-11-24,755,6
2020-11-25,769,6
2020-11-26,785,6
2020-11-27,791,6
