date,cases,deaths
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,2,0
2020-04-24,2,0
2020-04-25,2,0
2020-04-26,2,0
2020-04-27,2,0
2020-04-28,2,0
2020-04-29,2,0
2020-04-30,2,0
2020-05-01,2,0
2020-05-02,3,0
2020-05-03,3,0
2020-05-04,4,0
2020-05-05,4,0
2020-05-06,4,0
2020-05-07,4,0
2020-05-08,4,0
2020-05-09,4,0
2020-05-10,4,0
2020-05-11,4,0
2020-05-12,4,0
2020-05-13,4,0
2020-05-14,4,0
2020-05-15,4,0
2020-05-16,4,0
2020-05-17,4,0
2020-05-18,4,0
2020-05-19,5,0
2020-05-20,5,0
2020-05-21,5,0
2020-05-22,5,0
2020-05-23,5,0
2020-05-24,5,0
2020-05-25,5,0
2020-05-26,5,0
2020-05-27,5,0
2020-05-28,5,0
2020-05-29,5,0
2020-05-30,5,0
2020-05-31,5,0
2020-06-01,5,0
2020-06-02,5,0
2020-06-03,5,0
2020-06-04,5,0
2020-06-05,5,0
2020-06-06,5,0
2020-06-07,5,0
2020-06-08,5,0
2020-06-09,5,0
2020-06-10,5,0
2020-06-11,5,0
2020-06-12,5,0
2020-06-13,6,0
2020-06-14,6,0
2020-06-15,6,0
2020-06-16,9,0
2020-06-17,9,0
2020-06-18,10,0
2020-06-19,16,0
2020-06-20,17,0
2020-06-21,17,0
2020-06-22,17,0
2020-06-23,23,0
2020-06-24,29,0
2020-06-25,33,0
2020-06-26,33,0
2020-06-27,33,0
2020-06-28,33,0
2020-06-29,33,0
2020-06-30,42,0
2020-07-01,42,0
2020-07-02,41,0
2020-07-03,42,0
2020-07-04,45,0
2020-07-05,45,0
2020-07-06,45,0
2020-07-07,49,0
2020-07-08,53,0
2020-07-09,55,0
2020-07-10,63,0
2020-07-11,65,0
2020-07-12,65,0
2020-07-13,65,0
2020-07-14,65,0
2020-07-15,70,0
2020-07-16,73,0
2020-07-17,80,0
2020-07-18,120,0
2020-07-19,123,0
2020-07-20,123,0
2020-07-21,124,0
2020-07-22,133,0
2020-07-23,143,0
2020-07-24,152,0
2020-07-25,156,0
2020-07-26,156,0
2020-07-27,156,2
2020-07-28,165,2
2020-07-29,165,2
2020-07-30,171,2
2020-07-31,171,2
2020-08-01,171,4
2020-08-02,171,4
2020-08-03,171,4
2020-08-04,171,5
2020-08-05,174,5
2020-08-06,176,5
2020-08-07,175,6
2020-08-08,175,6
2020-08-09,175,6
2020-08-10,175,6
2020-08-11,176,6
2020-08-12,177,6
2020-08-13,179,6
2020-08-14,185,6
2020-08-15,188,6
2020-08-16,188,6
2020-08-17,188,6
2020-08-18,190,6
2020-08-19,191,6
2020-08-20,192,6
2020-08-21,192,6
2020-08-22,193,6
2020-08-23,193,6
