date,cases,deaths
2020-03-29,1,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,5,0
2020-04-08,5,0
2020-04-09,6,0
2020-04-10,7,0
2020-04-11,8,0
2020-04-12,8,0
2020-04-13,10,0
2020-04-14,15,0
2020-04-15,16,0
2020-04-16,16,0
2020-04-17,18,0
2020-04-18,18,0
2020-04-19,18,0
2020-04-20,21,0
2020-04-21,23,4
2020-04-22,24,4
2020-04-23,30,4
2020-04-24,30,4
2020-04-25,30,4
2020-04-26,30,5
2020-04-27,36,6
2020-04-28,36,6
2020-04-29,38,6
2020-04-30,39,6
2020-05-01,39,6
2020-05-02,39,6
2020-05-03,39,6
2020-05-04,41,7
2020-05-05,41,7
2020-05-06,41,7
2020-05-07,44,7
2020-05-08,44,7
2020-05-09,44,7
2020-05-10,46,7
2020-05-11,47,7
2020-05-12,48,7
2020-05-13,49,7
2020-05-14,49,7
2020-05-15,50,7
2020-05-16,50,7
2020-05-17,50,7
2020-05-18,50,7
2020-05-19,54,7
2020-05-20,55,7
2020-05-21,55,7
2020-05-22,55,7
2020-05-23,55,7
2020-05-24,55,7
2020-05-25,55,7
2020-05-26,57,7
2020-05-27,58,7
2020-05-28,63,7
2020-05-29,69,7
2020-05-30,73,7
2020-05-31,73,7
2020-06-01,74,7
2020-06-02,100,7
2020-06-03,150,7
2020-06-04,213,7
2020-06-05,229,7
2020-06-06,239,7
2020-06-07,254,7
2020-06-08,255,7
2020-06-09,277,7
2020-06-10,300,7
2020-06-11,303,7
2020-06-12,306,7
2020-06-13,336,7
2020-06-14,343,7
2020-06-15,344,7
2020-06-16,342,7
2020-06-17,343,7
2020-06-18,344,7
2020-06-19,344,7
2020-06-20,343,7
2020-06-21,343,7
2020-06-22,346,7
2020-06-23,347,7
2020-06-24,350,7
2020-06-25,351,7
2020-06-26,352,7
2020-06-27,355,7
2020-06-28,355,7
2020-06-29,354,7
2020-06-30,359,7
2020-07-01,361,7
2020-07-02,366,7
2020-07-03,366,7
2020-07-04,368,7
2020-07-05,368,7
2020-07-06,368,7
2020-07-07,367,8
2020-07-08,370,8
2020-07-09,373,8
2020-07-10,374,9
2020-07-11,375,9
2020-07-12,376,9
2020-07-13,381,9
2020-07-14,382,9
2020-07-15,384,9
2020-07-16,386,9
2020-07-17,386,9
2020-07-18,387,9
2020-07-19,387,9
2020-07-20,388,9
2020-07-21,389,9
2020-07-22,390,9
2020-07-23,394,9
2020-07-24,398,9
2020-07-25,404,9
2020-07-26,403,9
2020-07-27,406,9
2020-07-28,410,9
2020-07-29,411,9
2020-07-30,415,9
2020-07-31,417,9
2020-08-01,420,9
2020-08-02,425,9
2020-08-03,437,10
2020-08-04,438,10
2020-08-05,438,10
2020-08-06,441,11
2020-08-07,452,11
2020-08-08,463,11
2020-08-09,482,11
2020-08-10,495,11
2020-08-11,497,11
2020-08-12,529,11
2020-08-13,535,11
2020-08-14,569,11
2020-08-15,569,11
2020-08-16,570,11
2020-08-17,572,11
2020-08-18,573,11
2020-08-19,577,11
2020-08-20,579,11
2020-08-21,579,11
