date,cases,deaths
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,3,0
2020-04-13,3,0
2020-04-14,3,0
2020-04-15,4,0
2020-04-16,5,0
2020-04-17,5,0
2020-04-18,6,0
2020-04-19,6,0
2020-04-20,6,0
2020-04-21,6,0
2020-04-22,6,0
2020-04-23,8,0
2020-04-24,10,0
2020-04-25,10,0
2020-04-26,11,0
2020-04-27,12,0
2020-04-28,16,0
2020-04-29,17,0
2020-04-30,19,0
2020-05-01,19,0
