date,cases,deaths
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,2,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,4,0
2020-03-29,4,0
2020-03-30,4,0
2020-03-31,4,0
2020-04-01,6,0
2020-04-02,6,0
2020-04-03,6,0
2020-04-04,7,0
2020-04-05,7,0
2020-04-06,10,0
2020-04-07,11,0
2020-04-08,12,0
2020-04-09,12,0
2020-04-10,12,0
2020-04-11,13,0
2020-04-12,13,0
2020-04-13,13,0
2020-04-14,13,0
2020-04-15,13,0
2020-04-16,13,0
2020-04-17,15,0
2020-04-18,15,0
2020-04-19,15,0
2020-04-20,14,0
2020-04-21,14,0
2020-04-22,16,0
2020-04-23,14,0
2020-04-24,14,0
2020-04-25,14,0
2020-04-26,14,0
2020-04-27,14,0
2020-04-28,14,0
2020-04-29,14,0
2020-04-30,14,0
2020-05-01,14,0
2020-05-02,14,0
2020-05-03,14,0
2020-05-04,14,0
2020-05-05,14,0
2020-05-06,14,0
2020-05-07,14,0
2020-05-08,14,0
2020-05-09,15,0
2020-05-10,15,0
2020-05-11,15,0
2020-05-12,15,0
2020-05-13,15,0
2020-05-14,15,0
2020-05-15,15,0
2020-05-16,15,0
2020-05-17,15,0
2020-05-18,15,0
2020-05-19,15,0
2020-05-20,15,0
2020-05-21,15,0
2020-05-22,15,0
2020-05-23,15,0
2020-05-24,15,0
2020-05-25,15,0
2020-05-26,15,0
2020-05-27,15,0
2020-05-28,15,0
2020-05-29,15,0
2020-05-30,15,0
2020-05-31,15,0
2020-06-01,15,0
2020-06-02,15,0
2020-06-03,15,0
2020-06-04,15,0
2020-06-05,15,0
2020-06-06,15,0
2020-06-07,15,0
2020-06-08,15,0
2020-06-09,15,0
2020-06-10,15,0
2020-06-11,15,0
2020-06-12,15,0
2020-06-13,15,0
2020-06-14,15,0
2020-06-15,15,0
2020-06-16,16,0
2020-06-17,16,0
2020-06-18,16,0
2020-06-19,16,0
2020-06-20,17,0
2020-06-21,18,0
2020-06-22,19,0
2020-06-23,19,0
2020-06-24,20,0
2020-06-25,19,0
2020-06-26,19,0
2020-06-27,19,0
2020-06-28,19,0
2020-06-29,19,0
2020-06-30,19,0
2020-07-01,19,0
2020-07-02,19,0
2020-07-03,19,0
2020-07-04,19,0
2020-07-05,19,0
2020-07-06,20,0
2020-07-07,20,0
2020-07-08,20,0
2020-07-09,20,0
2020-07-10,20,0
2020-07-11,20,0
2020-07-12,20,0
2020-07-13,22,0
2020-07-14,22,0
2020-07-15,22,0
2020-07-16,22,0
2020-07-17,24,0
2020-07-18,24,0
2020-07-19,24,0
2020-07-20,24,0
2020-07-21,24,0
2020-07-22,25,0
2020-07-23,25,0
2020-07-24,26,0
2020-07-25,28,0
2020-07-26,28,0
2020-07-27,28,0
2020-07-28,28,0
2020-07-29,28,0
2020-07-30,28,0
2020-07-31,28,0
2020-08-01,28,0
2020-08-02,28,0
2020-08-03,28,0
2020-08-04,29,0
2020-08-05,29,0
2020-08-06,29,0
2020-08-07,28,0
2020-08-08,28,0
2020-08-09,28,0
2020-08-10,28,0
2020-08-11,28,0
2020-08-12,28,0
2020-08-13,30,0
2020-08-14,30,0
2020-08-15,30,0
2020-08-16,30,0
2020-08-17,30,0
2020-08-18,30,0
2020-08-19,30,0
2020-08-20,30,0
2020-08-21,30,0
2020-08-22,30,0
2020-08-23,30,0
2020-08-24,30,0
2020-08-25,30,0
2020-08-26,30,0
2020-08-27,30,0
2020-08-28,30,0
2020-08-29,30,0
2020-08-30,30,0
2020-08-31,30,0
2020-09-01,30,0
2020-09-02,30,0
2020-09-03,30,0
2020-09-04,30,0
2020-09-05,30,0
2020-09-06,30,0
2020-09-07,30,0
2020-09-08,30,0
2020-09-09,30,0
2020-09-10,30,0
2020-09-11,30,0
2020-09-12,30,0
2020-09-13,30,0
2020-09-14,30,0
2020-09-15,30,0
2020-09-16,30,0
2020-09-17,30,0
2020-09-18,30,0
2020-09-19,30,0
2020-09-20,30,0
2020-09-21,30,0
2020-09-22,30,0
2020-09-23,30,0
2020-09-24,30,0
2020-09-25,30,0
2020-09-26,30,0
2020-09-27,30,0
2020-09-28,30,0
2020-09-29,30,0
2020-09-30,30,0
2020-10-01,30,0
2020-10-02,30,0
2020-10-03,30,0
2020-10-04,30,0
2020-10-05,30,0
2020-10-06,30,0
2020-10-07,30,0
2020-10-08,30,0
