date,cases,deaths
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,5,0
2020-04-14,7,0
2020-04-15,8,0
2020-04-16,11,0
2020-04-17,11,0
2020-04-18,11,0
2020-04-19,11,0
2020-04-20,11,0
2020-04-21,11,0
2020-04-22,13,0
2020-04-23,14,0
2020-04-24,14,0
2020-04-25,14,0
2020-04-26,14,0
2020-04-27,14,0
2020-04-28,16,0
2020-04-29,16,0
2020-04-30,16,0
2020-05-01,16,0
2020-05-02,16,0
2020-05-03,16,0
2020-05-04,19,0
2020-05-05,19,0
2020-05-06,16,0
2020-05-07,17,0
2020-05-08,17,0
2020-05-09,17,0
2020-05-10,17,0
2020-05-11,18,0
2020-05-12,19,0
2020-05-13,19,0
2020-05-14,20,0
2020-05-15,20,0
2020-05-16,20,0
2020-05-17,20,0
2020-05-18,20,0
2020-05-19,20,0
2020-05-20,20,0
2020-05-21,20,0
2020-05-22,20,0
2020-05-23,20,0
2020-05-24,20,0
2020-05-25,20,0
2020-05-26,20,0
2020-05-27,20,0
2020-05-28,20,0
2020-05-29,20,0
2020-05-30,20,0
2020-05-31,20,0
2020-06-01,20,0
2020-06-02,21,0
2020-06-03,21,0
2020-06-04,21,0
2020-06-05,21,0
2020-06-06,21,0
2020-06-07,21,0
2020-06-08,21,0
2020-06-09,22,0
2020-06-10,22,0
2020-06-11,23,0
2020-06-12,26,0
2020-06-13,26,0
