date,cases,deaths
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,3,0
2020-03-17,3,0
2020-03-18,3,0
2020-03-19,5,0
2020-03-20,5,0
2020-03-21,5,0
2020-03-22,5,0
2020-03-23,5,0
2020-03-24,5,0
2020-03-25,5,0
2020-03-26,6,0
2020-03-27,6,0
2020-03-28,7,0
2020-03-29,8,0
2020-03-30,10,0
2020-03-31,11,0
2020-04-01,13,0
2020-04-02,17,0
2020-04-03,18,0
2020-04-04,18,0
2020-04-05,20,0
2020-04-06,24,1
2020-04-07,24,1
2020-04-08,24,1
2020-04-09,25,1
2020-04-10,25,1
2020-04-11,25,1
2020-04-12,27,1
2020-04-13,27,1
2020-04-14,29,1
2020-04-15,31,1
2020-04-16,32,1
2020-04-17,34,1
2020-04-18,38,1
2020-04-19,41,1
2020-04-20,41,1
2020-04-21,40,1
2020-04-22,43,1
2020-04-23,46,1
2020-04-24,46,1
2020-04-25,48,1
2020-04-26,48,1
2020-04-27,48,1
2020-04-28,48,1
2020-04-29,51,1
2020-04-30,53,1
2020-05-01,62,1
2020-05-02,67,1
2020-05-03,69,1
2020-05-04,72,1
2020-05-05,83,1
2020-05-06,85,1
2020-05-07,88,1
2020-05-08,91,1
2020-05-09,98,1
2020-05-10,98,1
2020-05-11,100,1
2020-05-12,101,1
2020-05-13,102,1
2020-05-14,108,1
2020-05-15,112,1
2020-05-16,117,1
2020-05-17,123,1
2020-05-18,124,1
2020-05-19,126,1
2020-05-20,134,1
2020-05-21,141,1
2020-05-22,160,1
2020-05-23,166,1
2020-05-24,172,1
2020-05-25,182,1
2020-05-26,191,1
2020-05-27,199,3
2020-05-28,205,3
2020-05-29,224,4
2020-05-30,238,6
2020-05-31,244,7
2020-06-01,249,7
2020-06-02,270,7
2020-06-03,284,7
2020-06-04,309,7
2020-06-05,334,7
2020-06-06,354,7
2020-06-07,385,7
2020-06-08,397,7
2020-06-09,431,7
2020-06-10,457,8
2020-06-11,473,8
2020-06-12,485,9
2020-06-13,506,9
2020-06-14,518,9
2020-06-15,532,9
2020-06-16,537,9
2020-06-17,551,10
2020-06-18,569,10
2020-06-19,579,10
2020-06-20,593,11
2020-06-21,601,11
2020-06-22,608,11
2020-06-23,619,11
2020-06-24,626,11
2020-06-25,634,11
2020-06-26,639,11
2020-06-27,643,11
2020-06-28,655,11
2020-06-29,662,11
2020-06-30,669,11
2020-07-01,683,11
2020-07-02,692,11
2020-07-03,692,13
2020-07-04,701,13
2020-07-05,711,13
2020-07-06,715,13
2020-07-07,723,13
2020-07-08,726,13
2020-07-09,747,13
2020-07-10,755,13
2020-07-11,760,13
2020-07-12,771,13
2020-07-13,777,13
2020-07-14,788,14
2020-07-15,804,14
2020-07-16,810,14
2020-07-17,817,14
2020-07-18,833,14
2020-07-19,847,14
2020-07-20,864,14
2020-07-21,876,14
2020-07-22,884,15
2020-07-23,901,16
2020-07-24,913,16
2020-07-25,931,16
2020-07-26,954,16
2020-07-27,960,16
