date,cases,deaths
2020-02-21,1,0
2020-02-22,1,0
2020-02-23,1,0
2020-02-24,1,0
2020-02-25,1,0
2020-02-26,3,0
2020-02-27,3,0
2020-02-28,3,0
2020-02-29,3,0
2020-03-01,3,0
2020-03-02,3,0
2020-03-03,3,0
2020-03-04,3,0
2020-03-05,3,0
2020-03-06,3,0
2020-03-07,3,0
2020-03-08,3,0
2020-03-09,9,0
2020-03-10,9,1
2020-03-11,9,1
2020-03-12,16,1
2020-03-13,16,1
2020-03-14,28,1
2020-03-15,32,1
2020-03-16,32,2
2020-03-17,39,2
2020-03-18,39,2
2020-03-19,44,3
2020-03-20,52,3
2020-03-21,52,3
2020-03-22,52,3
2020-03-23,87,4
2020-03-24,87,4
2020-03-25,112,5
2020-03-26,112,5
2020-03-27,164,6
2020-03-28,164,6
2020-03-29,164,6
2020-03-30,224,7
2020-03-31,224,7
2020-04-01,314,9
2020-04-02,340,9
2020-04-03,389,10
2020-04-04,411,12
2020-04-05,441,16
2020-04-06,461,18
2020-04-07,524,21
2020-04-08,579,22
2020-04-09,612,22
2020-04-10,652,24
2020-04-11,699,26
2020-04-12,707,26
2020-04-13,739,27
2020-04-14,816,28
2020-04-15,853,32
2020-04-16,879,32
2020-04-17,896,32
2020-04-18,914,33
2020-04-19,925,34
2020-04-20,940,34
2020-04-21,954,35
2020-04-22,971,36
2020-04-23,987,41
2020-04-24,1019,41
2020-04-25,1025,41
2020-04-26,1037,41
2020-04-27,1045,41
2020-04-28,1053,41
2020-04-29,1068,42
2020-04-30,1077,43
2020-05-01,1090,43
2020-05-02,1106,43
2020-05-03,1116,43
2020-05-04,1126,47
2020-05-05,1132,47
2020-05-06,1132,47
2020-05-07,1132,49
2020-05-08,1159,50
2020-05-09,1164,51
2020-05-10,1166,52
2020-05-11,1172,52
2020-05-12,1180,52
2020-05-13,1182,52
2020-05-14,1193,54
2020-05-15,1210,54
2020-05-16,1221,55
2020-05-17,1236,55
2020-05-18,1244,56
2020-05-19,1249,56
2020-05-20,1254,57
2020-05-21,1265,57
2020-05-22,1271,57
2020-05-23,1288,57
2020-05-24,1292,57
2020-05-25,1301,57
2020-05-26,1309,57
2020-05-27,1318,57
2020-05-28,1348,57
2020-05-29,1372,57
2020-05-30,1399,57
2020-05-31,1414,57
2020-06-01,1428,58
2020-06-02,1438,58
2020-06-03,1462,58
2020-06-04,1489,58
2020-06-05,1518,59
2020-06-06,1536,59
2020-06-07,1568,59
2020-06-08,1587,61
2020-06-09,1623,61
2020-06-10,1641,62
2020-06-11,1669,63
2020-06-12,1703,63
2020-06-13,1715,63
2020-06-14,1752,63
2020-06-15,1793,63
2020-06-16,1824,63
2020-06-17,1891,67
2020-06-18,1939,67
2020-06-19,1975,67
2020-06-20,2068,67
2020-06-21,2159,67
2020-06-22,2242,67
2020-06-23,2373,66
2020-06-24,2439,66
2020-06-25,2511,66
2020-06-26,2665,66
2020-06-27,2686,66
2020-06-28,2775,66
2020-06-29,3003,68
2020-06-30,3222,68
2020-07-01,3396,68
2020-07-02,3558,69
2020-07-03,3670,69
2020-07-04,4003,69
2020-07-05,4235,69
2020-07-06,4394,74
